epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568494282877,2019-09-14T16:51:22.877,0.000,99148.844
1568494283013,2019-09-14T16:51:23.013,0.136,99148.406
1568494283149,2019-09-14T16:51:23.149,0.272,99150.547
1568494283284,2019-09-14T16:51:23.284,0.407,99150.547
1568494283420,2019-09-14T16:51:23.420,0.543,99148.773
1568494283557,2019-09-14T16:51:23.557,0.680,99151.375
1568494283691,2019-09-14T16:51:23.691,0.814,99145.703
1568494283828,2019-09-14T16:51:23.828,0.951,99147.000
1568494283962,2019-09-14T16:51:23.962,1.085,99150.906
1568494284099,2019-09-14T16:51:24.099,1.222,99147.875
1568494284235,2019-09-14T16:51:24.235,1.358,99149.609
1568494284370,2019-09-14T16:51:24.370,1.493,99151.781
1568494284506,2019-09-14T16:51:24.506,1.629,99146.930
1568494284642,2019-09-14T16:51:24.642,1.765,99151.234
1568494284777,2019-09-14T16:51:24.777,1.900,99144.719
1568494284913,2019-09-14T16:51:24.913,2.036,99145.188
1568494285048,2019-09-14T16:51:25.048,2.171,99151.703
1568494285184,2019-09-14T16:51:25.184,2.307,99148.625
1568494285320,2019-09-14T16:51:25.320,2.443,99150.406
1568494285455,2019-09-14T16:51:25.455,2.578,99154.672
1568494285591,2019-09-14T16:51:25.591,2.714,99150.766
1568494285728,2019-09-14T16:51:25.728,2.851,99147.258
1568494285862,2019-09-14T16:51:25.862,2.985,99150.297
1568494285999,2019-09-14T16:51:25.999,3.122,99152.906
1568494286135,2019-09-14T16:51:26.135,3.258,99149.461
1568494286270,2019-09-14T16:51:26.270,3.393,99152.461
1568494286406,2019-09-14T16:51:26.406,3.529,99146.391
1568494286542,2019-09-14T16:51:26.542,3.665,99147.688
1568494286677,2019-09-14T16:51:26.677,3.800,99148.922
1568494286813,2019-09-14T16:51:26.813,3.936,99146.781
1568494286948,2019-09-14T16:51:26.948,4.071,99148.086
1568494287084,2019-09-14T16:51:27.084,4.207,99149.789
1568494287220,2019-09-14T16:51:27.220,4.343,99147.625
1568494287355,2019-09-14T16:51:27.355,4.478,99147.625
1568494287491,2019-09-14T16:51:27.491,4.614,99147.625
1568494287627,2019-09-14T16:51:27.627,4.750,99144.180
1568494287762,2019-09-14T16:51:27.762,4.885,99150.617
1568494287898,2019-09-14T16:51:27.898,5.021,99148.016
1568494288035,2019-09-14T16:51:28.035,5.158,99144.578
1568494288169,2019-09-14T16:51:28.169,5.292,99145.406
1568494288306,2019-09-14T16:51:28.306,5.429,99147.547
1568494288440,2019-09-14T16:51:28.440,5.563,99148.844
1568494288577,2019-09-14T16:51:28.577,5.700,99142.805
1568494288713,2019-09-14T16:51:28.713,5.836,99144.938
1568494288848,2019-09-14T16:51:28.848,5.971,99148.844
1568494288984,2019-09-14T16:51:28.984,6.107,99149.680
1568494289120,2019-09-14T16:51:29.120,6.243,99144.469
1568494289255,2019-09-14T16:51:29.255,6.378,99149.250
1568494289391,2019-09-14T16:51:29.391,6.514,99150.547
1568494289526,2019-09-14T16:51:29.526,6.649,99147.938
1568494289662,2019-09-14T16:51:29.662,6.785,99144.875
1568494289798,2019-09-14T16:51:29.798,6.921,99147.008
1568494289933,2019-09-14T16:51:29.933,7.056,99148.781
1568494290069,2019-09-14T16:51:30.069,7.192,99149.609
1568494290206,2019-09-14T16:51:30.206,7.329,99145.703
1568494290340,2019-09-14T16:51:30.340,7.463,99146.102
1568494290477,2019-09-14T16:51:30.477,7.600,99146.563
1568494290611,2019-09-14T16:51:30.611,7.734,99147.406
1568494290748,2019-09-14T16:51:30.748,7.871,99148.703
1568494290884,2019-09-14T16:51:30.884,8.007,99151.313
1568494291019,2019-09-14T16:51:31.019,8.142,99141.719
1568494291155,2019-09-14T16:51:31.155,8.278,99143.859
1568494291291,2019-09-14T16:51:31.291,8.414,99140.820
1568494291426,2019-09-14T16:51:31.426,8.549,99138.648
1568494291562,2019-09-14T16:51:31.562,8.685,99150.766
1568494291697,2019-09-14T16:51:31.697,8.820,99148.633
1568494291833,2019-09-14T16:51:31.833,8.956,99148.234
1568494291969,2019-09-14T16:51:31.969,9.092,99149.469
1568494292104,2019-09-14T16:51:32.104,9.227,99145.094
1568494292240,2019-09-14T16:51:32.240,9.363,99149.469
1568494292377,2019-09-14T16:51:32.377,9.500,99147.258
1568494292511,2019-09-14T16:51:32.511,9.634,99149.000
1568494292648,2019-09-14T16:51:32.648,9.771,99146.789
1568494292784,2019-09-14T16:51:32.784,9.907,99147.688
1568494292919,2019-09-14T16:51:32.919,10.042,99148.922
1568494293055,2019-09-14T16:51:33.055,10.178,99150.695
1568494293191,2019-09-14T16:51:33.191,10.314,99140.750
1568494293326,2019-09-14T16:51:33.326,10.449,99149.391
1568494293462,2019-09-14T16:51:33.462,10.585,99147.258
1568494293597,2019-09-14T16:51:33.597,10.720,99145.016
1568494293733,2019-09-14T16:51:33.733,10.856,99148.094
1568494293868,2019-09-14T16:51:33.868,10.991,99146.313
1568494294004,2019-09-14T16:51:34.004,11.127,99144.180
1568494294140,2019-09-14T16:51:34.140,11.263,99145.484
1568494294275,2019-09-14T16:51:34.275,11.398,99148.922
1568494294411,2019-09-14T16:51:34.411,11.534,99147.156
1568494294547,2019-09-14T16:51:34.547,11.670,99150.188
1568494294682,2019-09-14T16:51:34.682,11.805,99150.625
1568494294818,2019-09-14T16:51:34.818,11.941,99151.016
1568494294953,2019-09-14T16:51:34.953,12.076,99151.016
1568494295089,2019-09-14T16:51:35.089,12.212,99150.188
1568494295226,2019-09-14T16:51:35.226,12.349,99148.414
1568494295360,2019-09-14T16:51:35.360,12.483,99149.719
1568494295497,2019-09-14T16:51:35.497,12.620,99150.578
1568494295633,2019-09-14T16:51:35.633,12.756,99150.625
1568494295768,2019-09-14T16:51:35.768,12.891,99144.508
1568494295904,2019-09-14T16:51:35.904,13.027,99148.414
1568494296039,2019-09-14T16:51:36.039,13.162,99144.070
1568494296175,2019-09-14T16:51:36.175,13.298,99145.734
1568494296311,2019-09-14T16:51:36.311,13.434,99151.891
1568494296446,2019-09-14T16:51:36.446,13.569,99147.039
1568494296582,2019-09-14T16:51:36.582,13.705,99144.906
1568494296718,2019-09-14T16:51:36.718,13.841,99151.781
1568494296853,2019-09-14T16:51:36.853,13.976,99149.641
1568494296989,2019-09-14T16:51:36.989,14.112,99149.172
1568494297124,2019-09-14T16:51:37.124,14.247,99149.172
1568494297260,2019-09-14T16:51:37.260,14.383,99144.359
1568494297397,2019-09-14T16:51:37.397,14.520,99148.813
1568494297531,2019-09-14T16:51:37.531,14.654,99145.734
1568494297668,2019-09-14T16:51:37.668,14.791,99146.133
1568494297804,2019-09-14T16:51:37.804,14.927,99143.531
1568494297939,2019-09-14T16:51:37.939,15.062,99146.969
1568494298075,2019-09-14T16:51:38.075,15.198,99143.969
1568494298210,2019-09-14T16:51:38.210,15.333,99148.734
1568494298346,2019-09-14T16:51:38.346,15.469,99146.563
1568494298482,2019-09-14T16:51:38.482,15.605,99148.734
1568494298617,2019-09-14T16:51:38.617,15.740,99148.734
1568494298753,2019-09-14T16:51:38.753,15.876,99150.406
1568494298889,2019-09-14T16:51:38.889,16.012,99149.094
1568494299024,2019-09-14T16:51:39.024,16.147,99144.359
1568494299160,2019-09-14T16:51:39.160,16.283,99150.875
1568494299295,2019-09-14T16:51:39.295,16.418,99149.969
1568494299431,2019-09-14T16:51:39.431,16.554,99148.195
1568494299567,2019-09-14T16:51:39.567,16.690,99149.031
1568494299702,2019-09-14T16:51:39.702,16.825,99148.195
1568494299838,2019-09-14T16:51:39.838,16.961,99142.984
1568494299975,2019-09-14T16:51:39.975,17.098,99139.547
1568494300109,2019-09-14T16:51:40.109,17.232,99146.422
1568494300246,2019-09-14T16:51:40.246,17.369,99150.797
1568494300382,2019-09-14T16:51:40.382,17.505,99151.641
1568494300517,2019-09-14T16:51:40.517,17.640,99147.719
1568494300653,2019-09-14T16:51:40.653,17.776,99151.641
1568494300788,2019-09-14T16:51:40.788,17.911,99150.727
1568494300924,2019-09-14T16:51:40.924,18.047,99148.125
1568494301060,2019-09-14T16:51:41.060,18.183,99148.563
1568494301195,2019-09-14T16:51:41.195,18.318,99147.656
1568494301331,2019-09-14T16:51:41.331,18.454,99148.125
1568494301467,2019-09-14T16:51:41.467,18.590,99149.422
1568494301604,2019-09-14T16:51:41.604,18.727,99142.445
1568494301738,2019-09-14T16:51:41.738,18.861,99143.352
1568494301875,2019-09-14T16:51:41.875,18.998,99144.219
1568494302009,2019-09-14T16:51:42.009,19.132,99144.219
1568494302146,2019-09-14T16:51:42.146,19.269,99146.352
1568494302282,2019-09-14T16:51:42.282,19.405,99142.445
1568494302417,2019-09-14T16:51:42.417,19.540,99142.906
1568494302553,2019-09-14T16:51:42.553,19.676,99147.578
1568494302689,2019-09-14T16:51:42.689,19.812,99144.578
1568494302824,2019-09-14T16:51:42.824,19.947,99144.578
1568494302960,2019-09-14T16:51:42.960,20.083,99144.977
1568494303096,2019-09-14T16:51:43.096,20.219,99151.484
1568494303231,2019-09-14T16:51:43.231,20.354,99147.578
1568494303367,2019-09-14T16:51:43.367,20.490,99146.641
1568494303502,2019-09-14T16:51:43.502,20.625,99145.883
1568494303638,2019-09-14T16:51:43.638,20.761,99152.320
1568494303774,2019-09-14T16:51:43.774,20.897,99144.977
1568494303909,2019-09-14T16:51:43.909,21.032,99146.281
1568494304045,2019-09-14T16:51:44.045,21.168,99148.883
1568494304182,2019-09-14T16:51:44.182,21.305,99147.508
1568494304316,2019-09-14T16:51:44.316,21.439,99145.344
1568494304453,2019-09-14T16:51:44.453,21.576,99150.109
1568494304589,2019-09-14T16:51:44.589,21.712,99146.641
1568494304724,2019-09-14T16:51:44.724,21.847,99144.906
1568494304860,2019-09-14T16:51:44.860,21.983,99148.336
1568494304995,2019-09-14T16:51:44.995,22.118,99149.641
1568494305131,2019-09-14T16:51:45.131,22.254,99147.508
1568494305267,2019-09-14T16:51:45.267,22.390,99149.641
1568494305402,2019-09-14T16:51:45.402,22.525,99149.641
1568494305538,2019-09-14T16:51:45.538,22.661,99149.641
1568494305674,2019-09-14T16:51:45.674,22.797,99150.945
1568494305809,2019-09-14T16:51:45.809,22.932,99147.031
1568494305945,2019-09-14T16:51:45.945,23.068,99145.266
1568494306080,2019-09-14T16:51:46.080,23.203,99147.438
1568494306216,2019-09-14T16:51:46.216,23.339,99146.563
1568494306353,2019-09-14T16:51:46.353,23.476,99150.469
1568494306487,2019-09-14T16:51:46.487,23.610,99147.875
1568494306624,2019-09-14T16:51:46.624,23.747,99147.797
1568494306760,2019-09-14T16:51:46.760,23.883,99149.641
1568494306895,2019-09-14T16:51:46.895,24.018,99150.039
1568494307031,2019-09-14T16:51:47.031,24.154,99145.656
1568494307166,2019-09-14T16:51:47.166,24.289,99145.188
1568494307302,2019-09-14T16:51:47.302,24.425,99154.313
1568494307438,2019-09-14T16:51:47.438,24.561,99150.406
1568494307573,2019-09-14T16:51:47.573,24.696,99143.891
1568494307709,2019-09-14T16:51:47.709,24.832,99149.094
1568494307845,2019-09-14T16:51:47.845,24.968,99149.094
