epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1574108853564,2019-11-18T15:27:33.564,0.000,97509.813
1574108853700,2019-11-18T15:27:33.700,0.136,97505.406
1574108853836,2019-11-18T15:27:33.836,0.272,97507.531
1574108853971,2019-11-18T15:27:33.971,0.407,97505.406
1574108854107,2019-11-18T15:27:34.107,0.543,97507.531
1574108854244,2019-11-18T15:27:34.244,0.680,97509.203
1574108854378,2019-11-18T15:27:34.378,0.814,97509.656
1574108854515,2019-11-18T15:27:34.515,0.951,97515.734
1574108854649,2019-11-18T15:27:34.649,1.085,97510.148
1574108854786,2019-11-18T15:27:34.786,1.222,97504.922
1574108854922,2019-11-18T15:27:34.922,1.358,97507.906
1574108855057,2019-11-18T15:27:35.057,1.493,97511.453
1574108855193,2019-11-18T15:27:35.193,1.629,97507.906
1574108855329,2019-11-18T15:27:35.329,1.765,97506.234
1574108855464,2019-11-18T15:27:35.464,1.900,97507.906
1574108855600,2019-11-18T15:27:35.600,2.036,97506.234
1574108855736,2019-11-18T15:27:35.736,2.172,97507.531
1574108855871,2019-11-18T15:27:35.871,2.307,97505.406
1574108856007,2019-11-18T15:27:36.007,2.443,97504.922
1574108856142,2019-11-18T15:27:36.142,2.578,97501.500
1574108856278,2019-11-18T15:27:36.278,2.714,97504.594
1574108856415,2019-11-18T15:27:36.415,2.851,97511.453
1574108856549,2019-11-18T15:27:36.549,2.985,97508.141
1574108856686,2019-11-18T15:27:36.686,3.122,97503.289
1574108856822,2019-11-18T15:27:36.822,3.258,97508.961
1574108856957,2019-11-18T15:27:36.957,3.393,97507.328
1574108857093,2019-11-18T15:27:37.093,3.529,97501.617
1574108857227,2019-11-18T15:27:37.227,3.663,97501.617
1574108857364,2019-11-18T15:27:37.364,3.800,97506.016
1574108857500,2019-11-18T15:27:37.500,3.936,97497.828
1574108857635,2019-11-18T15:27:37.635,4.071,97503.047
1574108857771,2019-11-18T15:27:37.771,4.207,97502.680
1574108857907,2019-11-18T15:27:37.907,4.343,97502.563
1574108858042,2019-11-18T15:27:38.042,4.478,97506.477
1574108858178,2019-11-18T15:27:38.178,4.614,97505.289
1574108858313,2019-11-18T15:27:38.313,4.749,97507.078
1574108858449,2019-11-18T15:27:38.449,4.885,97507.563
1574108858585,2019-11-18T15:27:38.585,5.021,97503.656
1574108858720,2019-11-18T15:27:38.720,5.156,97504.953
1574108858856,2019-11-18T15:27:38.856,5.292,97507.563
1574108858993,2019-11-18T15:27:38.993,5.429,97508.875
1574108859127,2019-11-18T15:27:39.127,5.563,97503.656
1574108859264,2019-11-18T15:27:39.264,5.700,97504.594
1574108859398,2019-11-18T15:27:39.398,5.834,97507.688
1574108859535,2019-11-18T15:27:39.535,5.971,97506.391
1574108859671,2019-11-18T15:27:39.671,6.107,97514.703
1574108859806,2019-11-18T15:27:39.806,6.242,97511.602
1574108859942,2019-11-18T15:27:39.942,6.378,97510.297
