epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574108414219,2019-11-18T15:20:14.219,0.000,-3.049,4.268,-2.561
1574108414229,2019-11-18T15:20:14.229,0.010,-2.744,4.512,-2.805
1574108414239,2019-11-18T15:20:14.239,0.020,-2.622,4.512,-3.232
1574108414249,2019-11-18T15:20:14.249,0.030,-2.317,4.451,-3.720
1574108414259,2019-11-18T15:20:14.259,0.040,-1.707,4.268,-3.841
1574108414269,2019-11-18T15:20:14.269,0.050,-1.098,3.780,-4.024
1574108414279,2019-11-18T15:20:14.279,0.060,-0.671,3.049,-4.207
1574108414289,2019-11-18T15:20:14.289,0.070,-0.183,2.256,-4.207
1574108414299,2019-11-18T15:20:14.299,0.080,0.610,1.220,-4.390
1574108414309,2019-11-18T15:20:14.309,0.090,1.463,0.061,-4.512
1574108414319,2019-11-18T15:20:14.319,0.100,2.195,-1.098,-4.512
1574108414329,2019-11-18T15:20:14.329,0.110,2.866,-2.439,-4.512
1574108414339,2019-11-18T15:20:14.339,0.120,3.598,-3.841,-4.268
1574108414349,2019-11-18T15:20:14.349,0.130,4.024,-5.061,-3.720
1574108414359,2019-11-18T15:20:14.359,0.140,4.268,-6.159,-3.171
1574108414369,2019-11-18T15:20:14.369,0.150,4.512,-7.256,-2.500
1574108414379,2019-11-18T15:20:14.379,0.160,4.695,-8.110,-1.829
1574108414389,2019-11-18T15:20:14.389,0.170,4.939,-8.780,-1.037
1574108414399,2019-11-18T15:20:14.399,0.180,5.183,-9.329,-0.549
1574108414409,2019-11-18T15:20:14.409,0.190,5.305,-9.817,-0.122
1574108414419,2019-11-18T15:20:14.419,0.200,5.610,-10.122,0.244
1574108414429,2019-11-18T15:20:14.429,0.210,5.793,-10.366,0.549
1574108414439,2019-11-18T15:20:14.439,0.220,5.915,-10.488,0.732
1574108414449,2019-11-18T15:20:14.449,0.230,5.976,-10.549,0.732
1574108414459,2019-11-18T15:20:14.459,0.240,5.976,-10.549,0.915
1574108414469,2019-11-18T15:20:14.469,0.250,6.159,-10.488,0.732
1574108414479,2019-11-18T15:20:14.479,0.260,6.098,-10.305,0.488
1574108414489,2019-11-18T15:20:14.489,0.270,6.098,-10.122,0.488
