epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574107937169,2019-11-18T15:12:17.169,0.000,0.646,-0.811,-0.004
1574107937179,2019-11-18T15:12:17.179,0.010,0.652,-0.811,-0.002
1574107937189,2019-11-18T15:12:17.189,0.020,0.646,-0.801,-0.002
1574107937199,2019-11-18T15:12:17.199,0.030,0.646,-0.797,-0.002
1574107937209,2019-11-18T15:12:17.209,0.040,0.649,-0.803,-0.003
1574107937219,2019-11-18T15:12:17.219,0.050,0.650,-0.795,-0.003
1574107937229,2019-11-18T15:12:17.229,0.060,0.650,-0.787,0.004
1574107937239,2019-11-18T15:12:17.239,0.070,0.646,-0.785,0.003
1574107937249,2019-11-18T15:12:17.249,0.080,0.641,-0.782,0.004
1574107937259,2019-11-18T15:12:17.259,0.090,0.638,-0.783,0.006
1574107937269,2019-11-18T15:12:17.269,0.100,0.633,-0.784,0.003
1574107937279,2019-11-18T15:12:17.279,0.110,0.625,-0.787,0.001
1574107937289,2019-11-18T15:12:17.289,0.120,0.614,-0.792,-0.005
1574107937299,2019-11-18T15:12:17.299,0.130,0.615,-0.792,-0.009
1574107937309,2019-11-18T15:12:17.309,0.140,0.613,-0.784,-0.005
1574107937319,2019-11-18T15:12:17.319,0.150,0.611,-0.787,-0.008
1574107937329,2019-11-18T15:12:17.329,0.160,0.608,-0.784,-0.008
1574107937339,2019-11-18T15:12:17.339,0.170,0.604,-0.781,-0.011
1574107937349,2019-11-18T15:12:17.349,0.180,0.603,-0.784,-0.013
1574107937359,2019-11-18T15:12:17.359,0.190,0.604,-0.788,-0.012
1574107937369,2019-11-18T15:12:17.369,0.200,0.604,-0.792,-0.011
1574107937379,2019-11-18T15:12:17.379,0.210,0.605,-0.804,-0.007
1574107937389,2019-11-18T15:12:17.389,0.220,0.608,-0.816,-0.013
1574107937399,2019-11-18T15:12:17.399,0.230,0.608,-0.821,-0.013
1574107937409,2019-11-18T15:12:17.409,0.240,0.607,-0.815,-0.011
1574107937419,2019-11-18T15:12:17.419,0.250,0.606,-0.810,-0.008
1574107937429,2019-11-18T15:12:17.429,0.260,0.609,-0.814,-0.009
1574107937439,2019-11-18T15:12:17.439,0.270,0.613,-0.816,-0.006
1574107937449,2019-11-18T15:12:17.449,0.280,0.614,-0.815,-0.008
