epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574106992980,2019-11-18T14:56:32.980,0.000,-6.646,14.695,-0.488
1574106992990,2019-11-18T14:56:32.990,0.010,-6.829,15.000,-0.488
1574106993000,2019-11-18T14:56:33.000,0.020,-9.512,17.988,-1.646
1574106993010,2019-11-18T14:56:33.010,0.030,-12.561,22.256,-2.439
1574106993020,2019-11-18T14:56:33.020,0.040,-15.610,26.524,-2.744
1574106993030,2019-11-18T14:56:33.030,0.050,-18.659,31.220,-2.988
1574106993040,2019-11-18T14:56:33.040,0.060,-20.915,36.402,-2.744
1574106993050,2019-11-18T14:56:33.050,0.070,-23.415,42.378,-2.561
1574106993060,2019-11-18T14:56:33.060,0.080,-26.098,48.476,-2.622
1574106993070,2019-11-18T14:56:33.070,0.090,-28.841,54.207,-3.720
1574106993080,2019-11-18T14:56:33.080,0.100,-30.793,59.024,-5.671
1574106993090,2019-11-18T14:56:33.090,0.110,-31.707,62.866,-7.378
1574106993100,2019-11-18T14:56:33.100,0.120,-31.951,65.732,-8.720
1574106993110,2019-11-18T14:56:33.110,0.130,-31.341,67.988,-8.780
1574106993120,2019-11-18T14:56:33.120,0.140,-31.098,69.695,-8.049
1574106993130,2019-11-18T14:56:33.130,0.150,-31.098,70.671,-7.317
1574106993140,2019-11-18T14:56:33.140,0.160,-30.671,71.098,-6.402
1574106993150,2019-11-18T14:56:33.150,0.170,-31.098,70.915,-5.671
1574106993160,2019-11-18T14:56:33.160,0.180,-32.134,70.366,-5.183
1574106993170,2019-11-18T14:56:33.170,0.190,-32.988,69.329,-4.817
1574106993180,2019-11-18T14:56:33.180,0.200,-33.537,67.744,-4.939
1574106993190,2019-11-18T14:56:33.190,0.210,-34.024,65.976,-5.183
1574106993200,2019-11-18T14:56:33.200,0.220,-33.902,63.780,-5.183
1574106993210,2019-11-18T14:56:33.210,0.230,-32.500,61.402,-4.634
1574106993220,2019-11-18T14:56:33.220,0.240,-30.488,58.659,-3.659
1574106993230,2019-11-18T14:56:33.230,0.250,-28.659,55.732,-2.744
1574106993240,2019-11-18T14:56:33.240,0.260,-26.768,52.439,-1.829
1574106993250,2019-11-18T14:56:33.250,0.270,-24.390,48.780,-0.854
1574106993260,2019-11-18T14:56:33.260,0.280,-22.195,45.061,0.061
1574106993270,2019-11-18T14:56:33.270,0.290,-20.122,41.585,1.098
1574106993280,2019-11-18T14:56:33.280,0.300,-17.988,38.293,2.378
