epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568489633376,2019-09-14T15:33:53.376,0.000,99202.766
1568489633512,2019-09-14T15:33:53.512,0.136,99200.984
1568489633648,2019-09-14T15:33:53.648,0.272,99207.078
1568489633783,2019-09-14T15:33:53.783,0.407,99210.141
1568489633919,2019-09-14T15:33:53.919,0.543,99204.906
1568489634056,2019-09-14T15:33:54.056,0.680,99204.906
1568489634190,2019-09-14T15:33:54.190,0.814,99205.773
1568489634327,2019-09-14T15:33:54.327,0.951,99208.742
1568489634461,2019-09-14T15:33:54.461,1.085,99206.602
1568489634598,2019-09-14T15:33:54.598,1.222,99205.773
1568489634734,2019-09-14T15:33:54.734,1.358,99200.539
1568489634869,2019-09-14T15:33:54.869,1.493,99205.297
1568489635005,2019-09-14T15:33:55.005,1.629,99208.742
1568489635141,2019-09-14T15:33:55.141,1.765,99203.516
1568489635276,2019-09-14T15:33:55.276,1.900,99200.891
1568489635412,2019-09-14T15:33:55.412,2.036,99206.953
1568489635548,2019-09-14T15:33:55.548,2.172,99203.516
1568489635683,2019-09-14T15:33:55.683,2.307,99203.031
1568489635819,2019-09-14T15:33:55.819,2.443,99204.813
1568489635954,2019-09-14T15:33:55.954,2.578,99204.813
1568489636090,2019-09-14T15:33:56.090,2.714,99206.602
1568489636227,2019-09-14T15:33:56.227,2.851,99202.672
1568489636361,2019-09-14T15:33:56.361,2.985,99206.125
1568489636498,2019-09-14T15:33:56.498,3.122,99207.438
1568489636634,2019-09-14T15:33:56.634,3.258,99203.984
1568489636769,2019-09-14T15:33:56.769,3.393,99199.578
1568489636905,2019-09-14T15:33:56.905,3.529,99204.469
1568489637040,2019-09-14T15:33:57.040,3.664,99208.391
1568489637176,2019-09-14T15:33:57.176,3.800,99209.703
1568489637312,2019-09-14T15:33:57.312,3.936,99211.844
1568489637447,2019-09-14T15:33:57.447,4.071,99204.813
1568489637583,2019-09-14T15:33:57.583,4.207,99203.516
1568489637719,2019-09-14T15:33:57.719,4.343,99206.602
1568489637854,2019-09-14T15:33:57.854,4.478,99205.297
1568489637990,2019-09-14T15:33:57.990,4.614,99198.273
1568489638125,2019-09-14T15:33:58.125,4.749,99203.516
1568489638261,2019-09-14T15:33:58.261,4.885,99202.672
1568489638397,2019-09-14T15:33:58.397,5.021,99203.516
1568489638532,2019-09-14T15:33:58.532,5.156,99206.516
1568489638668,2019-09-14T15:33:58.668,5.292,99203.516
1568489638805,2019-09-14T15:33:58.805,5.429,99206.953
1568489638939,2019-09-14T15:33:58.939,5.563,99202.586
1568489639076,2019-09-14T15:33:59.076,5.700,99203.516
1568489639210,2019-09-14T15:33:59.210,5.834,99204.344
1568489639347,2019-09-14T15:33:59.347,5.971,99200.414
1568489639483,2019-09-14T15:33:59.483,6.107,99203.031
1568489639618,2019-09-14T15:33:59.618,6.242,99203.031
1568489639754,2019-09-14T15:33:59.754,6.378,99204.727
1568489639890,2019-09-14T15:33:59.890,6.514,99203.031
1568489640025,2019-09-14T15:34:00.025,6.649,99203.031
1568489640161,2019-09-14T15:34:00.161,6.785,99201.281
1568489640297,2019-09-14T15:34:00.297,6.921,99204.727
1568489640432,2019-09-14T15:34:00.432,7.056,99203.422
1568489640568,2019-09-14T15:34:00.568,7.192,99201.633
1568489640705,2019-09-14T15:34:00.705,7.329,99202.500
1568489640839,2019-09-14T15:34:00.839,7.463,99204.250
1568489640976,2019-09-14T15:34:00.976,7.600,99202.109
1568489641110,2019-09-14T15:34:01.110,7.734,99199.016
1568489641247,2019-09-14T15:34:01.247,7.871,99200.320
1568489641383,2019-09-14T15:34:01.383,8.007,99202.016
1568489641518,2019-09-14T15:34:01.518,8.142,99197.703
1568489641654,2019-09-14T15:34:01.654,8.278,99197.703
1568489641790,2019-09-14T15:34:01.790,8.414,99203.328
1568489641925,2019-09-14T15:34:01.925,8.549,99203.328
1568489642061,2019-09-14T15:34:02.061,8.685,99200.703
1568489642197,2019-09-14T15:34:02.197,8.821,99203.328
1568489642332,2019-09-14T15:34:02.332,8.956,99203.328
1568489642468,2019-09-14T15:34:02.468,9.092,99202.016
1568489642603,2019-09-14T15:34:02.603,9.227,99198.563
1568489642739,2019-09-14T15:34:02.739,9.363,99202.016
1568489642875,2019-09-14T15:34:02.875,9.499,99201.188
1568489643010,2019-09-14T15:34:03.010,9.634,99205.945
1568489643146,2019-09-14T15:34:03.146,9.770,99203.805
1568489643283,2019-09-14T15:34:03.283,9.907,99209.391
1568489643417,2019-09-14T15:34:03.417,10.041,99208.078
1568489643554,2019-09-14T15:34:03.554,10.178,99207.250
1568489643688,2019-09-14T15:34:03.688,10.312,99207.250
1568489643825,2019-09-14T15:34:03.825,10.449,99200.703
1568489643961,2019-09-14T15:34:03.961,10.585,99199.398
1568489644096,2019-09-14T15:34:04.096,10.720,99205.945
1568489644232,2019-09-14T15:34:04.232,10.856,99203.805
1568489644368,2019-09-14T15:34:04.368,10.992,99202.016
1568489644503,2019-09-14T15:34:04.503,11.127,99198.094
1568489644639,2019-09-14T15:34:04.639,11.263,99207.250
1568489644775,2019-09-14T15:34:04.775,11.399,99204.641
1568489644910,2019-09-14T15:34:04.910,11.534,99207.250
1568489645046,2019-09-14T15:34:05.046,11.670,99208.563
1568489645181,2019-09-14T15:34:05.181,11.805,99200.703
1568489645317,2019-09-14T15:34:05.317,11.941,99202.500
1568489645454,2019-09-14T15:34:05.454,12.078,99200.234
1568489645588,2019-09-14T15:34:05.588,12.212,99204.641
1568489645725,2019-09-14T15:34:05.725,12.349,99200.703
1568489645861,2019-09-14T15:34:05.861,12.485,99199.398
1568489645996,2019-09-14T15:34:05.996,12.620,99200.234
1568489646132,2019-09-14T15:34:06.132,12.756,99201.539
1568489646267,2019-09-14T15:34:06.267,12.891,99207.641
1568489646403,2019-09-14T15:34:06.403,13.027,99204.641
1568489646539,2019-09-14T15:34:06.539,13.163,99203.711
1568489646674,2019-09-14T15:34:06.674,13.298,99204.641
1568489646810,2019-09-14T15:34:06.810,13.434,99207.641
1568489646946,2019-09-14T15:34:06.946,13.570,99204.156
1568489647082,2019-09-14T15:34:07.082,13.706,99205.469
1568489647217,2019-09-14T15:34:07.217,13.841,99201.539
1568489647353,2019-09-14T15:34:07.353,13.977,99202.406
1568489647490,2019-09-14T15:34:07.490,14.114,99198.828
1568489647624,2019-09-14T15:34:07.624,14.248,99199.305
1568489647761,2019-09-14T15:34:07.761,14.385,99201.539
1568489647897,2019-09-14T15:34:07.897,14.521,99201.539
1568489648032,2019-09-14T15:34:08.032,14.656,99200.141
1568489648168,2019-09-14T15:34:08.168,14.792,99202.406
1568489648304,2019-09-14T15:34:08.304,14.928,99205.375
1568489648439,2019-09-14T15:34:08.439,15.063,99198.000
1568489648575,2019-09-14T15:34:08.575,15.199,99198.000
