epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568489516187,2019-09-14T15:31:56.187,0.000,-1.220,17.134,-4.695
1568489516197,2019-09-14T15:31:56.197,0.010,-1.220,16.524,-5.183
1568489516207,2019-09-14T15:31:56.207,0.020,-0.671,17.378,-5.183
1568489516217,2019-09-14T15:31:56.217,0.030,0.000,18.171,-5.488
1568489516227,2019-09-14T15:31:56.227,0.040,0.183,18.963,-5.793
1568489516237,2019-09-14T15:31:56.237,0.050,-0.061,19.573,-5.915
1568489516247,2019-09-14T15:31:56.247,0.060,-0.549,20.061,-5.732
1568489516257,2019-09-14T15:31:56.257,0.070,-0.915,20.427,-5.671
1568489516267,2019-09-14T15:31:56.267,0.080,-1.220,20.793,-5.793
1568489516277,2019-09-14T15:31:56.277,0.090,-1.463,20.732,-6.098
1568489516287,2019-09-14T15:31:56.287,0.100,-1.402,20.610,-6.585
1568489516297,2019-09-14T15:31:56.297,0.110,-0.976,20.427,-7.317
1568489516307,2019-09-14T15:31:56.307,0.120,-0.427,20.427,-8.232
1568489516317,2019-09-14T15:31:56.317,0.130,-0.061,20.305,-9.024
1568489516327,2019-09-14T15:31:56.327,0.140,0.122,20.244,-9.451
1568489516337,2019-09-14T15:31:56.337,0.150,0.122,20.122,-9.390
1568489516347,2019-09-14T15:31:56.347,0.160,-0.244,20.183,-9.085
1568489516357,2019-09-14T15:31:56.357,0.170,-0.854,20.122,-8.476
1568489516367,2019-09-14T15:31:56.367,0.180,-1.585,19.939,-7.927
1568489516377,2019-09-14T15:31:56.377,0.190,-2.256,19.756,-7.439
1568489516387,2019-09-14T15:31:56.387,0.200,-2.561,19.634,-7.012
1568489516397,2019-09-14T15:31:56.397,0.210,-2.561,19.634,-6.951
1568489516407,2019-09-14T15:31:56.407,0.220,-2.439,19.878,-7.195
1568489516417,2019-09-14T15:31:56.417,0.230,-2.500,20.244,-7.683
1568489516427,2019-09-14T15:31:56.427,0.240,-2.866,20.549,-8.110
1568489516437,2019-09-14T15:31:56.437,0.250,-3.293,21.037,-8.537
1568489516447,2019-09-14T15:31:56.447,0.260,-3.902,21.890,-8.780
1568489516457,2019-09-14T15:31:56.457,0.270,-4.756,22.927,-8.720
1568489516467,2019-09-14T15:31:56.467,0.280,-5.732,23.841,-8.476
1568489516477,2019-09-14T15:31:56.477,0.290,-6.341,25.000,-8.537
1568489516487,2019-09-14T15:31:56.487,0.300,-6.280,26.220,-8.720
1568489516497,2019-09-14T15:31:56.497,0.310,-6.037,27.500,-8.841
1568489516507,2019-09-14T15:31:56.507,0.320,-5.671,29.024,-8.659
1568489516517,2019-09-14T15:31:56.517,0.330,-5.305,30.671,-8.293
1568489516527,2019-09-14T15:31:56.527,0.340,-4.756,32.317,-7.683
1568489516537,2019-09-14T15:31:56.537,0.350,-3.537,34.329,-7.012
1568489516547,2019-09-14T15:31:56.547,0.360,-2.195,36.646,-6.098
1568489516557,2019-09-14T15:31:56.557,0.370,-1.159,39.512,-4.939
1568489516567,2019-09-14T15:31:56.567,0.380,-0.488,42.805,-3.415
1568489516577,2019-09-14T15:31:56.577,0.390,0.122,46.524,-1.890
1568489516587,2019-09-14T15:31:56.587,0.400,0.915,50.732,-0.305
