epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568489199191,2019-09-14T15:26:39.191,0.000,2.256,3.354,-1.463
1568489199201,2019-09-14T15:26:39.201,0.010,2.439,4.085,-0.854
1568489199211,2019-09-14T15:26:39.211,0.020,2.622,3.537,-1.220
1568489199221,2019-09-14T15:26:39.221,0.030,2.439,3.720,-1.341
1568489199231,2019-09-14T15:26:39.231,0.040,1.951,4.085,-0.549
1568489199241,2019-09-14T15:26:39.241,0.050,1.037,4.329,0.183
1568489199251,2019-09-14T15:26:39.251,0.060,0.305,4.451,1.037
1568489199261,2019-09-14T15:26:39.261,0.070,0.305,4.512,1.829
1568489199271,2019-09-14T15:26:39.271,0.080,0.427,4.268,2.317
1568489199281,2019-09-14T15:26:39.281,0.090,0.854,4.146,2.683
1568489199291,2019-09-14T15:26:39.291,0.100,1.098,3.963,2.805
1568489199301,2019-09-14T15:26:39.301,0.110,1.037,4.085,2.927
1568489199311,2019-09-14T15:26:39.311,0.120,0.549,4.390,2.866
1568489199321,2019-09-14T15:26:39.321,0.130,-0.183,4.695,2.744
1568489199331,2019-09-14T15:26:39.331,0.140,-0.671,4.878,2.744
1568489199341,2019-09-14T15:26:39.341,0.150,-0.976,4.695,2.805
1568489199351,2019-09-14T15:26:39.351,0.160,-0.976,4.390,3.110
1568489199361,2019-09-14T15:26:39.361,0.170,-0.671,3.902,3.476
1568489199371,2019-09-14T15:26:39.371,0.180,-0.854,3.415,4.024
1568489199381,2019-09-14T15:26:39.381,0.190,-1.220,2.988,4.634
1568489199391,2019-09-14T15:26:39.391,0.200,-1.280,2.561,4.878
1568489199401,2019-09-14T15:26:39.401,0.210,-0.793,2.195,4.695
1568489199411,2019-09-14T15:26:39.411,0.220,-0.122,1.890,3.963
1568489199421,2019-09-14T15:26:39.421,0.230,0.549,1.707,3.049
1568489199431,2019-09-14T15:26:39.431,0.240,0.854,1.707,2.439
1568489199441,2019-09-14T15:26:39.441,0.250,0.732,2.073,1.890
1568489199451,2019-09-14T15:26:39.451,0.260,0.244,2.378,1.463
1568489199461,2019-09-14T15:26:39.461,0.270,-0.610,2.988,1.463
1568489199471,2019-09-14T15:26:39.471,0.280,-1.341,3.354,1.402
1568489199481,2019-09-14T15:26:39.481,0.290,-1.585,3.537,1.646
