epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568489199176,2019-09-14T15:26:39.176,0.000,99207.938
1568489199310,2019-09-14T15:26:39.310,0.134,99208.320
1568489199447,2019-09-14T15:26:39.447,0.271,99210.078
1568489199583,2019-09-14T15:26:39.583,0.407,99208.320
1568489199718,2019-09-14T15:26:39.718,0.542,99210.938
1568489199854,2019-09-14T15:26:39.854,0.678,99206.055
1568489199989,2019-09-14T15:26:39.989,0.813,99205.703
1568489200125,2019-09-14T15:26:40.125,0.949,99206.148
1568489200261,2019-09-14T15:26:40.261,1.085,99206.531
1568489200396,2019-09-14T15:26:40.396,1.220,99209.984
1568489200532,2019-09-14T15:26:40.532,1.356,99212.125
1568489200668,2019-09-14T15:26:40.668,1.492,99206.531
1568489200803,2019-09-14T15:26:40.803,1.627,99211.766
1568489200939,2019-09-14T15:26:40.939,1.763,99207.844
1568489201075,2019-09-14T15:26:41.075,1.899,99207.844
1568489201210,2019-09-14T15:26:41.210,2.034,99202.219
1568489201346,2019-09-14T15:26:41.346,2.170,99207.016
1568489201481,2019-09-14T15:26:41.481,2.305,99206.531
1568489201617,2019-09-14T15:26:41.617,2.441,99209.625
1568489201754,2019-09-14T15:26:41.754,2.578,99208.766
1568489201888,2019-09-14T15:26:41.888,2.712,99210.938
1568489202025,2019-09-14T15:26:42.025,2.849,99206.531
1568489202161,2019-09-14T15:26:42.161,2.985,99205.219
1568489202296,2019-09-14T15:26:42.296,3.120,99210.813
1568489202432,2019-09-14T15:26:42.432,3.256,99203.914
1568489202567,2019-09-14T15:26:42.567,3.391,99206.055
1568489202703,2019-09-14T15:26:42.703,3.527,99203.438
1568489202839,2019-09-14T15:26:42.839,3.663,99207.273
1568489202974,2019-09-14T15:26:42.974,3.798,99205.578
1568489203110,2019-09-14T15:26:43.110,3.934,99204.656
1568489203246,2019-09-14T15:26:43.246,4.070,99203.344
1568489203381,2019-09-14T15:26:43.381,4.205,99206.438
1568489203517,2019-09-14T15:26:43.517,4.341,99203.828
1568489203654,2019-09-14T15:26:43.654,4.478,99206.797
1568489203788,2019-09-14T15:26:43.788,4.612,99209.063
1568489203925,2019-09-14T15:26:43.925,4.749,99205.961
1568489204059,2019-09-14T15:26:44.059,4.883,99203.828
1568489204196,2019-09-14T15:26:44.196,5.020,99202.953
1568489204332,2019-09-14T15:26:44.332,5.156,99203.828
1568489204467,2019-09-14T15:26:44.467,5.291,99211.586
1568489204603,2019-09-14T15:26:44.603,5.427,99207.656
1568489204739,2019-09-14T15:26:44.739,5.563,99212.031
1568489204874,2019-09-14T15:26:44.874,5.698,99207.750
