epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568488839590,2019-09-14T15:20:39.590,0.000,99204.828
1568488839725,2019-09-14T15:20:39.725,0.135,99207.438
1568488839861,2019-09-14T15:20:39.861,0.271,99211.750
1568488839997,2019-09-14T15:20:39.997,0.407,99206.047
1568488840132,2019-09-14T15:20:40.132,0.542,99208.313
1568488840268,2019-09-14T15:20:40.268,0.678,99209.969
1568488840404,2019-09-14T15:20:40.404,0.814,99210.797
1568488840539,2019-09-14T15:20:40.539,0.949,99208.180
1568488840675,2019-09-14T15:20:40.675,1.085,99208.180
1568488840810,2019-09-14T15:20:40.810,1.220,99205.203
1568488840946,2019-09-14T15:20:40.946,1.356,99209.484
1568488841082,2019-09-14T15:20:41.082,1.492,99209.969
1568488841217,2019-09-14T15:20:41.217,1.627,99213.422
1568488841353,2019-09-14T15:20:41.353,1.763,99207.344
1568488841490,2019-09-14T15:20:41.490,1.900,99204.734
1568488841624,2019-09-14T15:20:41.624,2.034,99210.797
1568488841761,2019-09-14T15:20:41.761,2.171,99209.484
1568488841895,2019-09-14T15:20:41.895,2.305,99206.875
1568488842032,2019-09-14T15:20:42.032,2.442,99209.047
1568488842168,2019-09-14T15:20:42.168,2.578,99207.734
1568488842303,2019-09-14T15:20:42.303,2.713,99210.359
1568488842439,2019-09-14T15:20:42.439,2.849,99212.500
1568488842575,2019-09-14T15:20:42.575,2.985,99205.563
1568488842710,2019-09-14T15:20:42.710,3.120,99212.500
1568488842846,2019-09-14T15:20:42.846,3.256,99205.125
1568488842981,2019-09-14T15:20:42.981,3.391,99203.813
1568488843117,2019-09-14T15:20:43.117,3.527,99207.734
1568488843253,2019-09-14T15:20:43.253,3.663,99209.047
1568488843388,2019-09-14T15:20:43.388,3.798,99205.563
1568488843524,2019-09-14T15:20:43.524,3.934,99204.641
1568488843661,2019-09-14T15:20:43.661,4.071,99207.258
1568488843795,2019-09-14T15:20:43.795,4.205,99206.781
1568488843932,2019-09-14T15:20:43.932,4.342,99206.422
1568488844066,2019-09-14T15:20:44.066,4.476,99212.016
1568488844203,2019-09-14T15:20:44.203,4.613,99204.156
1568488844339,2019-09-14T15:20:44.339,4.749,99209.047
1568488844474,2019-09-14T15:20:44.474,4.884,99209.398
1568488844610,2019-09-14T15:20:44.610,5.020,99204.641
