epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568488034993,2019-09-14T15:07:14.993,0.000,0.976,-4.634,0.000
1568488035003,2019-09-14T15:07:15.003,0.010,0.915,-4.024,0.366
1568488035013,2019-09-14T15:07:15.013,0.020,1.341,-3.537,0.122
1568488035023,2019-09-14T15:07:15.023,0.030,1.341,-2.744,-0.061
1568488035033,2019-09-14T15:07:15.033,0.040,1.159,-2.073,-0.366
1568488035043,2019-09-14T15:07:15.043,0.050,1.402,-1.646,-0.915
1568488035053,2019-09-14T15:07:15.053,0.060,1.646,-1.646,-1.463
1568488035063,2019-09-14T15:07:15.063,0.070,1.951,-2.073,-2.012
1568488035073,2019-09-14T15:07:15.073,0.080,2.378,-2.866,-2.622
1568488035083,2019-09-14T15:07:15.083,0.090,2.683,-3.476,-2.927
1568488035093,2019-09-14T15:07:15.093,0.100,2.195,-3.902,-2.744
1568488035103,2019-09-14T15:07:15.103,0.110,1.524,-4.268,-2.500
1568488035113,2019-09-14T15:07:15.113,0.120,1.341,-4.817,-2.256
1568488035123,2019-09-14T15:07:15.123,0.130,2.073,-5.305,-2.012
1568488035133,2019-09-14T15:07:15.133,0.140,1.890,-5.488,-1.585
1568488035143,2019-09-14T15:07:15.143,0.150,1.220,-5.488,-1.159
1568488035153,2019-09-14T15:07:15.153,0.160,1.159,-5.305,-0.854
1568488035163,2019-09-14T15:07:15.163,0.170,0.976,-4.695,-0.610
1568488035173,2019-09-14T15:07:15.173,0.180,0.366,-3.659,-0.122
1568488035183,2019-09-14T15:07:15.183,0.190,-0.122,-2.378,0.305
1568488035193,2019-09-14T15:07:15.193,0.200,-0.183,-1.098,0.549
1568488035203,2019-09-14T15:07:15.203,0.210,0.000,0.000,0.610
1568488035213,2019-09-14T15:07:15.213,0.220,0.000,1.037,0.610
1568488035223,2019-09-14T15:07:15.223,0.230,0.122,1.829,0.732
1568488035233,2019-09-14T15:07:15.233,0.240,0.427,2.317,0.671
1568488035243,2019-09-14T15:07:15.243,0.250,0.732,2.683,0.610
1568488035253,2019-09-14T15:07:15.253,0.260,0.549,2.927,0.488
1568488035263,2019-09-14T15:07:15.263,0.270,0.366,2.988,0.549
1568488035273,2019-09-14T15:07:15.273,0.280,0.427,2.988,0.610
1568488035283,2019-09-14T15:07:15.283,0.290,-0.061,3.232,0.915
1568488035293,2019-09-14T15:07:15.293,0.300,-0.610,3.476,1.159
1568488035303,2019-09-14T15:07:15.303,0.310,-0.854,3.415,1.280
1568488035313,2019-09-14T15:07:15.313,0.320,-1.037,3.537,1.341
1568488035323,2019-09-14T15:07:15.323,0.330,-0.854,3.415,1.159
1568488035333,2019-09-14T15:07:15.333,0.340,-0.488,3.232,0.915
1568488035343,2019-09-14T15:07:15.343,0.350,-0.244,2.988,0.610
1568488035353,2019-09-14T15:07:15.353,0.360,0.000,2.744,0.305
1568488035363,2019-09-14T15:07:15.363,0.370,0.122,2.500,0.061
1568488035373,2019-09-14T15:07:15.373,0.380,0.000,2.317,-0.305
1568488035383,2019-09-14T15:07:15.383,0.390,-0.244,2.134,-0.549
1568488035393,2019-09-14T15:07:15.393,0.400,-0.183,2.195,-0.854
1568488035403,2019-09-14T15:07:15.403,0.410,-0.244,2.195,-1.098
1568488035413,2019-09-14T15:07:15.413,0.420,-0.549,2.134,-1.524
1568488035423,2019-09-14T15:07:15.423,0.430,-0.732,2.012,-1.890
1568488035433,2019-09-14T15:07:15.433,0.440,-0.610,1.402,-2.256
