epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568483099583,2019-09-14T13:44:59.583,0.000,1.707,-0.488,-0.427
1568483099593,2019-09-14T13:44:59.593,0.010,1.463,-0.122,0.000
1568483099603,2019-09-14T13:44:59.603,0.020,1.463,-0.122,-0.610
1568483099613,2019-09-14T13:44:59.613,0.030,1.280,-0.244,-1.037
1568483099623,2019-09-14T13:44:59.623,0.040,0.854,-0.122,-1.220
1568483099633,2019-09-14T13:44:59.633,0.050,1.037,0.000,-1.341
1568483099643,2019-09-14T13:44:59.643,0.060,1.402,-0.061,-1.341
1568483099653,2019-09-14T13:44:59.653,0.070,1.341,0.244,-1.341
1568483099663,2019-09-14T13:44:59.663,0.080,1.707,0.122,-1.098
1568483099673,2019-09-14T13:44:59.673,0.090,2.134,-0.122,-0.793
1568483099683,2019-09-14T13:44:59.683,0.100,1.890,-0.244,-0.732
1568483099693,2019-09-14T13:44:59.693,0.110,2.134,-0.305,-0.671
1568483099703,2019-09-14T13:44:59.703,0.120,2.500,-0.305,-0.488
1568483099713,2019-09-14T13:44:59.713,0.130,2.561,-0.305,-0.610
1568483099723,2019-09-14T13:44:59.723,0.140,2.500,-0.244,-0.732
1568483099733,2019-09-14T13:44:59.733,0.150,2.622,0.000,-0.732
1568483099743,2019-09-14T13:44:59.743,0.160,2.805,0.366,-1.037
1568483099753,2019-09-14T13:44:59.753,0.170,3.110,0.671,-1.098
1568483099763,2019-09-14T13:44:59.763,0.180,3.171,0.976,-1.159
1568483099773,2019-09-14T13:44:59.773,0.190,3.049,1.220,-1.463
1568483099783,2019-09-14T13:44:59.783,0.200,3.049,1.463,-1.585
1568483099793,2019-09-14T13:44:59.793,0.210,3.232,1.768,-1.463
1568483099803,2019-09-14T13:44:59.803,0.220,3.659,2.073,-1.280
1568483099813,2019-09-14T13:44:59.813,0.230,4.024,2.378,-1.098
1568483099823,2019-09-14T13:44:59.823,0.240,4.207,2.683,-1.037
1568483099833,2019-09-14T13:44:59.833,0.250,4.634,3.110,-0.671
1568483099843,2019-09-14T13:44:59.843,0.260,5.061,3.232,-0.549
1568483099853,2019-09-14T13:44:59.853,0.270,5.488,3.537,-0.427
1568483099863,2019-09-14T13:44:59.863,0.280,5.732,3.476,-0.305
1568483099873,2019-09-14T13:44:59.873,0.290,5.671,3.354,-0.061
1568483099883,2019-09-14T13:44:59.883,0.300,5.793,3.110,0.122
