epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568493012161,2019-09-14T16:30:12.161,0.000,99168.344
1568493012296,2019-09-14T16:30:12.296,0.135,99170.016
1568493012432,2019-09-14T16:30:12.432,0.271,99163.500
1568493012567,2019-09-14T16:30:12.567,0.406,99164.367
1568493012703,2019-09-14T16:30:12.703,0.542,99169.578
1568493012839,2019-09-14T16:30:12.839,0.678,99167.406
1568493012974,2019-09-14T16:30:12.974,0.813,99168.273
1568493013110,2019-09-14T16:30:13.110,0.949,99166.109
1568493013247,2019-09-14T16:30:13.247,1.086,99160.891
1568493013381,2019-09-14T16:30:13.381,1.220,99163.500
1568493013518,2019-09-14T16:30:13.518,1.357,99162.125
1568493013652,2019-09-14T16:30:13.652,1.491,99164.367
1568493013789,2019-09-14T16:30:13.789,1.628,99160.891
1568493013925,2019-09-14T16:30:13.925,1.764,99163.898
1568493014061,2019-09-14T16:30:14.061,1.900,99164.734
1568493014196,2019-09-14T16:30:14.196,2.035,99163.969
1568493014332,2019-09-14T16:30:14.332,2.171,99166.500
1568493014468,2019-09-14T16:30:14.468,2.307,99163.500
1568493014603,2019-09-14T16:30:14.603,2.442,99163.500
1568493014739,2019-09-14T16:30:14.739,2.578,99164.797
1568493014874,2019-09-14T16:30:14.874,2.713,99160.063
1568493015010,2019-09-14T16:30:15.010,2.849,99164.797
1568493015147,2019-09-14T16:30:15.147,2.986,99158.391
1568493015281,2019-09-14T16:30:15.281,3.120,99161.836
1568493015418,2019-09-14T16:30:15.418,3.257,99168.344
1568493015554,2019-09-14T16:30:15.554,3.393,99161.000
1568493015689,2019-09-14T16:30:15.689,3.528,99163.609
1568493015825,2019-09-14T16:30:15.825,3.664,99163.609
1568493015960,2019-09-14T16:30:15.960,3.799,99158.836
1568493016096,2019-09-14T16:30:16.096,3.935,99163.141
1568493016232,2019-09-14T16:30:16.232,4.071,99161.438
1568493016367,2019-09-14T16:30:16.367,4.206,99163.609
1568493016503,2019-09-14T16:30:16.503,4.342,99161.945
1568493016639,2019-09-14T16:30:16.639,4.478,99162.344
1568493016774,2019-09-14T16:30:16.774,4.613,99169.250
1568493016910,2019-09-14T16:30:16.910,4.749,99154.125
1568493017046,2019-09-14T16:30:17.046,4.885,99157.570
1568493017181,2019-09-14T16:30:17.181,5.020,99167.117
1568493017317,2019-09-14T16:30:17.317,5.156,99167.984
1568493017452,2019-09-14T16:30:17.452,5.291,99166.250
1568493017588,2019-09-14T16:30:17.588,5.427,99163.250
1568493017725,2019-09-14T16:30:17.725,5.564,99163.250
1568493017859,2019-09-14T16:30:17.859,5.698,99165.383
1568493017996,2019-09-14T16:30:17.996,5.835,99163.719
1568493018132,2019-09-14T16:30:18.132,5.971,99162.414
1568493018267,2019-09-14T16:30:18.267,6.106,99163.719
1568493018403,2019-09-14T16:30:18.403,6.242,99164.188
1568493018539,2019-09-14T16:30:18.539,6.378,99165.094
1568493018674,2019-09-14T16:30:18.674,6.513,99162.484
1568493018810,2019-09-14T16:30:18.810,6.649,99165.563
1568493018945,2019-09-14T16:30:18.945,6.784,99161.258
1568493019081,2019-09-14T16:30:19.081,6.920,99158.289
1568493019217,2019-09-14T16:30:19.217,7.056,99162.563
1568493019352,2019-09-14T16:30:19.352,7.191,99161.328
1568493019488,2019-09-14T16:30:19.488,7.327,99163.938
1568493019625,2019-09-14T16:30:19.625,7.464,99164.328
1568493019759,2019-09-14T16:30:19.759,7.598,99159.594
1568493019896,2019-09-14T16:30:19.896,7.735,99160.422
1568493020032,2019-09-14T16:30:20.032,7.871,99161.328
1568493020167,2019-09-14T16:30:20.167,8.006,99156.125
1568493020303,2019-09-14T16:30:20.303,8.142,99161.797
1568493020439,2019-09-14T16:30:20.439,8.278,99165.313
1568493020574,2019-09-14T16:30:20.574,8.413,99161.328
1568493020710,2019-09-14T16:30:20.710,8.549,99162.266
1568493020846,2019-09-14T16:30:20.846,8.685,99164.938
1568493020981,2019-09-14T16:30:20.981,8.820,99165.781
1568493021117,2019-09-14T16:30:21.117,8.956,99165.414
1568493021254,2019-09-14T16:30:21.254,9.093,99163.250
1568493021388,2019-09-14T16:30:21.388,9.227,99162.406
1568493021525,2019-09-14T16:30:21.525,9.364,99160.273
1568493021659,2019-09-14T16:30:21.659,9.498,99168.922
1568493021796,2019-09-14T16:30:21.796,9.635,99168.531
1568493021932,2019-09-14T16:30:21.932,9.771,99164.180
1568493022067,2019-09-14T16:30:22.067,9.906,99159.406
1568493022203,2019-09-14T16:30:22.203,10.042,99164.250
1568493022339,2019-09-14T16:30:22.339,10.178,99163.313
1568493022474,2019-09-14T16:30:22.474,10.313,99157.273
1568493022610,2019-09-14T16:30:22.610,10.449,99159.047
1568493022745,2019-09-14T16:30:22.745,10.584,99161.250
1568493022881,2019-09-14T16:30:22.881,10.720,99162.555
1568493023017,2019-09-14T16:30:23.017,10.856,99159.953
1568493023152,2019-09-14T16:30:23.152,10.991,99161.719
1568493023288,2019-09-14T16:30:23.288,11.127,99157.813
1568493023424,2019-09-14T16:30:23.424,11.263,99161.328
1568493023559,2019-09-14T16:30:23.559,11.398,99161.797
1568493023695,2019-09-14T16:30:23.695,11.534,99165.234
1568493023830,2019-09-14T16:30:23.830,11.669,99161.422
1568493023966,2019-09-14T16:30:23.966,11.805,99163.563
1568493024103,2019-09-14T16:30:24.103,11.942,99164.867
1568493024237,2019-09-14T16:30:24.237,12.076,99162.266
1568493024374,2019-09-14T16:30:24.374,12.213,99165.328
1568493024510,2019-09-14T16:30:24.510,12.349,99162.734
1568493024645,2019-09-14T16:30:24.645,12.484,99166.641
1568493024781,2019-09-14T16:30:24.781,12.620,99164.469
