epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568485892258,2019-09-14T14:31:32.258,0.000,3.171,1.585,-4.512
1568485892268,2019-09-14T14:31:32.268,0.010,3.049,2.073,-4.451
1568485892278,2019-09-14T14:31:32.278,0.020,2.256,1.585,-3.902
1568485892288,2019-09-14T14:31:32.288,0.030,1.890,1.220,-3.049
1568485892298,2019-09-14T14:31:32.298,0.040,1.768,0.854,-2.622
1568485892308,2019-09-14T14:31:32.308,0.050,1.585,0.305,-2.622
1568485892318,2019-09-14T14:31:32.318,0.060,1.524,-0.122,-2.805
1568485892328,2019-09-14T14:31:32.328,0.070,1.341,-0.549,-3.110
1568485892338,2019-09-14T14:31:32.338,0.080,1.159,-1.098,-3.720
1568485892348,2019-09-14T14:31:32.348,0.090,1.037,-1.280,-4.146
1568485892358,2019-09-14T14:31:32.358,0.100,0.610,-1.402,-4.451
1568485892368,2019-09-14T14:31:32.368,0.110,0.061,-1.220,-4.634
1568485892378,2019-09-14T14:31:32.378,0.120,-0.488,-1.037,-4.390
1568485892388,2019-09-14T14:31:32.388,0.130,-0.915,-0.793,-4.146
1568485892398,2019-09-14T14:31:32.398,0.140,-0.854,-0.671,-4.085
1568485892408,2019-09-14T14:31:32.408,0.150,-0.610,-0.488,-3.963
1568485892418,2019-09-14T14:31:32.418,0.160,-0.183,-0.488,-3.841
1568485892428,2019-09-14T14:31:32.428,0.170,0.122,-0.427,-3.841
1568485892438,2019-09-14T14:31:32.438,0.180,0.488,-0.305,-3.841
1568485892448,2019-09-14T14:31:32.448,0.190,0.732,-0.122,-3.720
1568485892458,2019-09-14T14:31:32.458,0.200,0.976,0.122,-3.232
1568485892468,2019-09-14T14:31:32.468,0.210,1.037,0.427,-2.927
1568485892478,2019-09-14T14:31:32.478,0.220,0.854,0.854,-2.439
1568485892488,2019-09-14T14:31:32.488,0.230,0.732,1.159,-1.951
1568485892498,2019-09-14T14:31:32.498,0.240,0.793,1.463,-1.463
1568485892508,2019-09-14T14:31:32.508,0.250,0.976,1.585,-1.159
1568485892518,2019-09-14T14:31:32.518,0.260,1.037,1.707,-0.732
1568485892528,2019-09-14T14:31:32.528,0.270,0.915,1.768,-0.305
1568485892538,2019-09-14T14:31:32.538,0.280,1.159,1.646,-0.122
1568485892548,2019-09-14T14:31:32.548,0.290,1.402,1.524,0.000
1568485892558,2019-09-14T14:31:32.558,0.300,1.585,1.220,0.122
1568485892568,2019-09-14T14:31:32.568,0.310,1.524,1.037,0.366
1568485892578,2019-09-14T14:31:32.578,0.320,1.341,0.915,0.793
1568485892588,2019-09-14T14:31:32.588,0.330,1.098,0.915,1.098
1568485892598,2019-09-14T14:31:32.598,0.340,0.854,0.976,1.280
1568485892608,2019-09-14T14:31:32.608,0.350,0.488,0.976,1.280
1568485892618,2019-09-14T14:31:32.618,0.360,0.061,1.037,0.854
1568485892628,2019-09-14T14:31:32.628,0.370,-0.183,1.037,0.366
1568485892638,2019-09-14T14:31:32.638,0.380,0.061,0.976,-0.366
1568485892648,2019-09-14T14:31:32.648,0.390,0.427,0.793,-1.280
1568485892658,2019-09-14T14:31:32.658,0.400,0.732,0.732,-1.829
1568485892668,2019-09-14T14:31:32.668,0.410,0.976,0.854,-2.073
1568485892678,2019-09-14T14:31:32.678,0.420,0.976,0.915,-2.378
1568485892688,2019-09-14T14:31:32.688,0.430,1.098,0.915,-2.805
1568485892698,2019-09-14T14:31:32.698,0.440,1.463,1.037,-3.232
1568485892708,2019-09-14T14:31:32.708,0.450,1.585,1.220,-3.598
1568485892718,2019-09-14T14:31:32.718,0.460,1.037,1.341,-4.024
1568485892728,2019-09-14T14:31:32.728,0.470,0.549,1.646,-4.634
1568485892738,2019-09-14T14:31:32.738,0.480,0.427,1.829,-5.244
1568485892748,2019-09-14T14:31:32.748,0.490,0.549,1.890,-5.976
1568485892758,2019-09-14T14:31:32.758,0.500,0.732,1.768,-6.524
1568485892768,2019-09-14T14:31:32.768,0.510,0.854,1.890,-6.951
1568485892778,2019-09-14T14:31:32.778,0.520,1.037,1.829,-7.317
1568485892788,2019-09-14T14:31:32.788,0.530,1.098,1.707,-7.317
1568485892798,2019-09-14T14:31:32.798,0.540,0.671,2.012,-7.317
1568485892808,2019-09-14T14:31:32.808,0.550,-0.488,2.500,-6.707
1568485892818,2019-09-14T14:31:32.818,0.560,-2.256,3.171,-5.671
1568485892828,2019-09-14T14:31:32.828,0.570,-3.780,3.841,-4.451
1568485892838,2019-09-14T14:31:32.838,0.580,-4.817,4.512,-3.476
1568485892848,2019-09-14T14:31:32.848,0.590,-5.488,4.939,-3.049
1568485892858,2019-09-14T14:31:32.858,0.600,-6.037,5.183,-2.927
1568485892868,2019-09-14T14:31:32.868,0.610,-5.793,5.244,-3.171
1568485892878,2019-09-14T14:31:32.878,0.620,-4.878,5.122,-3.902
1568485892888,2019-09-14T14:31:32.888,0.630,-4.024,5.061,-4.695
1568485892898,2019-09-14T14:31:32.898,0.640,-3.720,4.878,-5.000
1568485892908,2019-09-14T14:31:32.908,0.650,-2.744,4.634,-5.061
1568485892918,2019-09-14T14:31:32.918,0.660,-1.037,4.390,-5.366
1568485892928,2019-09-14T14:31:32.928,0.670,0.488,4.024,-6.098
1568485892938,2019-09-14T14:31:32.938,0.680,1.707,3.841,-6.951
1568485892948,2019-09-14T14:31:32.948,0.690,2.988,3.476,-7.866
1568485892958,2019-09-14T14:31:32.958,0.700,4.268,3.293,-9.085
1568485892968,2019-09-14T14:31:32.968,0.710,5.305,3.293,-10.061
1568485892978,2019-09-14T14:31:32.978,0.720,5.305,3.659,-10.244
1568485892988,2019-09-14T14:31:32.988,0.730,4.695,4.024,-9.939
1568485892998,2019-09-14T14:31:32.998,0.740,4.817,4.329,-9.451
1568485893008,2019-09-14T14:31:33.008,0.750,5.061,4.634,-9.146
1568485893018,2019-09-14T14:31:33.018,0.760,5.183,4.878,-8.537
1568485893028,2019-09-14T14:31:33.028,0.770,5.366,5.183,-7.988
1568485893038,2019-09-14T14:31:33.038,0.780,5.671,5.183,-7.866
1568485893048,2019-09-14T14:31:33.048,0.790,6.037,5.122,-7.927
1568485893058,2019-09-14T14:31:33.058,0.800,6.220,5.061,-8.232
1568485893068,2019-09-14T14:31:33.068,0.810,7.134,4.817,-9.146
1568485893078,2019-09-14T14:31:33.078,0.820,7.805,4.817,-10.488
1568485893088,2019-09-14T14:31:33.088,0.830,7.805,5.000,-11.890
1568485893098,2019-09-14T14:31:33.098,0.840,7.866,5.183,-13.841
1568485893108,2019-09-14T14:31:33.108,0.850,8.841,5.061,-15.854
1568485893118,2019-09-14T14:31:33.118,0.860,10.366,4.939,-17.988
1568485893128,2019-09-14T14:31:33.128,0.870,11.341,4.817,-20.244
1568485893138,2019-09-14T14:31:33.138,0.880,12.012,4.695,-22.378
1568485893148,2019-09-14T14:31:33.148,0.890,13.049,4.451,-24.390
1568485893158,2019-09-14T14:31:33.158,0.900,14.329,4.268,-26.280
1568485893168,2019-09-14T14:31:33.168,0.910,15.183,3.963,-27.988
1568485893178,2019-09-14T14:31:33.178,0.920,15.732,3.598,-29.085
1568485893188,2019-09-14T14:31:33.188,0.930,16.098,3.232,-29.695
1568485893198,2019-09-14T14:31:33.198,0.940,16.280,2.500,-29.756
1568485893208,2019-09-14T14:31:33.208,0.950,16.829,1.280,-29.268
1568485893218,2019-09-14T14:31:33.218,0.960,17.988,-0.366,-28.232
1568485893228,2019-09-14T14:31:33.228,0.970,18.720,-2.561,-26.280
1568485893238,2019-09-14T14:31:33.238,0.980,19.024,-5.793,-23.841
1568485893248,2019-09-14T14:31:33.248,0.990,20.427,-9.878,-21.280
1568485893258,2019-09-14T14:31:33.258,1.000,22.256,-14.817,-18.963
1568485893268,2019-09-14T14:31:33.268,1.010,23.841,-20.549,-17.378
