epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568493138444,2019-09-14T16:32:18.444,12.483,99162.070
1568493138580,2019-09-14T16:32:18.580,12.619,99159.000
1568493138715,2019-09-14T16:32:18.715,12.754,99156.000
1568493138851,2019-09-14T16:32:18.851,12.890,99160.773
1568493138988,2019-09-14T16:32:18.988,13.027,99164.672
1568493139122,2019-09-14T16:32:19.122,13.161,99160.773
1568493139259,2019-09-14T16:32:19.259,13.298,99165.508
1568493139393,2019-09-14T16:32:19.393,13.432,99165.508
1568493139530,2019-09-14T16:32:19.530,13.569,99160.305
1568493139666,2019-09-14T16:32:19.666,13.705,99166.813
1568493139801,2019-09-14T16:32:19.801,13.840,99160.305
1568493139937,2019-09-14T16:32:19.937,13.976,99160.773
1568493140073,2019-09-14T16:32:20.073,14.112,99160.773
1568493140208,2019-09-14T16:32:20.208,14.247,99156.875
1568493140344,2019-09-14T16:32:20.344,14.383,99159.906
1568493140479,2019-09-14T16:32:20.479,14.518,99165.109
1568493140615,2019-09-14T16:32:20.615,14.654,99156.938
1568493140751,2019-09-14T16:32:20.751,14.790,99160.844
1568493140886,2019-09-14T16:32:20.886,14.925,99159.078
1568493141022,2019-09-14T16:32:21.022,15.061,99161.672
1568493141159,2019-09-14T16:32:21.159,15.198,99164.281
1568493141293,2019-09-14T16:32:21.293,15.332,99163.813
1568493141430,2019-09-14T16:32:21.430,15.469,99157.844
1568493141566,2019-09-14T16:32:21.566,15.605,99163.875
1568493141701,2019-09-14T16:32:21.701,15.740,99157.000
1568493141837,2019-09-14T16:32:21.837,15.876,99158.313
1568493141973,2019-09-14T16:32:21.973,16.012,99159.609
1568493142108,2019-09-14T16:32:22.108,16.147,99161.375
1568493142244,2019-09-14T16:32:22.244,16.283,99161.375
1568493142379,2019-09-14T16:32:22.379,16.418,99160.078
1568493142515,2019-09-14T16:32:22.515,16.554,99154.938
1568493142651,2019-09-14T16:32:22.651,16.690,99144.063
1568493142786,2019-09-14T16:32:22.786,16.825,99158.438
1568493142922,2019-09-14T16:32:22.922,16.961,99156.672
1568493143058,2019-09-14T16:32:23.058,17.097,99156.313
1568493143193,2019-09-14T16:32:23.193,17.232,99162.813
1568493143329,2019-09-14T16:32:23.329,17.368,99158.078
1568493143464,2019-09-14T16:32:23.464,17.503,99153.781
1568493143600,2019-09-14T16:32:23.600,17.639,99162.047
1568493143737,2019-09-14T16:32:23.737,17.776,99166.383
1568493143871,2019-09-14T16:32:23.871,17.910,99162.945
1568493144008,2019-09-14T16:32:24.008,18.047,99166.844
1568493144144,2019-09-14T16:32:24.144,18.183,99159.109
1568493144279,2019-09-14T16:32:24.279,18.318,99151.781
1568493144415,2019-09-14T16:32:24.415,18.454,99163.078
1568493144550,2019-09-14T16:32:24.550,18.589,99162.180
1568493144686,2019-09-14T16:32:24.686,18.725,99159.641
1568493144822,2019-09-14T16:32:24.822,18.861,99164.852
1568493144957,2019-09-14T16:32:24.957,18.996,99153.211
1568493145093,2019-09-14T16:32:25.093,19.132,99147.109
1568493145229,2019-09-14T16:32:25.229,19.268,99158.344
1568493145364,2019-09-14T16:32:25.364,19.403,99154.906
