epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568485892228,2019-09-14T14:31:32.228,0.000,99288.977
1568485892364,2019-09-14T14:31:32.364,0.136,99290.203
1568485892499,2019-09-14T14:31:32.499,0.271,99292.813
1568485892635,2019-09-14T14:31:32.635,0.407,99290.547
1568485892772,2019-09-14T14:31:32.772,0.544,99290.203
1568485892906,2019-09-14T14:31:32.906,0.678,99288.406
1568485893043,2019-09-14T14:31:33.043,0.815,99291.859
1568485893179,2019-09-14T14:31:33.179,0.951,99287.938
1568485893314,2019-09-14T14:31:33.314,1.086,99294.875
1568485893450,2019-09-14T14:31:33.450,1.222,99291.391
1568485893585,2019-09-14T14:31:33.585,1.357,99285.711
1568485893721,2019-09-14T14:31:33.721,1.493,99290.078
1568485893857,2019-09-14T14:31:33.857,1.629,99290.078
1568485893992,2019-09-14T14:31:33.992,1.764,99290.547
1568485894128,2019-09-14T14:31:34.128,1.900,99292.688
1568485894264,2019-09-14T14:31:34.264,2.036,99289.719
1568485894399,2019-09-14T14:31:34.399,2.171,99294.000
1568485894535,2019-09-14T14:31:34.535,2.307,99294.000
1568485894670,2019-09-14T14:31:34.670,2.442,99285.320
1568485894806,2019-09-14T14:31:34.806,2.578,99286.148
1568485894942,2019-09-14T14:31:34.942,2.714,99288.328
1568485895077,2019-09-14T14:31:35.077,2.849,99289.250
1568485895213,2019-09-14T14:31:35.213,2.985,99289.633
1568485895350,2019-09-14T14:31:35.350,3.122,99288.766
1568485895484,2019-09-14T14:31:35.484,3.256,99287.461
1568485895621,2019-09-14T14:31:35.621,3.393,99290.938
1568485895755,2019-09-14T14:31:35.755,3.527,99289.633
1568485895892,2019-09-14T14:31:35.892,3.664,99286.148
1568485896028,2019-09-14T14:31:36.028,3.800,99287.852
1568485896163,2019-09-14T14:31:36.163,3.935,99290.938
1568485896299,2019-09-14T14:31:36.299,4.071,99290.938
1568485896435,2019-09-14T14:31:36.435,4.207,99294.875
1568485896570,2019-09-14T14:31:36.570,4.342,99290.938
1568485896706,2019-09-14T14:31:36.706,4.478,99291.773
1568485896841,2019-09-14T14:31:36.841,4.613,99291.297
1568485896977,2019-09-14T14:31:36.977,4.749,99289.984
1568485897113,2019-09-14T14:31:37.113,4.885,99284.313
1568485897248,2019-09-14T14:31:37.248,5.020,99291.297
1568485897384,2019-09-14T14:31:37.384,5.156,99288.234
1568485897521,2019-09-14T14:31:37.521,5.293,99287.375
1568485897655,2019-09-14T14:31:37.655,5.427,99291.297
1568485897792,2019-09-14T14:31:37.792,5.564,99285.625
1568485897926,2019-09-14T14:31:37.926,5.698,99291.688
1568485898063,2019-09-14T14:31:38.063,5.835,99288.234
1568485898199,2019-09-14T14:31:38.199,5.971,99287.766
1568485898334,2019-09-14T14:31:38.334,6.106,99288.234
1568485898470,2019-09-14T14:31:38.470,6.242,99285.977
1568485898606,2019-09-14T14:31:38.606,6.378,99285.625
1568485898741,2019-09-14T14:31:38.741,6.513,99291.688
1568485898877,2019-09-14T14:31:38.877,6.649,99279.906
1568485899013,2019-09-14T14:31:39.013,6.785,99290.375
1568485899148,2019-09-14T14:31:39.148,6.920,99284.672
1568485899284,2019-09-14T14:31:39.284,7.056,99288.594
1568485899419,2019-09-14T14:31:39.419,7.191,99288.594
1568485899555,2019-09-14T14:31:39.555,7.327,99290.734
1568485899691,2019-09-14T14:31:39.691,7.463,99291.602
1568485899826,2019-09-14T14:31:39.826,7.598,99288.117
1568485899962,2019-09-14T14:31:39.962,7.734,99292.430
1568485900099,2019-09-14T14:31:40.099,7.871,99287.672
1568485900233,2019-09-14T14:31:40.233,8.005,99285.891
1568485900370,2019-09-14T14:31:40.370,8.142,99287.672
1568485900504,2019-09-14T14:31:40.504,8.276,99291.602
1568485900641,2019-09-14T14:31:40.641,8.413,99288.984
1568485900777,2019-09-14T14:31:40.777,8.549,99286.359
1568485900913,2019-09-14T14:31:40.913,8.685,99291.953
1568485901048,2019-09-14T14:31:41.048,8.820,99292.430
1568485901184,2019-09-14T14:31:41.184,8.956,99287.203
1568485901320,2019-09-14T14:31:41.320,9.092,99290.289
1568485901455,2019-09-14T14:31:41.455,9.227,99289.344
1568485901591,2019-09-14T14:31:41.591,9.363,99290.641
1568485901726,2019-09-14T14:31:41.726,9.498,99289.344
1568485901862,2019-09-14T14:31:41.862,9.634,99286.359
1568485901999,2019-09-14T14:31:41.999,9.771,99286.273
1568485902133,2019-09-14T14:31:42.133,9.905,99287.203
1568485902270,2019-09-14T14:31:42.270,10.042,99287.586
1568485902406,2019-09-14T14:31:42.406,10.178,99288.031
1568485902541,2019-09-14T14:31:42.541,10.313,99282.344
1568485902677,2019-09-14T14:31:42.677,10.449,99286.719
1568485902812,2019-09-14T14:31:42.812,10.584,99293.266
1568485902948,2019-09-14T14:31:42.948,10.720,99288.414
1568485903084,2019-09-14T14:31:43.084,10.856,99293.172
1568485903219,2019-09-14T14:31:43.219,10.991,99290.203
1568485903355,2019-09-14T14:31:43.355,11.127,99293.172
1568485903491,2019-09-14T14:31:43.491,11.263,99293.656
1568485903626,2019-09-14T14:31:43.626,11.398,99286.273
1568485903762,2019-09-14T14:31:43.762,11.534,99285.797
1568485903897,2019-09-14T14:31:43.897,11.669,99288.414
1568485904033,2019-09-14T14:31:44.033,11.805,99287.109
1568485904170,2019-09-14T14:31:44.170,11.942,99287.938
1568485904304,2019-09-14T14:31:44.304,12.076,99288.414
1568485904441,2019-09-14T14:31:44.441,12.213,99286.273
1568485904577,2019-09-14T14:31:44.577,12.349,99288.766
1568485904712,2019-09-14T14:31:44.712,12.484,99286.625
1568485904848,2019-09-14T14:31:44.848,12.620,99287.586
1568485904984,2019-09-14T14:31:44.984,12.756,99290.555
1568485905119,2019-09-14T14:31:45.119,12.891,99289.250
1568485905255,2019-09-14T14:31:45.255,13.027,99283.188
1568485905391,2019-09-14T14:31:45.391,13.163,99290.078
1568485905526,2019-09-14T14:31:45.526,13.298,99287.016
1568485905662,2019-09-14T14:31:45.662,13.434,99291.867
1568485905797,2019-09-14T14:31:45.797,13.569,99290.555
1568485905933,2019-09-14T14:31:45.933,13.705,99291.781
1568485906069,2019-09-14T14:31:46.069,13.841,99294.008
1568485906204,2019-09-14T14:31:46.204,13.976,99288.328
1568485906340,2019-09-14T14:31:46.340,14.112,99284.844
1568485906477,2019-09-14T14:31:46.477,14.249,99286.156
1568485906611,2019-09-14T14:31:46.611,14.383,99290.078
1568485906748,2019-09-14T14:31:46.748,14.520,99292.250
1568485906882,2019-09-14T14:31:46.882,14.654,99293.086
1568485907019,2019-09-14T14:31:47.019,14.791,99293.086
1568485907155,2019-09-14T14:31:47.155,14.927,99289.156
1568485907290,2019-09-14T14:31:47.290,15.062,99290.469
1568485907426,2019-09-14T14:31:47.426,15.198,99287.469
1568485907562,2019-09-14T14:31:47.562,15.334,99295.703
1568485907697,2019-09-14T14:31:47.697,15.469,99293.477
1568485907833,2019-09-14T14:31:47.833,15.605,99290.469
1568485907969,2019-09-14T14:31:47.969,15.741,99296.531
1568485908104,2019-09-14T14:31:48.104,15.876,99290.469
1568485908240,2019-09-14T14:31:48.240,16.012,99287.852
1568485908377,2019-09-14T14:31:48.377,16.149,99287.375
1568485908511,2019-09-14T14:31:48.511,16.283,99289.156
1568485908648,2019-09-14T14:31:48.648,16.420,99291.297
1568485908782,2019-09-14T14:31:48.782,16.554,99295.227
1568485908919,2019-09-14T14:31:48.919,16.691,99292.164
1568485909055,2019-09-14T14:31:49.055,16.827,99291.297
1568485909190,2019-09-14T14:31:49.190,16.962,99287.375
1568485909326,2019-09-14T14:31:49.326,17.098,99289.992
1568485909462,2019-09-14T14:31:49.462,17.234,99291.781
1568485909597,2019-09-14T14:31:49.597,17.369,99293.086
1568485909733,2019-09-14T14:31:49.733,17.505,99289.992
1568485909869,2019-09-14T14:31:49.869,17.641,99292.609
1568485910004,2019-09-14T14:31:50.004,17.776,99287.375
1568485910140,2019-09-14T14:31:50.140,17.912,99292.164
1568485910275,2019-09-14T14:31:50.275,18.047,99291.297
1568485910411,2019-09-14T14:31:50.411,18.183,99289.992
1568485910547,2019-09-14T14:31:50.547,18.319,99284.758
1568485910682,2019-09-14T14:31:50.682,18.454,99290.859
1568485910818,2019-09-14T14:31:50.818,18.590,99289.992
1568485910955,2019-09-14T14:31:50.955,18.727,99286.063
1568485911089,2019-09-14T14:31:51.089,18.861,99286.539
1568485911226,2019-09-14T14:31:51.226,18.998,99287.852
1568485911360,2019-09-14T14:31:51.360,19.132,99292.609
1568485911497,2019-09-14T14:31:51.497,19.269,99290.859
1568485911633,2019-09-14T14:31:51.633,19.405,99286.938
1568485911768,2019-09-14T14:31:51.768,19.540,99290.469
1568485911904,2019-09-14T14:31:51.904,19.676,99291.781
1568485912040,2019-09-14T14:31:52.040,19.812,99288.242
1568485912175,2019-09-14T14:31:52.175,19.947,99287.375
1568485912311,2019-09-14T14:31:52.311,20.083,99289.547
1568485912447,2019-09-14T14:31:52.447,20.219,99288.242
1568485912582,2019-09-14T14:31:52.582,20.354,99291.781
1568485912718,2019-09-14T14:31:52.718,20.490,99297.844
1568485912853,2019-09-14T14:31:52.853,20.625,99289.547
1568485912989,2019-09-14T14:31:52.989,20.761,99291.297
1568485913126,2019-09-14T14:31:53.126,20.898,99284.398
1568485913260,2019-09-14T14:31:53.260,21.032,99290.469
1568485913397,2019-09-14T14:31:53.397,21.169,99283.922
1568485913533,2019-09-14T14:31:53.533,21.305,99290.469
1568485913668,2019-09-14T14:31:53.668,21.440,99285.234
1568485913804,2019-09-14T14:31:53.804,21.576,99289.641
1568485913940,2019-09-14T14:31:53.940,21.712,99289.156
1568485914075,2019-09-14T14:31:54.075,21.847,99285.711
1568485914211,2019-09-14T14:31:54.211,21.983,99287.852
1568485914346,2019-09-14T14:31:54.346,22.118,99287.469
1568485914482,2019-09-14T14:31:54.482,22.254,99287.109
1568485914618,2019-09-14T14:31:54.618,22.390,99287.469
1568485914753,2019-09-14T14:31:54.753,22.525,99288.328
1568485914889,2019-09-14T14:31:54.889,22.661,99287.938
1568485915025,2019-09-14T14:31:55.025,22.797,99285.797
1568485915160,2019-09-14T14:31:55.160,22.932,99284.484
1568485915296,2019-09-14T14:31:55.296,23.068,99290.555
1568485915433,2019-09-14T14:31:55.433,23.205,99291.391
1568485915567,2019-09-14T14:31:55.567,23.339,99290.078
1568485915704,2019-09-14T14:31:55.704,23.476,99285.328
1568485915840,2019-09-14T14:31:55.840,23.612,99289.250
1568485915975,2019-09-14T14:31:55.975,23.747,99285.328
1568485916111,2019-09-14T14:31:56.111,23.883,99287.469
1568485916246,2019-09-14T14:31:56.246,24.018,99284.844
1568485916382,2019-09-14T14:31:56.382,24.154,99281.781
1568485916518,2019-09-14T14:31:56.518,24.290,99287.938
1568485916653,2019-09-14T14:31:56.653,24.425,99291.781
1568485916789,2019-09-14T14:31:56.789,24.561,99287.469
1568485916925,2019-09-14T14:31:56.925,24.697,99288.766
1568485917060,2019-09-14T14:31:57.060,24.832,99290.078
1568485917196,2019-09-14T14:31:57.196,24.968,99289.727
1568485917331,2019-09-14T14:31:57.331,25.103,99286.625
1568485917467,2019-09-14T14:31:57.467,25.239,99283.539
1568485917604,2019-09-14T14:31:57.604,25.376,99287.016
1568485917738,2019-09-14T14:31:57.738,25.510,99288.328
1568485917875,2019-09-14T14:31:57.875,25.647,99292.250
1568485918011,2019-09-14T14:31:58.011,25.783,99281.781
1568485918146,2019-09-14T14:31:58.146,25.918,99287.016
1568485918282,2019-09-14T14:31:58.282,26.054,99286.156
1568485918418,2019-09-14T14:31:58.418,26.190,99283.094
1568485918553,2019-09-14T14:31:58.553,26.325,99290.945
1568485918689,2019-09-14T14:31:58.689,26.461,99287.016
1568485918824,2019-09-14T14:31:58.824,26.596,99286.539
1568485918960,2019-09-14T14:31:58.960,26.732,99286.156
1568485919096,2019-09-14T14:31:59.096,26.868,99293.086
1568485919231,2019-09-14T14:31:59.231,27.003,99290.469
1568485919367,2019-09-14T14:31:59.367,27.139,99290.078
1568485919503,2019-09-14T14:31:59.503,27.275,99291.781
1568485919638,2019-09-14T14:31:59.638,27.410,99290.945
1568485919774,2019-09-14T14:31:59.774,27.546,99290.945
1568485919909,2019-09-14T14:31:59.909,27.681,99289.156
1568485920045,2019-09-14T14:32:00.045,27.817,99287.016
1568485920182,2019-09-14T14:32:00.182,27.954,99286.539
1568485920316,2019-09-14T14:32:00.316,28.088,99286.539
1568485920453,2019-09-14T14:32:00.453,28.225,99288.688
1568485920589,2019-09-14T14:32:00.589,28.361,99287.852
1568485920724,2019-09-14T14:32:00.724,28.496,99286.539
1568485920860,2019-09-14T14:32:00.860,28.632,99288.688
1568485920995,2019-09-14T14:32:00.995,28.767,99289.156
1568485921131,2019-09-14T14:32:01.131,28.903,99286.539
1568485921267,2019-09-14T14:32:01.267,29.039,99289.992
1568485921402,2019-09-14T14:32:01.402,29.174,99288.242
1568485921538,2019-09-14T14:32:01.538,29.310,99282.141
1568485921674,2019-09-14T14:32:01.674,29.446,99287.281
1568485921809,2019-09-14T14:32:01.809,29.581,99280.828
1568485921945,2019-09-14T14:32:01.945,29.717,99289.547
1568485922080,2019-09-14T14:32:02.080,29.852,99285.141
1568485922216,2019-09-14T14:32:02.216,29.988,99291.297
1568485922353,2019-09-14T14:32:02.353,30.125,99285.141
1568485922487,2019-09-14T14:32:02.487,30.259,99290.375
1568485922624,2019-09-14T14:32:02.624,30.396,99283.000
1568485922760,2019-09-14T14:32:02.760,30.532,99279.078
1568485922895,2019-09-14T14:32:02.895,30.667,99283.836
1568485923031,2019-09-14T14:32:03.031,30.803,99286.539
1568485923166,2019-09-14T14:32:03.166,30.938,99281.781
1568485923302,2019-09-14T14:32:03.302,31.074,99285.234
1568485923438,2019-09-14T14:32:03.438,31.210,99288.328
1568485923573,2019-09-14T14:32:03.573,31.345,99283.539
1568485923709,2019-09-14T14:32:03.709,31.481,99284.844
1568485923845,2019-09-14T14:32:03.845,31.617,99290.078
1568485923980,2019-09-14T14:32:03.980,31.752,99279.609
1568485924116,2019-09-14T14:32:04.116,31.888,99280.563
1568485924251,2019-09-14T14:32:04.251,32.023,99282.703
1568485924387,2019-09-14T14:32:04.387,32.159,99281.313
1568485924524,2019-09-14T14:32:04.524,32.296,99293.563
1568485924658,2019-09-14T14:32:04.658,32.430,99287.375
1568485924795,2019-09-14T14:32:04.795,32.567,99287.852
1568485924931,2019-09-14T14:32:04.931,32.703,99285.234
1568485925066,2019-09-14T14:32:05.066,32.838,99284.844
1568485925202,2019-09-14T14:32:05.202,32.974,99284.398
1568485925338,2019-09-14T14:32:05.338,33.110,99289.156
1568485925473,2019-09-14T14:32:05.473,33.245,99289.641
1568485925609,2019-09-14T14:32:05.609,33.381,99287.469
1568485925744,2019-09-14T14:32:05.744,33.516,99283.539
1568485925880,2019-09-14T14:32:05.880,33.652,99284.844
1568485926016,2019-09-14T14:32:06.016,33.788,99288.766
1568485926151,2019-09-14T14:32:06.151,33.923,99279.258
1568485926287,2019-09-14T14:32:06.287,34.059,99283.188
1568485926423,2019-09-14T14:32:06.423,34.195,99290.078
1568485926558,2019-09-14T14:32:06.558,34.330,99283.188
1568485926694,2019-09-14T14:32:06.694,34.466,99289.641
1568485926831,2019-09-14T14:32:06.831,34.603,99290.555
1568485926965,2019-09-14T14:32:06.965,34.737,99287.469
1568485927102,2019-09-14T14:32:07.102,34.874,99286.156
1568485927236,2019-09-14T14:32:07.236,35.008,99286.156
1568485927373,2019-09-14T14:32:07.373,35.145,99284.844
1568485927509,2019-09-14T14:32:07.509,35.281,99284.016
1568485927644,2019-09-14T14:32:07.644,35.416,99284.016
1568485927780,2019-09-14T14:32:07.780,35.552,99284.016
1568485927915,2019-09-14T14:32:07.915,35.687,99280.922
1568485928051,2019-09-14T14:32:08.051,35.823,99282.227
1568485928187,2019-09-14T14:32:08.187,35.959,99287.016
1568485928322,2019-09-14T14:32:08.322,36.094,99287.852
1568485928458,2019-09-14T14:32:08.458,36.230,99289.156
1568485928594,2019-09-14T14:32:08.594,36.366,99289.156
1568485928729,2019-09-14T14:32:08.729,36.501,99283.094
1568485928865,2019-09-14T14:32:08.865,36.637,99287.852
1568485929000,2019-09-14T14:32:09.000,36.772,99283.922
1568485929136,2019-09-14T14:32:09.136,36.908,99287.375
1568485929273,2019-09-14T14:32:09.273,37.045,99287.852
1568485929407,2019-09-14T14:32:09.407,37.179,99287.375
1568485929544,2019-09-14T14:32:09.544,37.316,99286.063
1568485929680,2019-09-14T14:32:09.680,37.452,99283.000
1568485929815,2019-09-14T14:32:09.815,37.587,99283.453
1568485929951,2019-09-14T14:32:09.951,37.723,99288.242
1568485930087,2019-09-14T14:32:10.087,37.859,99288.688
1568485930222,2019-09-14T14:32:10.222,37.994,99288.242
1568485930358,2019-09-14T14:32:10.358,38.130,99284.758
1568485930493,2019-09-14T14:32:10.493,38.265,99288.242
1568485930629,2019-09-14T14:32:10.629,38.401,99291.688
1568485930765,2019-09-14T14:32:10.765,38.537,99289.078
1568485930900,2019-09-14T14:32:10.900,38.672,99285.141
1568485931036,2019-09-14T14:32:11.036,38.808,99286.938
1568485931172,2019-09-14T14:32:11.172,38.944,99290.375
1568485931307,2019-09-14T14:32:11.307,39.079,99281.695
1568485931443,2019-09-14T14:32:11.443,39.215,99282.617
1568485931578,2019-09-14T14:32:11.578,39.350,99286.938
1568485931714,2019-09-14T14:32:11.714,39.486,99288.242
1568485931851,2019-09-14T14:32:11.851,39.623,99283.000
1568485931985,2019-09-14T14:32:11.985,39.757,99283.453
1568485932122,2019-09-14T14:32:12.122,39.894,99287.766
1568485932258,2019-09-14T14:32:12.258,40.030,99285.625
1568485932393,2019-09-14T14:32:12.393,40.165,99285.977
1568485932529,2019-09-14T14:32:12.529,40.301,99290.375
1568485932664,2019-09-14T14:32:12.664,40.436,99290.375
1568485932800,2019-09-14T14:32:12.800,40.572,99284.313
1568485932936,2019-09-14T14:32:12.936,40.708,99286.063
1568485933071,2019-09-14T14:32:13.071,40.843,99289.078
1568485933207,2019-09-14T14:32:13.207,40.979,99288.594
1568485933343,2019-09-14T14:32:13.343,41.115,99293.828
1568485933478,2019-09-14T14:32:13.478,41.250,99287.766
1568485933614,2019-09-14T14:32:13.614,41.386,99288.688
1568485933749,2019-09-14T14:32:13.749,41.521,99289.547
1568485933885,2019-09-14T14:32:13.885,41.657,99286.453
1568485934022,2019-09-14T14:32:14.022,41.794,99291.219
1568485934156,2019-09-14T14:32:14.156,41.928,99289.422
1568485934293,2019-09-14T14:32:14.293,42.065,99289.422
1568485934429,2019-09-14T14:32:14.429,42.201,99290.734
1568485934564,2019-09-14T14:32:14.564,42.336,99292.906
1568485934700,2019-09-14T14:32:14.700,42.472,99286.367
1568485934836,2019-09-14T14:32:14.836,42.608,99291.602
1568485934971,2019-09-14T14:32:14.971,42.743,99285.977
1568485935107,2019-09-14T14:32:15.107,42.879,99288.508
1568485935242,2019-09-14T14:32:15.242,43.014,99286.367
1568485935378,2019-09-14T14:32:15.378,43.150,99286.813
1568485935514,2019-09-14T14:32:15.514,43.286,99291.602
1568485935649,2019-09-14T14:32:15.649,43.421,99288.984
1568485935785,2019-09-14T14:32:15.785,43.557,99281.578
1568485935921,2019-09-14T14:32:15.921,43.693,99284.188
1568485936056,2019-09-14T14:32:16.056,43.828,99287.672
1568485936192,2019-09-14T14:32:16.192,43.964,99283.750
1568485936327,2019-09-14T14:32:16.327,44.099,99287.672
1568485936463,2019-09-14T14:32:16.463,44.235,99281.961
1568485936600,2019-09-14T14:32:16.600,44.372,99280.266
1568485936734,2019-09-14T14:32:16.734,44.506,99289.422
1568485936871,2019-09-14T14:32:16.871,44.643,99288.984
1568485937007,2019-09-14T14:32:17.007,44.779,99286.367
1568485937142,2019-09-14T14:32:17.142,44.914,99287.672
1568485937278,2019-09-14T14:32:17.278,45.050,99287.203
1568485937413,2019-09-14T14:32:17.413,45.185,99288.031
1568485937549,2019-09-14T14:32:17.549,45.321,99281.125
1568485937685,2019-09-14T14:32:17.685,45.457,99285.891
1568485937820,2019-09-14T14:32:17.820,45.592,99285.063
1568485937956,2019-09-14T14:32:17.956,45.728,99283.750
1568485938092,2019-09-14T14:32:18.092,45.864,99283.273
1568485938227,2019-09-14T14:32:18.227,45.999,99285.891
1568485938363,2019-09-14T14:32:18.363,46.135,99283.656
1568485938500,2019-09-14T14:32:18.500,46.272,99288.031
1568485938634,2019-09-14T14:32:18.634,46.406,99286.719
1568485938771,2019-09-14T14:32:18.771,46.543,99289.813
1568485938905,2019-09-14T14:32:18.905,46.677,99287.203
1568485939042,2019-09-14T14:32:19.042,46.814,99289.344
1568485939178,2019-09-14T14:32:19.178,46.950,99286.367
1568485939313,2019-09-14T14:32:19.313,47.085,99283.273
1568485939449,2019-09-14T14:32:19.449,47.221,99286.367
1568485939585,2019-09-14T14:32:19.585,47.357,99285.977
1568485939720,2019-09-14T14:32:19.720,47.492,99290.297
1568485939856,2019-09-14T14:32:19.856,47.628,99291.602
1568485939991,2019-09-14T14:32:19.991,47.763,99288.594
1568485940127,2019-09-14T14:32:20.127,47.899,99284.672
1568485940263,2019-09-14T14:32:20.263,48.035,99285.141
1568485940398,2019-09-14T14:32:20.398,48.170,99286.813
1568485940534,2019-09-14T14:32:20.534,48.306,99287.766
1568485940670,2019-09-14T14:32:20.670,48.442,99288.242
1568485940805,2019-09-14T14:32:20.805,48.577,99285.625
1568485940941,2019-09-14T14:32:20.941,48.713,99285.625
1568485941078,2019-09-14T14:32:21.078,48.850,99285.977
1568485941212,2019-09-14T14:32:21.212,48.984,99294.305
1568485941349,2019-09-14T14:32:21.349,49.121,99292.516
1568485941485,2019-09-14T14:32:21.485,49.257,99286.453
1568485941620,2019-09-14T14:32:21.620,49.392,99286.453
1568485941756,2019-09-14T14:32:21.756,49.528,99288.242
1568485941891,2019-09-14T14:32:21.891,49.663,99289.422
1568485942027,2019-09-14T14:32:22.027,49.799,99289.906
1568485942163,2019-09-14T14:32:22.163,49.935,99292.516
1568485942299,2019-09-14T14:32:22.299,50.071,99292.516
1568485942434,2019-09-14T14:32:22.434,50.206,99292.047
1568485942570,2019-09-14T14:32:22.570,50.342,99291.688
1568485942707,2019-09-14T14:32:22.707,50.479,99284.672
1568485942841,2019-09-14T14:32:22.841,50.613,99289.078
1568485942978,2019-09-14T14:32:22.978,50.750,99289.547
1568485943112,2019-09-14T14:32:23.112,50.884,99293.000
1568485943249,2019-09-14T14:32:23.249,51.021,99288.242
1568485943383,2019-09-14T14:32:23.383,51.155,99289.078
1568485943520,2019-09-14T14:32:23.520,51.292,99294.305
1568485943656,2019-09-14T14:32:23.656,51.428,99290.469
1568485943791,2019-09-14T14:32:23.791,51.563,99289.547
1568485943927,2019-09-14T14:32:23.927,51.699,99291.297
1568485944063,2019-09-14T14:32:24.063,51.835,99289.547
1568485944198,2019-09-14T14:32:24.198,51.970,99289.992
1568485944334,2019-09-14T14:32:24.334,52.106,99290.859
1568485944470,2019-09-14T14:32:24.470,52.242,99283.000
1568485944605,2019-09-14T14:32:24.605,52.377,99289.078
1568485944741,2019-09-14T14:32:24.741,52.513,99289.547
1568485944876,2019-09-14T14:32:24.876,52.648,99289.992
1568485945012,2019-09-14T14:32:25.012,52.784,99287.375
1568485945149,2019-09-14T14:32:25.149,52.921,99283.836
1568485945283,2019-09-14T14:32:25.283,53.055,99291.219
1568485945420,2019-09-14T14:32:25.420,53.192,99284.398
1568485945556,2019-09-14T14:32:25.556,53.328,99289.547
1568485945691,2019-09-14T14:32:25.691,53.463,99287.852
