epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568485551058,2019-09-14T14:25:51.058,0.000,-0.793,-6.890,0.732
1568485551068,2019-09-14T14:25:51.068,0.010,-0.915,-7.073,0.671
1568485551078,2019-09-14T14:25:51.078,0.020,-1.220,-7.195,1.037
1568485551088,2019-09-14T14:25:51.088,0.030,-1.220,-7.500,1.280
1568485551098,2019-09-14T14:25:51.098,0.040,-1.402,-7.683,1.463
1568485551108,2019-09-14T14:25:51.108,0.050,-1.159,-7.927,1.646
1568485551118,2019-09-14T14:25:51.118,0.060,-0.793,-8.049,1.585
1568485551128,2019-09-14T14:25:51.128,0.070,-0.976,-8.110,1.707
1568485551138,2019-09-14T14:25:51.138,0.080,-1.402,-7.927,1.646
1568485551148,2019-09-14T14:25:51.148,0.090,-1.585,-7.805,1.402
1568485551158,2019-09-14T14:25:51.158,0.100,-1.220,-7.744,1.159
1568485551168,2019-09-14T14:25:51.168,0.110,-0.976,-7.378,1.098
1568485551178,2019-09-14T14:25:51.178,0.120,-0.976,-6.951,1.220
1568485551188,2019-09-14T14:25:51.188,0.130,-0.976,-6.707,1.524
1568485551198,2019-09-14T14:25:51.198,0.140,-0.366,-6.524,1.707
1568485551208,2019-09-14T14:25:51.208,0.150,0.183,-6.524,1.829
1568485551218,2019-09-14T14:25:51.218,0.160,0.488,-6.402,1.829
1568485551228,2019-09-14T14:25:51.228,0.170,0.488,-6.220,1.890
1568485551238,2019-09-14T14:25:51.238,0.180,0.610,-6.159,1.707
1568485551248,2019-09-14T14:25:51.248,0.190,0.976,-5.854,1.463
1568485551258,2019-09-14T14:25:51.258,0.200,0.854,-5.488,1.341
1568485551268,2019-09-14T14:25:51.268,0.210,0.427,-5.000,1.220
1568485551278,2019-09-14T14:25:51.278,0.220,-0.122,-4.634,1.098
1568485551288,2019-09-14T14:25:51.288,0.230,-0.183,-4.512,1.220
1568485551298,2019-09-14T14:25:51.298,0.240,-0.244,-4.207,1.585
1568485551308,2019-09-14T14:25:51.308,0.250,-0.488,-4.329,2.073
1568485551318,2019-09-14T14:25:51.318,0.260,-0.427,-4.756,2.256
1568485551328,2019-09-14T14:25:51.328,0.270,-0.061,-5.427,2.256
1568485551338,2019-09-14T14:25:51.338,0.280,-0.183,-5.793,2.256
1568485551348,2019-09-14T14:25:51.348,0.290,-0.610,-6.159,2.256
1568485551358,2019-09-14T14:25:51.358,0.300,-0.549,-6.463,2.073
1568485551368,2019-09-14T14:25:51.368,0.310,-0.610,-6.768,1.829
1568485551378,2019-09-14T14:25:51.378,0.320,-0.793,-6.890,1.768
1568485551388,2019-09-14T14:25:51.388,0.330,-0.732,-6.890,1.707
1568485551398,2019-09-14T14:25:51.398,0.340,-0.427,-6.890,1.707
1568485551408,2019-09-14T14:25:51.408,0.350,-0.244,-6.890,1.707
1568485551418,2019-09-14T14:25:51.418,0.360,0.000,-6.646,1.341
1568485551428,2019-09-14T14:25:51.428,0.370,-0.061,-6.280,1.159
1568485551438,2019-09-14T14:25:51.438,0.380,-0.305,-5.915,1.037
1568485551448,2019-09-14T14:25:51.448,0.390,-0.244,-5.610,0.793
1568485551458,2019-09-14T14:25:51.458,0.400,-0.061,-5.244,0.854
1568485551468,2019-09-14T14:25:51.468,0.410,0.488,-5.000,0.854
1568485551478,2019-09-14T14:25:51.478,0.420,0.854,-4.756,0.915
1568485551488,2019-09-14T14:25:51.488,0.430,0.793,-4.268,0.854
1568485551498,2019-09-14T14:25:51.498,0.440,0.854,-3.841,0.854
1568485551508,2019-09-14T14:25:51.508,0.450,1.098,-3.476,0.610
1568485551518,2019-09-14T14:25:51.518,0.460,1.220,-3.049,0.366
1568485551528,2019-09-14T14:25:51.528,0.470,1.220,-2.805,0.244
1568485551538,2019-09-14T14:25:51.538,0.480,1.220,-2.683,0.061
1568485551548,2019-09-14T14:25:51.548,0.490,1.220,-2.622,-0.061
1568485551558,2019-09-14T14:25:51.558,0.500,1.220,-2.683,-0.122
1568485551568,2019-09-14T14:25:51.568,0.510,1.098,-2.927,0.122
1568485551578,2019-09-14T14:25:51.578,0.520,0.854,-3.049,0.366
1568485551588,2019-09-14T14:25:51.588,0.530,0.915,-3.232,0.366
1568485551598,2019-09-14T14:25:51.598,0.540,0.915,-3.415,0.488
1568485551608,2019-09-14T14:25:51.608,0.550,0.610,-3.415,0.488
1568485551618,2019-09-14T14:25:51.618,0.560,0.427,-3.415,0.427
1568485551628,2019-09-14T14:25:51.628,0.570,0.732,-3.354,0.366
1568485551638,2019-09-14T14:25:51.638,0.580,0.854,-3.049,0.305
1568485551648,2019-09-14T14:25:51.648,0.590,0.671,-2.622,0.427
1568485551658,2019-09-14T14:25:51.658,0.600,0.732,-2.317,0.488
1568485551668,2019-09-14T14:25:51.668,0.610,0.915,-1.951,0.488
1568485551678,2019-09-14T14:25:51.678,0.620,0.854,-1.463,0.549
1568485551688,2019-09-14T14:25:51.688,0.630,0.915,-0.976,0.671
1568485551698,2019-09-14T14:25:51.698,0.640,1.159,-0.610,0.671
1568485551708,2019-09-14T14:25:51.708,0.650,1.159,-0.305,0.793
1568485551718,2019-09-14T14:25:51.718,0.660,0.976,0.244,0.793
1568485551728,2019-09-14T14:25:51.728,0.670,0.854,0.671,0.854
1568485551738,2019-09-14T14:25:51.738,0.680,0.549,0.976,0.854
1568485551748,2019-09-14T14:25:51.748,0.690,0.366,1.402,0.793
1568485551758,2019-09-14T14:25:51.758,0.700,0.183,1.524,0.793
1568485551768,2019-09-14T14:25:51.768,0.710,-0.061,1.524,0.976
1568485551778,2019-09-14T14:25:51.778,0.720,0.000,1.524,0.915
1568485551788,2019-09-14T14:25:51.788,0.730,0.000,1.098,0.793
1568485551798,2019-09-14T14:25:51.798,0.740,0.061,0.732,0.854
1568485551808,2019-09-14T14:25:51.808,0.750,0.061,0.427,0.610
1568485551818,2019-09-14T14:25:51.818,0.760,-0.305,0.244,0.427
1568485551828,2019-09-14T14:25:51.828,0.770,-0.305,-0.061,0.244
1568485551838,2019-09-14T14:25:51.838,0.780,-0.305,-0.488,0.061
1568485551848,2019-09-14T14:25:51.848,0.790,-0.305,-0.732,0.000
1568485551858,2019-09-14T14:25:51.858,0.800,-0.366,-1.098,-0.061
1568485551868,2019-09-14T14:25:51.868,0.810,-0.549,-1.585,0.244
1568485551878,2019-09-14T14:25:51.878,0.820,-0.549,-1.890,0.305
1568485551888,2019-09-14T14:25:51.888,0.830,-0.549,-2.195,0.549
1568485551898,2019-09-14T14:25:51.898,0.840,-0.793,-2.378,0.793
1568485551908,2019-09-14T14:25:51.908,0.850,-1.098,-2.561,1.037
1568485551918,2019-09-14T14:25:51.918,0.860,-1.098,-2.866,1.220
1568485551928,2019-09-14T14:25:51.928,0.870,-0.976,-3.171,1.341
1568485551938,2019-09-14T14:25:51.938,0.880,-1.037,-3.415,1.585
1568485551948,2019-09-14T14:25:51.948,0.890,-0.915,-3.537,1.829
1568485551958,2019-09-14T14:25:51.958,0.900,-0.671,-3.659,1.768
1568485551968,2019-09-14T14:25:51.968,0.910,-0.671,-3.659,1.524
1568485551978,2019-09-14T14:25:51.978,0.920,-1.037,-3.537,1.402
1568485551988,2019-09-14T14:25:51.988,0.930,-1.159,-3.476,1.585
1568485551998,2019-09-14T14:25:51.998,0.940,-0.915,-3.476,1.707
1568485552008,2019-09-14T14:25:52.008,0.950,-0.610,-3.598,1.890
1568485552018,2019-09-14T14:25:52.018,0.960,-0.366,-3.780,2.317
1568485552028,2019-09-14T14:25:52.028,0.970,0.183,-4.268,2.744
1568485552038,2019-09-14T14:25:52.038,0.980,1.280,-4.878,2.927
1568485552048,2019-09-14T14:25:52.048,0.990,2.012,-5.305,3.049
1568485552058,2019-09-14T14:25:52.058,1.000,2.256,-5.610,3.110
1568485552068,2019-09-14T14:25:52.068,1.010,2.256,-5.793,3.110
1568485552078,2019-09-14T14:25:52.078,1.020,2.134,-5.854,3.171
1568485552088,2019-09-14T14:25:52.088,1.030,1.890,-5.915,3.293
1568485552098,2019-09-14T14:25:52.098,1.040,1.402,-5.793,3.598
1568485552108,2019-09-14T14:25:52.108,1.050,0.976,-5.732,3.841
1568485552118,2019-09-14T14:25:52.118,1.060,0.793,-5.793,4.024
1568485552128,2019-09-14T14:25:52.128,1.070,0.671,-5.793,4.390
1568485552138,2019-09-14T14:25:52.138,1.080,0.671,-5.793,4.695
1568485552148,2019-09-14T14:25:52.148,1.090,0.732,-5.793,4.878
1568485552158,2019-09-14T14:25:52.158,1.100,0.854,-5.854,4.878
1568485552168,2019-09-14T14:25:52.168,1.110,1.037,-5.793,5.000
1568485552178,2019-09-14T14:25:52.178,1.120,1.159,-5.793,5.183
1568485552188,2019-09-14T14:25:52.188,1.130,1.220,-5.610,5.366
1568485552198,2019-09-14T14:25:52.198,1.140,0.976,-5.305,5.671
1568485552208,2019-09-14T14:25:52.208,1.150,0.732,-5.000,6.037
1568485552218,2019-09-14T14:25:52.218,1.160,0.793,-4.695,6.220
1568485552228,2019-09-14T14:25:52.228,1.170,0.976,-4.207,6.280
1568485552238,2019-09-14T14:25:52.238,1.180,1.159,-3.720,6.220
1568485552248,2019-09-14T14:25:52.248,1.190,1.037,-2.988,6.220
1568485552258,2019-09-14T14:25:52.258,1.200,1.220,-2.195,6.159
1568485552268,2019-09-14T14:25:52.268,1.210,1.159,-1.280,6.280
1568485552278,2019-09-14T14:25:52.278,1.220,0.915,-0.122,6.707
1568485552288,2019-09-14T14:25:52.288,1.230,0.671,1.220,7.561
1568485552298,2019-09-14T14:25:52.298,1.240,0.793,2.378,8.049
1568485552308,2019-09-14T14:25:52.308,1.250,1.646,3.232,8.049
1568485552318,2019-09-14T14:25:52.318,1.260,2.500,4.085,7.683
1568485552328,2019-09-14T14:25:52.328,1.270,2.866,5.000,7.134
1568485552338,2019-09-14T14:25:52.338,1.280,3.110,5.671,6.463
1568485552348,2019-09-14T14:25:52.348,1.290,3.537,6.220,5.610
