epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1568484442057,2019-09-14T14:07:22.057,0.000,-0.566,0.761,-0.160
1568484442067,2019-09-14T14:07:22.067,0.010,-0.572,0.770,-0.162
1568484442077,2019-09-14T14:07:22.077,0.020,-0.571,0.767,-0.162
1568484442087,2019-09-14T14:07:22.087,0.030,-0.570,0.763,-0.161
1568484442097,2019-09-14T14:07:22.097,0.040,-0.572,0.761,-0.159
1568484442107,2019-09-14T14:07:22.107,0.050,-0.570,0.760,-0.161
1568484442117,2019-09-14T14:07:22.117,0.060,-0.567,0.759,-0.161
1568484442127,2019-09-14T14:07:22.127,0.070,-0.571,0.763,-0.159
1568484442137,2019-09-14T14:07:22.137,0.080,-0.569,0.764,-0.160
1568484442147,2019-09-14T14:07:22.147,0.090,-0.570,0.765,-0.161
1568484442157,2019-09-14T14:07:22.157,0.100,-0.569,0.765,-0.161
1568484442167,2019-09-14T14:07:22.167,0.110,-0.571,0.769,-0.160
1568484442177,2019-09-14T14:07:22.177,0.120,-0.574,0.768,-0.162
1568484442187,2019-09-14T14:07:22.187,0.130,-0.571,0.772,-0.164
1568484442197,2019-09-14T14:07:22.197,0.140,-0.574,0.770,-0.162
1568484442207,2019-09-14T14:07:22.207,0.150,-0.571,0.768,-0.161
1568484442217,2019-09-14T14:07:22.217,0.160,-0.571,0.769,-0.160
1568484442227,2019-09-14T14:07:22.227,0.170,-0.575,0.767,-0.162
1568484442237,2019-09-14T14:07:22.237,0.180,-0.572,0.765,-0.160
1568484442247,2019-09-14T14:07:22.247,0.190,-0.573,0.765,-0.159
1568484442257,2019-09-14T14:07:22.257,0.200,-0.572,0.767,-0.160
1568484442267,2019-09-14T14:07:22.267,0.210,-0.572,0.767,-0.159
1568484442277,2019-09-14T14:07:22.277,0.220,-0.571,0.764,-0.158
1568484442287,2019-09-14T14:07:22.287,0.230,-0.571,0.761,-0.157
1568484442297,2019-09-14T14:07:22.297,0.240,-0.569,0.764,-0.155
1568484442307,2019-09-14T14:07:22.307,0.250,-0.567,0.763,-0.153
1568484442317,2019-09-14T14:07:22.317,0.260,-0.570,0.761,-0.152
1568484442327,2019-09-14T14:07:22.327,0.270,-0.568,0.760,-0.154
1568484442337,2019-09-14T14:07:22.337,0.280,-0.570,0.762,-0.153
1568484442347,2019-09-14T14:07:22.347,0.290,-0.571,0.758,-0.151
1568484442357,2019-09-14T14:07:22.357,0.300,-0.573,0.753,-0.146
