epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568492441360,2019-09-14T16:20:41.360,0.000,99168.703
1568492441496,2019-09-14T16:20:41.496,0.136,99168.266
1568492441633,2019-09-14T16:20:41.633,0.273,99171.273
1568492441767,2019-09-14T16:20:41.767,0.407,99172.188
1568492441904,2019-09-14T16:20:41.904,0.544,99168.266
1568492442038,2019-09-14T16:20:42.038,0.678,99164.359
1568492442175,2019-09-14T16:20:42.175,0.815,99165.664
1568492442311,2019-09-14T16:20:42.311,0.951,99163.891
1568492442446,2019-09-14T16:20:42.446,1.086,99168.664
1568492442582,2019-09-14T16:20:42.582,1.222,99172.109
1568492442718,2019-09-14T16:20:42.718,1.358,99167.359
1568492442853,2019-09-14T16:20:42.853,1.493,99169.969
1568492442989,2019-09-14T16:20:42.989,1.629,99173.016
1568492443124,2019-09-14T16:20:43.124,1.764,99165.578
1568492443260,2019-09-14T16:20:43.260,1.900,99167.719
1568492443396,2019-09-14T16:20:43.396,2.036,99167.719
1568492443531,2019-09-14T16:20:43.531,2.171,99172.469
1568492443667,2019-09-14T16:20:43.667,2.307,99169.031
1568492443803,2019-09-14T16:20:43.803,2.443,99166.891
1568492443938,2019-09-14T16:20:43.938,2.578,99166.422
1568492444074,2019-09-14T16:20:44.074,2.714,99168.188
1568492444209,2019-09-14T16:20:44.209,2.849,99171.633
1568492444345,2019-09-14T16:20:44.345,2.985,99174.633
1568492444482,2019-09-14T16:20:44.482,3.122,99164.641
1568492444616,2019-09-14T16:20:44.616,3.256,99168.555
1568492444753,2019-09-14T16:20:44.753,3.393,99167.641
1568492444889,2019-09-14T16:20:44.889,3.529,99164.203
1568492445024,2019-09-14T16:20:45.024,3.664,99170.250
1568492445160,2019-09-14T16:20:45.160,3.800,99164.203
1568492445295,2019-09-14T16:20:45.295,3.935,99168.953
1568492445431,2019-09-14T16:20:45.431,4.071,99166.344
1568492445567,2019-09-14T16:20:45.567,4.207,99165.875
1568492445702,2019-09-14T16:20:45.702,4.342,99169.781
1568492445838,2019-09-14T16:20:45.838,4.478,99165.875
1568492445974,2019-09-14T16:20:45.974,4.614,99169.781
1568492446109,2019-09-14T16:20:46.109,4.749,99171.086
1568492446245,2019-09-14T16:20:46.245,4.885,99171.086
1568492446382,2019-09-14T16:20:46.382,5.022,99168.477
1568492446516,2019-09-14T16:20:46.516,5.156,99167.563
1568492446653,2019-09-14T16:20:46.653,5.293,99171.484
1568492446789,2019-09-14T16:20:46.789,5.429,99168.039
1568492446924,2019-09-14T16:20:46.924,5.564,99172.781
1568492447060,2019-09-14T16:20:47.060,5.700,99165.430
1568492447195,2019-09-14T16:20:47.195,5.835,99168.875
1568492447331,2019-09-14T16:20:47.331,5.971,99166.266
1568492447466,2019-09-14T16:20:47.466,6.106,99165.320
1568492447602,2019-09-14T16:20:47.602,6.242,99163.656
1568492447738,2019-09-14T16:20:47.738,6.378,99168.406
1568492447874,2019-09-14T16:20:47.874,6.514,99169.234
1568492448009,2019-09-14T16:20:48.009,6.649,99166.625
1568492448145,2019-09-14T16:20:48.145,6.785,99165.320
1568492448280,2019-09-14T16:20:48.280,6.920,99164.492
1568492448416,2019-09-14T16:20:48.416,7.056,99167.930
1568492448552,2019-09-14T16:20:48.552,7.192,99165.320
1568492448687,2019-09-14T16:20:48.687,7.327,99164.883
1568492448823,2019-09-14T16:20:48.823,7.463,99163.578
1568492448960,2019-09-14T16:20:48.960,7.600,99166.188
1568492449094,2019-09-14T16:20:49.094,7.734,99170.094
1568492449231,2019-09-14T16:20:49.231,7.871,99170.094
1568492449365,2019-09-14T16:20:49.365,8.005,99170.094
1568492449502,2019-09-14T16:20:49.502,8.142,99164.016
1568492449638,2019-09-14T16:20:49.638,8.278,99162.281
1568492449773,2019-09-14T16:20:49.773,8.413,99168.719
1568492449909,2019-09-14T16:20:49.909,8.549,99168.797
1568492450045,2019-09-14T16:20:50.045,8.685,99160.500
1568492450180,2019-09-14T16:20:50.180,8.820,99161.805
1568492450316,2019-09-14T16:20:50.316,8.956,99164.016
1568492450451,2019-09-14T16:20:50.451,9.091,99168.328
1568492450587,2019-09-14T16:20:50.587,9.227,99169.625
1568492450723,2019-09-14T16:20:50.723,9.363,99166.109
1568492450858,2019-09-14T16:20:50.858,9.498,99165.719
1568492450994,2019-09-14T16:20:50.994,9.634,99168.250
1568492451131,2019-09-14T16:20:51.131,9.771,99162.641
1568492451265,2019-09-14T16:20:51.265,9.905,99171.328
1568492451402,2019-09-14T16:20:51.402,10.042,99167.414
1568492451536,2019-09-14T16:20:51.536,10.176,99169.156
1568492451673,2019-09-14T16:20:51.673,10.313,99168.719
1568492451809,2019-09-14T16:20:51.809,10.449,99163.938
1568492451944,2019-09-14T16:20:51.944,10.584,99164.805
1568492452080,2019-09-14T16:20:52.080,10.720,99165.250
1568492452216,2019-09-14T16:20:52.216,10.856,99162.195
1568492452351,2019-09-14T16:20:52.351,10.991,99166.109
1568492452487,2019-09-14T16:20:52.487,11.127,99169.547
1568492452622,2019-09-14T16:20:52.622,11.262,99171.328
1568492452758,2019-09-14T16:20:52.758,11.398,99170.391
1568492452894,2019-09-14T16:20:52.894,11.534,99166.469
1568492453029,2019-09-14T16:20:53.029,11.669,99168.172
1568492453165,2019-09-14T16:20:53.165,11.805,99163.500
1568492453301,2019-09-14T16:20:53.301,11.941,99165.641
1568492453436,2019-09-14T16:20:53.436,12.076,99167.305
1568492453572,2019-09-14T16:20:53.572,12.212,99168.609
1568492453709,2019-09-14T16:20:53.709,12.349,99166.000
1568492453843,2019-09-14T16:20:53.843,12.483,99164.328
1568492453980,2019-09-14T16:20:53.980,12.620,99169.469
1568492454114,2019-09-14T16:20:54.114,12.754,99166.469
1568492454251,2019-09-14T16:20:54.251,12.891,99167.781
1568492454387,2019-09-14T16:20:54.387,13.027,99163.859
1568492454522,2019-09-14T16:20:54.522,13.162,99167.781
1568492454658,2019-09-14T16:20:54.658,13.298,99167.305
1568492454794,2019-09-14T16:20:54.794,13.434,99165.641
1568492454929,2019-09-14T16:20:54.929,13.569,99168.172
1568492455065,2019-09-14T16:20:55.065,13.705,99169.469
1568492455201,2019-09-14T16:20:55.201,13.841,99165.563
1568492455336,2019-09-14T16:20:55.336,13.976,99169.469
1568492455472,2019-09-14T16:20:55.472,14.112,99168.172
1568492455609,2019-09-14T16:20:55.609,14.249,99174.219
1568492455743,2019-09-14T16:20:55.743,14.383,99163.313
1568492455880,2019-09-14T16:20:55.880,14.520,99169.836
1568492456014,2019-09-14T16:20:56.014,14.654,99170.781
1568492456151,2019-09-14T16:20:56.151,14.791,99169.836
1568492456287,2019-09-14T16:20:56.287,14.927,99166.000
1568492456422,2019-09-14T16:20:56.422,15.062,99162.016
1568492456558,2019-09-14T16:20:56.558,15.198,99165.563
1568492456694,2019-09-14T16:20:56.694,15.334,99166.000
1568492456829,2019-09-14T16:20:56.829,15.469,99166.867
1568492456965,2019-09-14T16:20:56.965,15.605,99168.094
1568492457100,2019-09-14T16:20:57.100,15.740,99164.625
1568492457236,2019-09-14T16:20:57.236,15.876,99169.000
1568492457372,2019-09-14T16:20:57.372,16.012,99165.016
1568492457507,2019-09-14T16:20:57.507,16.147,99168.531
1568492457643,2019-09-14T16:20:57.643,16.283,99167.227
1568492457779,2019-09-14T16:20:57.779,16.419,99168.922
1568492457914,2019-09-14T16:20:57.914,16.554,99164.180
1568492458050,2019-09-14T16:20:58.050,16.690,99163.703
1568492458185,2019-09-14T16:20:58.185,16.825,99170.227
1568492458321,2019-09-14T16:20:58.321,16.961,99165.016
1568492458458,2019-09-14T16:20:58.458,17.098,99168.453
1568492458592,2019-09-14T16:20:58.592,17.232,99171.531
1568492458729,2019-09-14T16:20:58.729,17.369,99163.703
1568492458865,2019-09-14T16:20:58.865,17.505,99161.102
1568492459000,2019-09-14T16:20:59.000,17.640,99165.844
1568492459136,2019-09-14T16:20:59.136,17.776,99164.547
1568492459272,2019-09-14T16:20:59.272,17.912,99168.453
1568492459407,2019-09-14T16:20:59.407,18.047,99162.406
1568492459543,2019-09-14T16:20:59.543,18.183,99160.625
1568492459678,2019-09-14T16:20:59.678,18.318,99161.938
1568492459814,2019-09-14T16:20:59.814,18.454,99166.680
1568492459950,2019-09-14T16:20:59.950,18.590,99162.766
1568492460085,2019-09-14T16:21:00.085,18.725,99166.680
1568492460221,2019-09-14T16:21:00.221,18.861,99165.375
1568492460358,2019-09-14T16:21:00.358,18.998,99161.938
1568492460492,2019-09-14T16:21:00.492,19.132,99166.680
1568492460629,2019-09-14T16:21:00.629,19.269,99165.375
1568492460763,2019-09-14T16:21:00.763,19.403,99163.234
1568492460900,2019-09-14T16:21:00.900,19.540,99170.984
