epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568484929871,2019-09-14T14:15:29.871,0.000,99298.672
1568484930006,2019-09-14T14:15:30.006,0.135,99293.430
1568484930142,2019-09-14T14:15:30.142,0.271,99296.883
1568484930277,2019-09-14T14:15:30.277,0.406,99297.359
1568484930413,2019-09-14T14:15:30.413,0.542,99296.883
1568484930549,2019-09-14T14:15:30.549,0.678,99295.219
1568484930684,2019-09-14T14:15:30.684,0.813,99293.430
1568484930820,2019-09-14T14:15:30.820,0.949,99296.047
1568484930957,2019-09-14T14:15:30.957,1.086,99301.297
1568484931091,2019-09-14T14:15:31.091,1.220,99298.281
1568484931228,2019-09-14T14:15:31.228,1.357,99294.742
1568484931362,2019-09-14T14:15:31.362,1.491,99296.047
1568484931499,2019-09-14T14:15:31.499,1.628,99298.672
1568484931635,2019-09-14T14:15:31.635,1.764,99299.500
1568484931770,2019-09-14T14:15:31.770,1.899,99293.430
1568484931906,2019-09-14T14:15:31.906,2.035,99293.906
1568484932042,2019-09-14T14:15:32.042,2.171,99294.266
1568484932177,2019-09-14T14:15:32.177,2.306,99293.430
1568484932313,2019-09-14T14:15:32.313,2.442,99293.047
1568484932448,2019-09-14T14:15:32.448,2.577,99296.406
1568484932584,2019-09-14T14:15:32.584,2.713,99297.711
1568484932720,2019-09-14T14:15:32.720,2.849,99293.430
1568484932855,2019-09-14T14:15:32.855,2.984,99298.188
1568484932991,2019-09-14T14:15:32.991,3.120,99291.641
1568484933128,2019-09-14T14:15:33.128,3.257,99294.742
1568484933262,2019-09-14T14:15:33.262,3.391,99293.430
1568484933399,2019-09-14T14:15:33.399,3.528,99297.711
1568484933533,2019-09-14T14:15:33.533,3.662,99296.406
1568484933670,2019-09-14T14:15:33.670,3.799,99295.570
1568484933806,2019-09-14T14:15:33.806,3.935,99296.883
1568484933941,2019-09-14T14:15:33.941,4.070,99296.883
1568484934077,2019-09-14T14:15:34.077,4.206,99295.953
1568484934213,2019-09-14T14:15:34.213,4.342,99294.648
1568484934348,2019-09-14T14:15:34.348,4.477,99304.266
1568484934484,2019-09-14T14:15:34.484,4.613,99294.648
1568484934619,2019-09-14T14:15:34.619,4.748,99295.953
1568484934755,2019-09-14T14:15:34.755,4.884,99295.953
1568484934891,2019-09-14T14:15:34.891,5.020,99299.891
1568484935026,2019-09-14T14:15:35.026,5.155,99295.953
1568484935162,2019-09-14T14:15:35.162,5.291,99299.406
1568484935298,2019-09-14T14:15:35.298,5.427,99293.781
1568484935433,2019-09-14T14:15:35.433,5.562,99291.547
1568484935569,2019-09-14T14:15:35.569,5.698,99298.578
1568484935704,2019-09-14T14:15:35.704,5.833,99300.719
1568484935840,2019-09-14T14:15:35.840,5.969,99295.477
