epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568484929865,2019-09-14T14:15:29.865,0.000,0.061,4.512,-1.463
1568484929875,2019-09-14T14:15:29.875,0.010,-0.244,4.451,-1.829
1568484929885,2019-09-14T14:15:29.885,0.020,0.122,4.573,-1.585
1568484929895,2019-09-14T14:15:29.895,0.030,0.427,4.146,-1.951
1568484929905,2019-09-14T14:15:29.905,0.040,0.305,3.780,-1.707
1568484929915,2019-09-14T14:15:29.915,0.050,0.122,3.476,-1.463
1568484929925,2019-09-14T14:15:29.925,0.060,0.183,3.049,-1.585
1568484929935,2019-09-14T14:15:29.935,0.070,0.366,2.683,-1.585
1568484929945,2019-09-14T14:15:29.945,0.080,0.244,2.439,-1.585
1568484929955,2019-09-14T14:15:29.955,0.090,0.122,2.256,-1.585
1568484929965,2019-09-14T14:15:29.965,0.100,0.305,2.073,-1.524
1568484929975,2019-09-14T14:15:29.975,0.110,0.549,2.073,-1.463
1568484929985,2019-09-14T14:15:29.985,0.120,0.671,2.012,-1.341
1568484929995,2019-09-14T14:15:29.995,0.130,0.732,2.073,-1.220
1568484930005,2019-09-14T14:15:30.005,0.140,0.915,1.951,-0.976
1568484930015,2019-09-14T14:15:30.015,0.150,0.915,1.951,-0.732
1568484930025,2019-09-14T14:15:30.025,0.160,0.976,1.951,-0.732
1568484930035,2019-09-14T14:15:30.035,0.170,0.915,2.073,-0.671
1568484930045,2019-09-14T14:15:30.045,0.180,0.610,2.317,-0.488
1568484930055,2019-09-14T14:15:30.055,0.190,0.366,2.805,-0.366
1568484930065,2019-09-14T14:15:30.065,0.200,0.305,3.110,-0.183
1568484930075,2019-09-14T14:15:30.075,0.210,0.427,3.293,-0.122
1568484930085,2019-09-14T14:15:30.085,0.220,0.427,3.598,-0.061
1568484930095,2019-09-14T14:15:30.095,0.230,0.366,3.902,0.000
1568484930105,2019-09-14T14:15:30.105,0.240,0.366,4.146,0.122
1568484930115,2019-09-14T14:15:30.115,0.250,0.488,4.451,0.244
1568484930125,2019-09-14T14:15:30.125,0.260,0.610,4.634,0.244
1568484930135,2019-09-14T14:15:30.135,0.270,0.671,4.817,0.244
1568484930145,2019-09-14T14:15:30.145,0.280,0.671,5.000,0.183
1568484930155,2019-09-14T14:15:30.155,0.290,0.671,5.122,0.183
1568484930165,2019-09-14T14:15:30.165,0.300,0.854,5.000,0.061
1568484930175,2019-09-14T14:15:30.175,0.310,0.976,5.000,-0.061
1568484930185,2019-09-14T14:15:30.185,0.320,0.854,5.122,-0.061
1568484930195,2019-09-14T14:15:30.195,0.330,0.915,5.244,0.000
1568484930205,2019-09-14T14:15:30.205,0.340,1.220,5.244,-0.122
1568484930215,2019-09-14T14:15:30.215,0.350,1.402,5.366,-0.183
1568484930225,2019-09-14T14:15:30.225,0.360,1.402,5.610,-0.061
1568484930235,2019-09-14T14:15:30.235,0.370,1.463,5.610,0.122
1568484930245,2019-09-14T14:15:30.245,0.380,1.951,5.610,0.122
1568484930255,2019-09-14T14:15:30.255,0.390,2.317,5.610,0.061
1568484930265,2019-09-14T14:15:30.265,0.400,2.256,5.671,0.122
1568484930275,2019-09-14T14:15:30.275,0.410,2.439,5.610,0.183
1568484930285,2019-09-14T14:15:30.285,0.420,2.744,5.427,0.000
1568484930295,2019-09-14T14:15:30.295,0.430,2.744,5.427,-0.061
1568484930305,2019-09-14T14:15:30.305,0.440,2.378,5.488,0.000
1568484930315,2019-09-14T14:15:30.315,0.450,2.012,5.488,-0.122
1568484930325,2019-09-14T14:15:30.325,0.460,1.829,5.549,-0.122
1568484930335,2019-09-14T14:15:30.335,0.470,1.768,5.488,-0.061
1568484930345,2019-09-14T14:15:30.345,0.480,1.524,5.549,0.061
1568484930355,2019-09-14T14:15:30.355,0.490,1.463,5.732,0.183
1568484930365,2019-09-14T14:15:30.365,0.500,1.220,6.159,0.488
1568484930375,2019-09-14T14:15:30.375,0.510,0.427,6.585,0.854
1568484930385,2019-09-14T14:15:30.385,0.520,-0.061,6.829,1.402
1568484930395,2019-09-14T14:15:30.395,0.530,-0.122,6.768,2.073
1568484930405,2019-09-14T14:15:30.405,0.540,-0.061,6.646,2.622
1568484930415,2019-09-14T14:15:30.415,0.550,-0.122,6.463,3.293
1568484930425,2019-09-14T14:15:30.425,0.560,-0.305,6.280,3.963
1568484930435,2019-09-14T14:15:30.435,0.570,-0.427,6.098,4.451
1568484930445,2019-09-14T14:15:30.445,0.580,-0.854,5.915,5.061
1568484930455,2019-09-14T14:15:30.455,0.590,-1.646,5.793,5.854
1568484930465,2019-09-14T14:15:30.465,0.600,-1.707,5.305,6.463
1568484930475,2019-09-14T14:15:30.475,0.610,-1.341,5.000,7.073
1568484930485,2019-09-14T14:15:30.485,0.620,-1.280,4.634,7.744
1568484930495,2019-09-14T14:15:30.495,0.630,-1.402,4.268,8.537
1568484930505,2019-09-14T14:15:30.505,0.640,-1.646,3.963,9.329
1568484930515,2019-09-14T14:15:30.515,0.650,-1.402,3.659,9.878
1568484930525,2019-09-14T14:15:30.525,0.660,-1.280,3.354,10.244
1568484930535,2019-09-14T14:15:30.535,0.670,-1.402,3.110,10.549
1568484930545,2019-09-14T14:15:30.545,0.680,-1.037,2.866,10.671
1568484930555,2019-09-14T14:15:30.555,0.690,-0.854,2.622,10.488
1568484930565,2019-09-14T14:15:30.565,0.700,-1.341,2.561,10.488
1568484930575,2019-09-14T14:15:30.575,0.710,-1.646,2.439,10.427
1568484930585,2019-09-14T14:15:30.585,0.720,-1.098,2.073,10.549
1568484930595,2019-09-14T14:15:30.595,0.730,-0.854,1.890,10.549
1568484930605,2019-09-14T14:15:30.605,0.740,-1.037,1.829,10.732
1568484930615,2019-09-14T14:15:30.615,0.750,-0.427,1.524,10.671
1568484930625,2019-09-14T14:15:30.625,0.760,1.159,1.159,10.244
1568484930635,2019-09-14T14:15:30.635,0.770,2.378,0.854,9.817
1568484930645,2019-09-14T14:15:30.645,0.780,3.171,0.732,9.329
1568484930655,2019-09-14T14:15:30.655,0.790,4.085,0.671,8.476
1568484930665,2019-09-14T14:15:30.665,0.800,5.183,0.549,7.256
1568484930675,2019-09-14T14:15:30.675,0.810,6.098,0.427,5.915
1568484930685,2019-09-14T14:15:30.685,0.820,7.012,0.610,4.573
1568484930695,2019-09-14T14:15:30.695,0.830,7.927,0.610,3.232
1568484930705,2019-09-14T14:15:30.705,0.840,8.902,0.732,1.951
1568484930715,2019-09-14T14:15:30.715,0.850,9.817,0.854,0.976
1568484930725,2019-09-14T14:15:30.725,0.860,10.793,1.037,0.061
1568484930735,2019-09-14T14:15:30.735,0.870,11.768,1.159,-0.610
1568484930745,2019-09-14T14:15:30.745,0.880,12.500,1.524,-0.915
1568484930755,2019-09-14T14:15:30.755,0.890,13.049,1.890,-0.976
1568484930765,2019-09-14T14:15:30.765,0.900,13.415,2.134,-0.854
1568484930775,2019-09-14T14:15:30.775,0.910,13.476,2.439,-0.305
1568484930785,2019-09-14T14:15:30.785,0.920,13.841,2.683,0.366
1568484930795,2019-09-14T14:15:30.795,0.930,14.268,2.744,1.159
1568484930805,2019-09-14T14:15:30.805,0.940,14.634,2.805,2.073
1568484930815,2019-09-14T14:15:30.815,0.950,14.878,2.805,2.988
1568484930825,2019-09-14T14:15:30.825,0.960,15.244,2.622,3.780
1568484930835,2019-09-14T14:15:30.835,0.970,15.976,2.378,4.634
1568484930845,2019-09-14T14:15:30.845,0.980,16.646,2.073,5.183
1568484930855,2019-09-14T14:15:30.855,0.990,17.012,1.585,5.915
1568484930865,2019-09-14T14:15:30.865,1.000,17.683,0.976,6.585
1568484930875,2019-09-14T14:15:30.875,1.010,18.110,0.427,7.012
1568484930885,2019-09-14T14:15:30.885,1.020,18.415,-0.183,7.744
1568484930895,2019-09-14T14:15:30.895,1.030,19.390,-0.793,8.110
1568484930905,2019-09-14T14:15:30.905,1.040,20.732,-1.585,8.049
1568484930915,2019-09-14T14:15:30.915,1.050,22.012,-2.500,7.561
1568484930925,2019-09-14T14:15:30.925,1.060,23.293,-3.232,6.646
1568484930935,2019-09-14T14:15:30.935,1.070,24.024,-4.146,5.671
1568484930945,2019-09-14T14:15:30.945,1.080,23.720,-4.817,4.878
1568484930955,2019-09-14T14:15:30.955,1.090,24.146,-5.488,4.268
1568484930965,2019-09-14T14:15:30.965,1.100,24.207,-5.854,3.720
1568484930975,2019-09-14T14:15:30.975,1.110,22.561,-5.793,3.902
1568484930985,2019-09-14T14:15:30.985,1.120,21.707,-5.793,3.963
1568484930995,2019-09-14T14:15:30.995,1.130,23.902,-6.098,2.927
1568484931005,2019-09-14T14:15:31.005,1.140,25.244,-5.915,1.280
1568484931015,2019-09-14T14:15:31.015,1.150,23.476,-4.939,0.183
1568484931025,2019-09-14T14:15:31.025,1.160,21.585,-3.780,-0.732
1568484931035,2019-09-14T14:15:31.035,1.170,21.220,-3.110,-1.585
1568484931045,2019-09-14T14:15:31.045,1.180,21.890,-2.561,-2.317
1568484931055,2019-09-14T14:15:31.055,1.190,22.256,-1.951,-2.439
