epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573069731190,2019-11-06T14:48:51.190,0.000,-5.732,0.732,-4.146
1573069731200,2019-11-06T14:48:51.200,0.010,-5.610,0.671,-3.476
1573069731210,2019-11-06T14:48:51.210,0.020,-5.183,0.183,-2.744
1573069731220,2019-11-06T14:48:51.220,0.030,-4.512,-0.305,-0.976
1573069731230,2019-11-06T14:48:51.230,0.040,-4.024,-0.671,1.037
1573069731240,2019-11-06T14:48:51.240,0.050,-3.720,-1.037,2.622
1573069731250,2019-11-06T14:48:51.250,0.060,-3.598,-1.280,3.780
1573069731260,2019-11-06T14:48:51.260,0.070,-3.293,-1.463,4.817
1573069731270,2019-11-06T14:48:51.270,0.080,-2.683,-1.707,6.890
1573069731280,2019-11-06T14:48:51.280,0.090,-1.402,-2.073,10.061
1573069731290,2019-11-06T14:48:51.290,0.100,-0.244,-2.317,12.988
1573069731300,2019-11-06T14:48:51.300,0.110,0.183,-2.744,14.695
1573069731310,2019-11-06T14:48:51.310,0.120,0.305,-3.110,15.244
1573069731320,2019-11-06T14:48:51.320,0.130,-0.183,-3.171,14.695
1573069731330,2019-11-06T14:48:51.330,0.140,-0.732,-2.866,13.232
1573069731340,2019-11-06T14:48:51.340,0.150,-1.341,-2.378,10.793
1573069731350,2019-11-06T14:48:51.350,0.160,-2.134,-1.585,7.805
1573069731360,2019-11-06T14:48:51.360,0.170,-3.293,-0.915,5.122
1573069731370,2019-11-06T14:48:51.370,0.180,-4.207,-0.244,3.049
1573069731380,2019-11-06T14:48:51.380,0.190,-4.329,0.183,1.951
1573069731390,2019-11-06T14:48:51.390,0.200,-4.451,0.427,1.098
1573069731400,2019-11-06T14:48:51.400,0.210,-4.451,0.610,0.183
1573069731410,2019-11-06T14:48:51.410,0.220,-4.451,0.854,-0.976
1573069731420,2019-11-06T14:48:51.420,0.230,-4.878,1.037,-2.744
1573069731430,2019-11-06T14:48:51.430,0.240,-5.000,0.915,-3.963
1573069731440,2019-11-06T14:48:51.440,0.250,-4.146,0.671,-3.720
1573069731450,2019-11-06T14:48:51.450,0.260,-3.110,0.427,-3.293
1573069731460,2019-11-06T14:48:51.460,0.270,-2.927,0.305,-3.476
1573069731470,2019-11-06T14:48:51.470,0.280,-2.500,0.183,-2.988
1573069731480,2019-11-06T14:48:51.480,0.290,-1.951,0.183,-2.561
1573069731490,2019-11-06T14:48:51.490,0.300,-1.951,0.183,-2.439
1573069731500,2019-11-06T14:48:51.500,0.310,-2.073,0.122,-2.683
1573069731510,2019-11-06T14:48:51.510,0.320,-2.012,0.183,-2.622
1573069731520,2019-11-06T14:48:51.520,0.330,-2.073,0.305,-2.256
1573069731530,2019-11-06T14:48:51.530,0.340,-2.500,0.671,-2.195
1573069731540,2019-11-06T14:48:51.540,0.350,-3.110,0.976,-2.134
1573069731550,2019-11-06T14:48:51.550,0.360,-3.415,1.341,-1.890
1573069731560,2019-11-06T14:48:51.560,0.370,-3.598,1.646,-2.073
1573069731570,2019-11-06T14:48:51.570,0.380,-3.476,1.890,-2.561
1573069731580,2019-11-06T14:48:51.580,0.390,-3.110,1.951,-2.988
1573069731590,2019-11-06T14:48:51.590,0.400,-2.927,2.012,-3.171
1573069731600,2019-11-06T14:48:51.600,0.410,-2.988,2.195,-3.049
1573069731610,2019-11-06T14:48:51.610,0.420,-2.988,2.378,-2.866
1573069731620,2019-11-06T14:48:51.620,0.430,-3.110,2.622,-2.500
1573069731630,2019-11-06T14:48:51.630,0.440,-3.110,2.744,-1.646
1573069731640,2019-11-06T14:48:51.640,0.450,-3.171,2.988,-0.671
1573069731650,2019-11-06T14:48:51.650,0.460,-3.293,3.232,0.000
1573069731660,2019-11-06T14:48:51.660,0.470,-3.537,3.537,0.732
1573069731670,2019-11-06T14:48:51.670,0.480,-3.232,3.659,2.256
1573069731680,2019-11-06T14:48:51.680,0.490,-2.500,4.024,4.451
1573069731690,2019-11-06T14:48:51.690,0.500,-1.890,4.329,6.220
1573069731700,2019-11-06T14:48:51.700,0.510,-2.195,4.878,7.195
1573069731710,2019-11-06T14:48:51.710,0.520,-2.256,5.732,8.780
1573069731720,2019-11-06T14:48:51.720,0.530,-1.463,7.134,11.402
1573069731730,2019-11-06T14:48:51.730,0.540,-1.159,9.512,14.939
1573069731740,2019-11-06T14:48:51.740,0.550,-0.976,12.378,18.171
1573069731750,2019-11-06T14:48:51.750,0.560,-0.915,15.671,20.244
1573069731760,2019-11-06T14:48:51.760,0.570,-1.585,19.390,22.317
1573069731770,2019-11-06T14:48:51.770,0.580,-2.073,23.780,25.000
1573069731780,2019-11-06T14:48:51.780,0.590,-3.110,29.329,27.134
1573069731790,2019-11-06T14:48:51.790,0.600,-6.280,36.524,28.476
1573069731800,2019-11-06T14:48:51.800,0.610,-9.817,44.939,29.268
1573069731810,2019-11-06T14:48:51.810,0.620,-13.171,54.085,29.451
1573069731820,2019-11-06T14:48:51.820,0.630,-17.317,63.354,28.720
1573069731830,2019-11-06T14:48:51.830,0.640,-22.012,72.500,27.012
1573069731840,2019-11-06T14:48:51.840,0.650,-26.585,81.098,24.817
1573069731850,2019-11-06T14:48:51.850,0.660,-31.220,88.354,21.951
1573069731860,2019-11-06T14:48:51.860,0.670,-35.671,94.878,18.963
1573069731870,2019-11-06T14:48:51.870,0.680,-39.817,100.610,15.976
1573069731880,2019-11-06T14:48:51.880,0.690,-43.902,105.427,13.110
1573069731890,2019-11-06T14:48:51.890,0.700,-47.500,109.695,10.122
1573069731900,2019-11-06T14:48:51.900,0.710,-51.220,113.354,7.134
1573069731910,2019-11-06T14:48:51.910,0.720,-54.878,116.280,4.695
1573069731920,2019-11-06T14:48:51.920,0.730,-57.683,118.598,2.622
1573069731930,2019-11-06T14:48:51.930,0.740,-59.756,120.305,0.854
1573069731940,2019-11-06T14:48:51.940,0.750,-61.585,120.976,-1.220
1573069731950,2019-11-06T14:48:51.950,0.760,-62.988,120.549,-3.354
1573069731960,2019-11-06T14:48:51.960,0.770,-62.866,119.146,-4.329
1573069731970,2019-11-06T14:48:51.970,0.780,-61.220,116.463,-4.451
1573069731980,2019-11-06T14:48:51.980,0.790,-58.963,113.049,-4.085
1573069731990,2019-11-06T14:48:51.990,0.800,-56.098,109.207,-3.537
1573069732000,2019-11-06T14:48:52.000,0.810,-53.354,105.122,-3.537
1573069732010,2019-11-06T14:48:52.010,0.820,-50.915,101.098,-3.659
1573069732020,2019-11-06T14:48:52.020,0.830,-48.110,97.073,-2.927
1573069732030,2019-11-06T14:48:52.030,0.840,-45.488,92.683,-1.768
1573069732040,2019-11-06T14:48:52.040,0.850,-43.415,87.988,-1.159
1573069732050,2019-11-06T14:48:52.050,0.860,-40.793,83.293,-0.976
1573069732060,2019-11-06T14:48:52.060,0.870,-37.866,78.293,-0.427
1573069732070,2019-11-06T14:48:52.070,0.880,-34.878,72.988,0.183
1573069732080,2019-11-06T14:48:52.080,0.890,-32.073,67.317,0.854
1573069732090,2019-11-06T14:48:52.090,0.900,-29.024,61.890,1.280
