epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573070301916,2019-11-06T14:58:21.916,0.000,-47.805,62.134,14.207
1573070301926,2019-11-06T14:58:21.926,0.010,-47.195,60.976,13.963
1573070301936,2019-11-06T14:58:21.936,0.020,-46.098,59.451,14.817
1573070301946,2019-11-06T14:58:21.946,0.030,-44.451,57.256,15.244
1573070301956,2019-11-06T14:58:21.956,0.040,-43.049,55.061,15.549
1573070301966,2019-11-06T14:58:21.966,0.050,-42.622,53.232,15.366
1573070301976,2019-11-06T14:58:21.976,0.060,-42.683,51.463,15.122
1573070301986,2019-11-06T14:58:21.986,0.070,-42.927,49.512,16.037
1573070301996,2019-11-06T14:58:21.996,0.080,-43.476,47.683,17.378
1573070302006,2019-11-06T14:58:22.006,0.090,-44.024,45.671,18.841
1573070302016,2019-11-06T14:58:22.016,0.100,-44.512,43.415,20.427
1573070302026,2019-11-06T14:58:22.026,0.110,-44.390,40.549,22.439
1573070302036,2019-11-06T14:58:22.036,0.120,-43.476,37.622,24.146
1573070302046,2019-11-06T14:58:22.046,0.130,-42.561,34.512,24.207
1573070302056,2019-11-06T14:58:22.056,0.140,-41.768,31.037,22.988
1573070302066,2019-11-06T14:58:22.066,0.150,-39.939,27.073,21.646
1573070302076,2019-11-06T14:58:22.076,0.160,-37.561,22.866,19.939
1573070302086,2019-11-06T14:58:22.086,0.170,-35.610,18.902,17.683
1573070302096,2019-11-06T14:58:22.096,0.180,-33.963,15.061,15.305
1573070302106,2019-11-06T14:58:22.106,0.190,-32.012,11.220,12.988
1573070302116,2019-11-06T14:58:22.116,0.200,-29.268,7.378,10.549
1573070302126,2019-11-06T14:58:22.126,0.210,-26.159,3.537,7.500
1573070302136,2019-11-06T14:58:22.136,0.220,-22.378,-0.488,4.268
1573070302146,2019-11-06T14:58:22.146,0.230,-18.232,-4.695,0.732
1573070302156,2019-11-06T14:58:22.156,0.240,-14.329,-8.720,-2.988
1573070302166,2019-11-06T14:58:22.166,0.250,-10.732,-12.500,-7.195
1573070302176,2019-11-06T14:58:22.176,0.260,-7.927,-15.854,-11.951
1573070302186,2019-11-06T14:58:22.186,0.270,-5.915,-18.659,-17.256
1573070302196,2019-11-06T14:58:22.196,0.280,-4.451,-21.159,-22.988
1573070302206,2019-11-06T14:58:22.206,0.290,-3.841,-23.598,-28.902
1573070302216,2019-11-06T14:58:22.216,0.300,-3.110,-25.732,-34.634
1573070302226,2019-11-06T14:58:22.226,0.310,-1.768,-28.110,-39.817
1573070302236,2019-11-06T14:58:22.236,0.320,-0.366,-30.610,-44.085
1573070302246,2019-11-06T14:58:22.246,0.330,0.854,-32.988,-48.354
1573070302256,2019-11-06T14:58:22.256,0.340,0.915,-35.183,-53.293
