epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573070563786,2019-11-06T15:02:43.786,0.000,0.775,-0.547,-0.318
1573070563796,2019-11-06T15:02:43.796,0.010,0.780,-0.545,-0.317
1573070563806,2019-11-06T15:02:43.806,0.020,0.775,-0.540,-0.312
1573070563816,2019-11-06T15:02:43.816,0.030,0.772,-0.539,-0.314
1573070563826,2019-11-06T15:02:43.826,0.040,0.767,-0.542,-0.317
1573070563836,2019-11-06T15:02:43.836,0.050,0.764,-0.546,-0.318
1573070563846,2019-11-06T15:02:43.846,0.060,0.761,-0.551,-0.317
1573070563856,2019-11-06T15:02:43.856,0.070,0.756,-0.557,-0.324
1573070563866,2019-11-06T15:02:43.866,0.080,0.756,-0.561,-0.323
1573070563876,2019-11-06T15:02:43.876,0.090,0.756,-0.562,-0.319
1573070563886,2019-11-06T15:02:43.886,0.100,0.757,-0.563,-0.325
1573070563896,2019-11-06T15:02:43.896,0.110,0.753,-0.563,-0.325
1573070563906,2019-11-06T15:02:43.906,0.120,0.752,-0.566,-0.321
1573070563916,2019-11-06T15:02:43.916,0.130,0.756,-0.567,-0.321
1573070563926,2019-11-06T15:02:43.926,0.140,0.755,-0.569,-0.318
1573070563936,2019-11-06T15:02:43.936,0.150,0.753,-0.572,-0.322
1573070563946,2019-11-06T15:02:43.946,0.160,0.751,-0.569,-0.321
1573070563956,2019-11-06T15:02:43.956,0.170,0.750,-0.565,-0.318
1573070563966,2019-11-06T15:02:43.966,0.180,0.755,-0.572,-0.318
1573070563976,2019-11-06T15:02:43.976,0.190,0.760,-0.578,-0.319
1573070563986,2019-11-06T15:02:43.986,0.200,0.764,-0.579,-0.316
1573070563996,2019-11-06T15:02:43.996,0.210,0.768,-0.578,-0.315
1573070564006,2019-11-06T15:02:44.006,0.220,0.770,-0.578,-0.313
1573070564016,2019-11-06T15:02:44.016,0.230,0.773,-0.582,-0.313
1573070564026,2019-11-06T15:02:44.026,0.240,0.775,-0.592,-0.313
1573070564036,2019-11-06T15:02:44.036,0.250,0.777,-0.609,-0.316
1573070564046,2019-11-06T15:02:44.046,0.260,0.778,-0.623,-0.315
1573070564056,2019-11-06T15:02:44.056,0.270,0.783,-0.638,-0.318
1573070564066,2019-11-06T15:02:44.066,0.280,0.795,-0.660,-0.318
1573070564076,2019-11-06T15:02:44.076,0.290,0.798,-0.687,-0.321
1573070564086,2019-11-06T15:02:44.086,0.300,0.805,-0.710,-0.317
1573070564096,2019-11-06T15:02:44.096,0.310,0.807,-0.723,-0.310
1573070564106,2019-11-06T15:02:44.106,0.320,0.796,-0.704,-0.296
1573070564116,2019-11-06T15:02:44.116,0.330,0.783,-0.654,-0.274
1573070564126,2019-11-06T15:02:44.126,0.340,0.779,-0.604,-0.253
1573070564136,2019-11-06T15:02:44.136,0.350,0.767,-0.578,-0.240
1573070564146,2019-11-06T15:02:44.146,0.360,0.749,-0.575,-0.235
1573070564156,2019-11-06T15:02:44.156,0.370,0.739,-0.593,-0.229
1573070564166,2019-11-06T15:02:44.166,0.380,0.734,-0.616,-0.227
1573070564176,2019-11-06T15:02:44.176,0.390,0.727,-0.624,-0.221
1573070564186,2019-11-06T15:02:44.186,0.400,0.720,-0.625,-0.212
1573070564196,2019-11-06T15:02:44.196,0.410,0.720,-0.612,-0.206
1573070564206,2019-11-06T15:02:44.206,0.420,0.715,-0.588,-0.193
1573070564216,2019-11-06T15:02:44.216,0.430,0.710,-0.569,-0.185
1573070564226,2019-11-06T15:02:44.226,0.440,0.704,-0.563,-0.184
1573070564236,2019-11-06T15:02:44.236,0.450,0.709,-0.574,-0.192
1573070564246,2019-11-06T15:02:44.246,0.460,0.716,-0.596,-0.199
1573070564256,2019-11-06T15:02:44.256,0.470,0.719,-0.616,-0.210
1573070564266,2019-11-06T15:02:44.266,0.480,0.721,-0.635,-0.219
1573070564276,2019-11-06T15:02:44.276,0.490,0.719,-0.656,-0.227
1573070564286,2019-11-06T15:02:44.286,0.500,0.721,-0.679,-0.233
1573070564296,2019-11-06T15:02:44.296,0.510,0.724,-0.699,-0.237
1573070564306,2019-11-06T15:02:44.306,0.520,0.727,-0.716,-0.239
1573070564316,2019-11-06T15:02:44.316,0.530,0.726,-0.725,-0.246
1573070564326,2019-11-06T15:02:44.326,0.540,0.714,-0.721,-0.245
1573070564336,2019-11-06T15:02:44.336,0.550,0.702,-0.707,-0.242
1573070564346,2019-11-06T15:02:44.346,0.560,0.687,-0.686,-0.240
1573070564356,2019-11-06T15:02:44.356,0.570,0.667,-0.666,-0.236
1573070564366,2019-11-06T15:02:44.366,0.580,0.654,-0.650,-0.231
1573070564376,2019-11-06T15:02:44.376,0.590,0.631,-0.635,-0.225
1573070564386,2019-11-06T15:02:44.386,0.600,0.603,-0.620,-0.221
1573070564396,2019-11-06T15:02:44.396,0.610,0.587,-0.620,-0.221
1573070564406,2019-11-06T15:02:44.406,0.620,0.595,-0.667,-0.231
1573070564416,2019-11-06T15:02:44.416,0.630,0.611,-0.755,-0.253
1573070564426,2019-11-06T15:02:44.426,0.640,0.639,-0.828,-0.277
1573070564436,2019-11-06T15:02:44.436,0.650,0.663,-0.831,-0.288
1573070564446,2019-11-06T15:02:44.446,0.660,0.664,-0.751,-0.290
1573070564456,2019-11-06T15:02:44.456,0.670,0.654,-0.644,-0.283
1573070564466,2019-11-06T15:02:44.466,0.680,0.644,-0.585,-0.291
1573070564476,2019-11-06T15:02:44.476,0.690,0.631,-0.590,-0.321
1573070564486,2019-11-06T15:02:44.486,0.700,0.630,-0.646,-0.368
1573070564496,2019-11-06T15:02:44.496,0.710,0.643,-0.712,-0.397
1573070564506,2019-11-06T15:02:44.506,0.720,0.650,-0.749,-0.411
1573070564516,2019-11-06T15:02:44.516,0.730,0.628,-0.752,-0.424
1573070564526,2019-11-06T15:02:44.526,0.740,0.592,-0.725,-0.438
1573070564536,2019-11-06T15:02:44.536,0.750,0.571,-0.709,-0.440
1573070564546,2019-11-06T15:02:44.546,0.760,0.559,-0.720,-0.447
1573070564556,2019-11-06T15:02:44.556,0.770,0.547,-0.745,-0.465
1573070564566,2019-11-06T15:02:44.566,0.780,0.529,-0.750,-0.468
1573070564576,2019-11-06T15:02:44.576,0.790,0.524,-0.712,-0.472
1573070564586,2019-11-06T15:02:44.586,0.800,0.516,-0.671,-0.467
1573070564596,2019-11-06T15:02:44.596,0.810,0.506,-0.649,-0.458
1573070564606,2019-11-06T15:02:44.606,0.820,0.517,-0.636,-0.458
1573070564616,2019-11-06T15:02:44.616,0.830,0.523,-0.630,-0.454
1573070564626,2019-11-06T15:02:44.626,0.840,0.514,-0.625,-0.451
1573070564636,2019-11-06T15:02:44.636,0.850,0.511,-0.607,-0.443
1573070564646,2019-11-06T15:02:44.646,0.860,0.514,-0.587,-0.443
1573070564656,2019-11-06T15:02:44.656,0.870,0.522,-0.577,-0.448
1573070564666,2019-11-06T15:02:44.666,0.880,0.529,-0.592,-0.457
1573070564676,2019-11-06T15:02:44.676,0.890,0.534,-0.628,-0.470
1573070564686,2019-11-06T15:02:44.686,0.900,0.545,-0.630,-0.474
1573070564696,2019-11-06T15:02:44.696,0.910,0.556,-0.600,-0.475
1573070564706,2019-11-06T15:02:44.706,0.920,0.568,-0.572,-0.468
1573070564716,2019-11-06T15:02:44.716,0.930,0.579,-0.553,-0.468
1573070564726,2019-11-06T15:02:44.726,0.940,0.582,-0.540,-0.471
1573070564736,2019-11-06T15:02:44.736,0.950,0.597,-0.542,-0.470
1573070564746,2019-11-06T15:02:44.746,0.960,0.627,-0.577,-0.475
1573070564756,2019-11-06T15:02:44.756,0.970,0.652,-0.618,-0.470
1573070564766,2019-11-06T15:02:44.766,0.980,0.669,-0.639,-0.465
1573070564776,2019-11-06T15:02:44.776,0.990,0.676,-0.708,-0.466
1573070564786,2019-11-06T15:02:44.786,1.000,0.700,-0.859,-0.474
1573070564796,2019-11-06T15:02:44.796,1.010,0.730,-0.944,-0.463
1573070564806,2019-11-06T15:02:44.806,1.020,0.729,-0.849,-0.421
1573070564816,2019-11-06T15:02:44.816,1.030,0.703,-0.705,-0.381
1573070564826,2019-11-06T15:02:44.826,1.040,0.704,-0.683,-0.362
1573070564836,2019-11-06T15:02:44.836,1.050,0.747,-0.742,-0.359
1573070564846,2019-11-06T15:02:44.846,1.060,0.772,-0.766,-0.354
1573070564856,2019-11-06T15:02:44.856,1.070,0.780,-0.733,-0.335
1573070564866,2019-11-06T15:02:44.866,1.080,0.782,-0.688,-0.303
1573070564876,2019-11-06T15:02:44.876,1.090,0.776,-0.641,-0.276
1573070564886,2019-11-06T15:02:44.886,1.100,0.766,-0.608,-0.255
1573070564896,2019-11-06T15:02:44.896,1.110,0.756,-0.613,-0.239
1573070564906,2019-11-06T15:02:44.906,1.120,0.752,-0.686,-0.230
1573070564916,2019-11-06T15:02:44.916,1.130,0.755,-0.768,-0.226
1573070564926,2019-11-06T15:02:44.926,1.140,0.748,-0.785,-0.219
1573070564936,2019-11-06T15:02:44.936,1.150,0.740,-0.751,-0.202
1573070564946,2019-11-06T15:02:44.946,1.160,0.730,-0.708,-0.184
1573070564956,2019-11-06T15:02:44.956,1.170,0.721,-0.686,-0.175
1573070564966,2019-11-06T15:02:44.966,1.180,0.691,-0.707,-0.171
1573070564976,2019-11-06T15:02:44.976,1.190,0.693,-0.723,-0.170
1573070564986,2019-11-06T15:02:44.986,1.200,0.700,-0.693,-0.163
1573070564996,2019-11-06T15:02:44.996,1.210,0.692,-0.631,-0.159
1573070565006,2019-11-06T15:02:45.006,1.220,0.689,-0.588,-0.157
1573070565016,2019-11-06T15:02:45.016,1.230,0.703,-0.583,-0.170
1573070565026,2019-11-06T15:02:45.026,1.240,0.721,-0.589,-0.179
1573070565036,2019-11-06T15:02:45.036,1.250,0.731,-0.577,-0.186
1573070565046,2019-11-06T15:02:45.046,1.260,0.729,-0.554,-0.193
1573070565056,2019-11-06T15:02:45.056,1.270,0.729,-0.543,-0.200
1573070565066,2019-11-06T15:02:45.066,1.280,0.740,-0.545,-0.211
1573070565076,2019-11-06T15:02:45.076,1.290,0.740,-0.561,-0.221
1573070565086,2019-11-06T15:02:45.086,1.300,0.730,-0.581,-0.231
1573070565096,2019-11-06T15:02:45.096,1.310,0.720,-0.596,-0.235
1573070565106,2019-11-06T15:02:45.106,1.320,0.708,-0.600,-0.240
1573070565116,2019-11-06T15:02:45.116,1.330,0.696,-0.596,-0.240
1573070565126,2019-11-06T15:02:45.126,1.340,0.668,-0.594,-0.243
1573070565136,2019-11-06T15:02:45.136,1.350,0.645,-0.582,-0.243
1573070565146,2019-11-06T15:02:45.146,1.360,0.632,-0.564,-0.240
1573070565156,2019-11-06T15:02:45.156,1.370,0.625,-0.544,-0.245
1573070565166,2019-11-06T15:02:45.166,1.380,0.621,-0.515,-0.240
1573070565176,2019-11-06T15:02:45.176,1.390,0.604,-0.493,-0.230
1573070565186,2019-11-06T15:02:45.186,1.400,0.589,-0.474,-0.235
1573070565196,2019-11-06T15:02:45.196,1.410,0.579,-0.444,-0.235
1573070565206,2019-11-06T15:02:45.206,1.420,0.577,-0.433,-0.234
1573070565216,2019-11-06T15:02:45.216,1.430,0.589,-0.453,-0.240
1573070565226,2019-11-06T15:02:45.226,1.440,0.602,-0.501,-0.252
1573070565236,2019-11-06T15:02:45.236,1.450,0.604,-0.561,-0.260
1573070565246,2019-11-06T15:02:45.246,1.460,0.605,-0.597,-0.258
1573070565256,2019-11-06T15:02:45.256,1.470,0.608,-0.636,-0.251
1573070565266,2019-11-06T15:02:45.266,1.480,0.606,-0.689,-0.241
1573070565276,2019-11-06T15:02:45.276,1.490,0.606,-0.750,-0.233
1573070565286,2019-11-06T15:02:45.286,1.500,0.600,-0.791,-0.239
1573070565296,2019-11-06T15:02:45.296,1.510,0.580,-0.794,-0.226
1573070565306,2019-11-06T15:02:45.306,1.520,0.561,-0.788,-0.213
1573070565316,2019-11-06T15:02:45.316,1.530,0.538,-0.757,-0.200
1573070565326,2019-11-06T15:02:45.326,1.540,0.532,-0.685,-0.176
1573070565336,2019-11-06T15:02:45.336,1.550,0.514,-0.593,-0.157
1573070565346,2019-11-06T15:02:45.346,1.560,0.470,-0.542,-0.147
