epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1573070088141,2019-11-06T14:54:48.141,0.000,99300.336
1573070088276,2019-11-06T14:54:48.276,0.135,99299.859
1573070088412,2019-11-06T14:54:48.412,0.271,99300.727
1573070088547,2019-11-06T14:54:48.547,0.406,99296.797
1573070088683,2019-11-06T14:54:48.683,0.542,99296.328
1573070088819,2019-11-06T14:54:48.819,0.678,99299.422
1573070088954,2019-11-06T14:54:48.954,0.813,99301.563
1573070089090,2019-11-06T14:54:49.090,0.949,99301.563
1573070089226,2019-11-06T14:54:49.226,1.085,99301.563
1573070089361,2019-11-06T14:54:49.361,1.220,99296.797
1573070089497,2019-11-06T14:54:49.497,1.356,99303.703
1573070089632,2019-11-06T14:54:49.632,1.491,99302.867
1573070089768,2019-11-06T14:54:49.768,1.627,99295.844
1573070089905,2019-11-06T14:54:49.905,1.764,99299.328
1573070090039,2019-11-06T14:54:50.039,1.898,99302.391
1573070090176,2019-11-06T14:54:50.176,2.035,99301.078
1573070090312,2019-11-06T14:54:50.312,2.171,99301.953
1573070090447,2019-11-06T14:54:50.447,2.306,99302.781
1573070090583,2019-11-06T14:54:50.583,2.442,99298.859
1573070090718,2019-11-06T14:54:50.718,2.577,99294.547
1573070090854,2019-11-06T14:54:50.854,2.713,99301.953
1573070090990,2019-11-06T14:54:50.990,2.849,99302.391
1573070091125,2019-11-06T14:54:51.125,2.984,99298.469
1573070091261,2019-11-06T14:54:51.261,3.120,99297.156
1573070091397,2019-11-06T14:54:51.397,3.256,99300.641
1573070091532,2019-11-06T14:54:51.532,3.391,99294.188
1573070091668,2019-11-06T14:54:51.668,3.527,99300.250
1573070091804,2019-11-06T14:54:51.804,3.663,99300.641
1573070091939,2019-11-06T14:54:51.939,3.798,99298.023
1573070092075,2019-11-06T14:54:52.075,3.934,99298.469
1573070092212,2019-11-06T14:54:52.212,4.071,99300.250
1573070092346,2019-11-06T14:54:52.346,4.205,99305.484
1573070092483,2019-11-06T14:54:52.483,4.342,99300.727
1573070092617,2019-11-06T14:54:52.617,4.476,99297.156
1573070092754,2019-11-06T14:54:52.754,4.613,99298.938
1573070092890,2019-11-06T14:54:52.890,4.749,99293.703
1573070093025,2019-11-06T14:54:53.025,4.884,99292.875
1573070093161,2019-11-06T14:54:53.161,5.020,99296.797
1573070093297,2019-11-06T14:54:53.297,5.156,99296.328
1573070093432,2019-11-06T14:54:53.432,5.291,99300.250
1573070093568,2019-11-06T14:54:53.568,5.427,99303.703
1573070093703,2019-11-06T14:54:53.703,5.562,99299.859
1573070093839,2019-11-06T14:54:53.839,5.698,99295.578
1573070093975,2019-11-06T14:54:53.975,5.834,99302.031
1573070094110,2019-11-06T14:54:54.110,5.969,99299.031
1573070094246,2019-11-06T14:54:54.246,6.105,99294.273
1573070094383,2019-11-06T14:54:54.383,6.242,99293.797
1573070094517,2019-11-06T14:54:54.517,6.376,99302.117
1573070094654,2019-11-06T14:54:54.654,6.513,99301.641
1573070094788,2019-11-06T14:54:54.788,6.647,99301.250
1573070094925,2019-11-06T14:54:54.925,6.784,99301.250
1573070095061,2019-11-06T14:54:55.061,6.920,99300.336
1573070095196,2019-11-06T14:54:55.196,7.055,99299.109
1573070095332,2019-11-06T14:54:55.332,7.191,99299.945
1573070095468,2019-11-06T14:54:55.468,7.327,99305.180
1573070095603,2019-11-06T14:54:55.603,7.462,99299.594
1573070095739,2019-11-06T14:54:55.739,7.598,99300.422
1573070095874,2019-11-06T14:54:55.874,7.733,99301.250
1573070096010,2019-11-06T14:54:56.010,7.869,99295.672
1573070096146,2019-11-06T14:54:56.146,8.005,99299.109
1573070096281,2019-11-06T14:54:56.281,8.140,99300.422
1573070096417,2019-11-06T14:54:56.417,8.276,99292.578
1573070096554,2019-11-06T14:54:56.554,8.413,99295.672
1573070096688,2019-11-06T14:54:56.688,8.547,99296.141
1573070096825,2019-11-06T14:54:56.825,8.684,99298.281
1573070096961,2019-11-06T14:54:56.961,8.820,99301.375
1573070097096,2019-11-06T14:54:57.096,8.955,99298.281
1573070097232,2019-11-06T14:54:57.232,9.091,99296.969
1573070097367,2019-11-06T14:54:57.367,9.226,99298.766
1573070097503,2019-11-06T14:54:57.503,9.362,99302.688
1573070097639,2019-11-06T14:54:57.639,9.498,99298.281
1573070097774,2019-11-06T14:54:57.774,9.633,99296.969
1573070097910,2019-11-06T14:54:57.910,9.769,99298.766
1573070098046,2019-11-06T14:54:58.046,9.905,99296.141
1573070098181,2019-11-06T14:54:58.181,10.040,99298.766
1573070098317,2019-11-06T14:54:58.317,10.176,99294.828
1573070098453,2019-11-06T14:54:58.453,10.312,99300.898
1573070098588,2019-11-06T14:54:58.588,10.447,99302.688
1573070098724,2019-11-06T14:54:58.724,10.583,99301.375
1573070098859,2019-11-06T14:54:58.859,10.718,99298.766
1573070098995,2019-11-06T14:54:58.995,10.854,99303.125
1573070099132,2019-11-06T14:54:59.132,10.991,99300.898
1573070099268,2019-11-06T14:54:59.268,11.127,99298.367
1573070099403,2019-11-06T14:54:59.403,11.262,99300.063
1573070099539,2019-11-06T14:54:59.539,11.398,99297.891
1573070099674,2019-11-06T14:54:59.674,11.533,99300.508
1573070099810,2019-11-06T14:54:59.810,11.669,99306.609
1573070099946,2019-11-06T14:54:59.946,11.805,99297.891
1573070100081,2019-11-06T14:55:00.081,11.940,99298.367
1573070100217,2019-11-06T14:55:00.217,12.076,99300.508
1573070100353,2019-11-06T14:55:00.353,12.212,99295.750
1573070100488,2019-11-06T14:55:00.488,12.347,99297.063
1573070100624,2019-11-06T14:55:00.624,12.483,99297.063
1573070100759,2019-11-06T14:55:00.759,12.618,99300.156
1573070100895,2019-11-06T14:55:00.895,12.754,99297.891
1573070101032,2019-11-06T14:55:01.032,12.891,99299.289
1573070101166,2019-11-06T14:55:01.166,13.025,99299.672
1573070101303,2019-11-06T14:55:01.303,13.162,99300.984
1573070101439,2019-11-06T14:55:01.439,13.298,99296.672
1573070101574,2019-11-06T14:55:01.574,13.433,99295.359
1573070101710,2019-11-06T14:55:01.710,13.569,99302.766
1573070101846,2019-11-06T14:55:01.846,13.705,99297.148
1573070101981,2019-11-06T14:55:01.981,13.840,99295.836
1573070102117,2019-11-06T14:55:02.117,13.976,99295.836
1573070102252,2019-11-06T14:55:02.252,14.111,99298.453
1573070102388,2019-11-06T14:55:02.388,14.247,99301.547
1573070102524,2019-11-06T14:55:02.524,14.383,99298.930
1573070102659,2019-11-06T14:55:02.659,14.518,99301.906
1573070102795,2019-11-06T14:55:02.795,14.654,99301.547
1573070102931,2019-11-06T14:55:02.931,14.790,99302.852
1573070103066,2019-11-06T14:55:03.066,14.925,99298.094
1573070103202,2019-11-06T14:55:03.202,15.061,99302.852
1573070103337,2019-11-06T14:55:03.337,15.196,99299.844
1573070103473,2019-11-06T14:55:03.473,15.332,99299.406
1573070103610,2019-11-06T14:55:03.610,15.469,99299.016
1573070103744,2019-11-06T14:55:03.744,15.603,99303.766
1573070103881,2019-11-06T14:55:03.881,15.740,99301.156
1573070104017,2019-11-06T14:55:04.017,15.876,99302.469
1573070104152,2019-11-06T14:55:04.152,16.011,99295.969
1573070104288,2019-11-06T14:55:04.288,16.147,99299.453
1573070104423,2019-11-06T14:55:04.423,16.282,99299.906
1573070104559,2019-11-06T14:55:04.559,16.418,99294.672
1573070104695,2019-11-06T14:55:04.695,16.554,99299.016
1573070104830,2019-11-06T14:55:04.830,16.689,99299.906
1573070104966,2019-11-06T14:55:04.966,16.825,99294.672
1573070105102,2019-11-06T14:55:05.102,16.961,99299.906
1573070105237,2019-11-06T14:55:05.237,17.096,99297.766
1573070105373,2019-11-06T14:55:05.373,17.232,99297.281
1573070105508,2019-11-06T14:55:05.508,17.367,99301.203
1573070105644,2019-11-06T14:55:05.644,17.503,99299.063
1573070105781,2019-11-06T14:55:05.781,17.640,99299.063
1573070105915,2019-11-06T14:55:05.915,17.774,99304.773
1573070106052,2019-11-06T14:55:06.052,17.911,99300.852
1573070106188,2019-11-06T14:55:06.188,18.047,99301.688
1573070106323,2019-11-06T14:55:06.323,18.182,99302.156
1573070106459,2019-11-06T14:55:06.459,18.318,99304.773
1573070106595,2019-11-06T14:55:06.595,18.454,99302.516
1573070106730,2019-11-06T14:55:06.730,18.589,99302.156
1573070106866,2019-11-06T14:55:06.866,18.725,99304.773
1573070107001,2019-11-06T14:55:07.001,18.860,99300.102
1573070107137,2019-11-06T14:55:07.137,18.996,99300.461
1573070107273,2019-11-06T14:55:07.273,19.132,99300.016
1573070107408,2019-11-06T14:55:07.408,19.267,99299.156
1573070107544,2019-11-06T14:55:07.544,19.403,99301.766
1573070107680,2019-11-06T14:55:07.680,19.539,99300.938
1573070107815,2019-11-06T14:55:07.815,19.674,99300.461
1573070107951,2019-11-06T14:55:07.951,19.810,99299.625
1573070108088,2019-11-06T14:55:08.088,19.947,99301.414
1573070108222,2019-11-06T14:55:08.222,20.081,99301.414
1573070108359,2019-11-06T14:55:08.359,20.218,99301.414
1573070108495,2019-11-06T14:55:08.495,20.354,99298.797
1573070108630,2019-11-06T14:55:08.630,20.489,99303.164
1573070108766,2019-11-06T14:55:08.766,20.625,99297.484
1573070108902,2019-11-06T14:55:08.902,20.761,99297.094
1573070109037,2019-11-06T14:55:09.037,20.896,99297.930
1573070109173,2019-11-06T14:55:09.173,21.032,99303.641
1573070109309,2019-11-06T14:55:09.309,21.168,99297.578
1573070109444,2019-11-06T14:55:09.444,21.303,99296.266
1573070109580,2019-11-06T14:55:09.580,21.439,99296.625
1573070109715,2019-11-06T14:55:09.715,21.574,99296.625
1573070109851,2019-11-06T14:55:09.851,21.710,99296.625
1573070109988,2019-11-06T14:55:09.988,21.847,99294.125
1573070110122,2019-11-06T14:55:10.122,21.981,99290.563
1573070110259,2019-11-06T14:55:10.259,22.118,99294.125
1573070110395,2019-11-06T14:55:10.395,22.254,99292.344
1573070110530,2019-11-06T14:55:10.530,22.389,99296.266
1573070110666,2019-11-06T14:55:10.666,22.525,99295.789
1573070110802,2019-11-06T14:55:10.802,22.661,99297.578
1573070110937,2019-11-06T14:55:10.937,22.796,99292.813
1573070111073,2019-11-06T14:55:11.073,22.932,99297.578
1573070111208,2019-11-06T14:55:11.208,23.067,99295.438
1573070111344,2019-11-06T14:55:11.344,23.203,99297.094
1573070111480,2019-11-06T14:55:11.480,23.339,99295.313
1573070111615,2019-11-06T14:55:11.615,23.474,99298.047
1573070111751,2019-11-06T14:55:11.751,23.610,99296.266
1573070111888,2019-11-06T14:55:11.888,23.747,99299.359
1573070112022,2019-11-06T14:55:12.022,23.881,99290.203
1573070112159,2019-11-06T14:55:12.159,24.018,99293.734
1573070112293,2019-11-06T14:55:12.293,24.152,99296.344
1573070112429,2019-11-06T14:55:12.429,24.288,99300.188
1573070112566,2019-11-06T14:55:12.566,24.425,99298.047
1573070112700,2019-11-06T14:55:12.700,24.559,99297.578
1573070112837,2019-11-06T14:55:12.837,24.696,99295.047
1573070112973,2019-11-06T14:55:12.973,24.832,99294.125
1573070113108,2019-11-06T14:55:13.108,24.967,99293.266
1573070113244,2019-11-06T14:55:13.244,25.103,99303.281
1573070113379,2019-11-06T14:55:13.379,25.238,99299.797
1573070113515,2019-11-06T14:55:13.515,25.374,99299.797
1573070113651,2019-11-06T14:55:13.651,25.510,99297.266
1573070113786,2019-11-06T14:55:13.786,25.645,99297.656
1573070113922,2019-11-06T14:55:13.922,25.781,99299.438
1573070114058,2019-11-06T14:55:14.058,25.917,99295.961
1573070114193,2019-11-06T14:55:14.193,26.052,99298.969
1573070114329,2019-11-06T14:55:14.329,26.188,99299.797
1573070114466,2019-11-06T14:55:14.466,26.325,99294.563
1573070114600,2019-11-06T14:55:14.600,26.459,99302.422
1573070114737,2019-11-06T14:55:14.737,26.596,99295.875
1573070114873,2019-11-06T14:55:14.873,26.732,99297.656
1573070115009,2019-11-06T14:55:15.009,26.868,99297.266
1573070115144,2019-11-06T14:55:15.144,27.003,99303.359
1573070115280,2019-11-06T14:55:15.280,27.139,99295.961
1573070115415,2019-11-06T14:55:15.415,27.274,99296.828
1573070115551,2019-11-06T14:55:15.551,27.410,99301.188
1573070115686,2019-11-06T14:55:15.686,27.545,99300.281
1573070115822,2019-11-06T14:55:15.822,27.681,99300.359
1573070115958,2019-11-06T14:55:15.958,27.817,99296.438
