epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1572982085218,2019-11-05T14:28:05.218,0.000,0.000051688,-0.000037938,-0.000082750
1572982085268,2019-11-05T14:28:05.268,0.050,0.000050562,-0.000036500,-0.000082000
1572982085318,2019-11-05T14:28:05.318,0.100,0.000050188,-0.000036125,-0.000080187
1572982085368,2019-11-05T14:28:05.368,0.150,0.000050188,-0.000035063,-0.000079750
1572982085418,2019-11-05T14:28:05.418,0.200,0.000049500,-0.000033563,-0.000078250
1572982085468,2019-11-05T14:28:05.468,0.250,0.000049125,-0.000033250,-0.000077187
1572982085518,2019-11-05T14:28:05.518,0.300,0.000049500,-0.000033250,-0.000076813
1572982085568,2019-11-05T14:28:05.568,0.350,0.000048750,-0.000033563,-0.000077937
1572982085618,2019-11-05T14:28:05.618,0.400,0.000049875,-0.000033938,-0.000078625
1572982085668,2019-11-05T14:28:05.668,0.450,0.000050188,-0.000035063,-0.000079438
1572982085718,2019-11-05T14:28:05.718,0.500,0.000050188,-0.000035375,-0.000078688
1572982085768,2019-11-05T14:28:05.768,0.550,0.000049125,-0.000035063,-0.000077937
1572982085818,2019-11-05T14:28:05.818,0.600,0.000050562,-0.000032875,-0.000077937
1572982085868,2019-11-05T14:28:05.868,0.650,0.000049500,-0.000033938,-0.000078688
1572982085918,2019-11-05T14:28:05.918,0.700,0.000049125,-0.000033938,-0.000079062
1572982085968,2019-11-05T14:28:05.968,0.750,0.000048750,-0.000035375,-0.000079438
1572982086018,2019-11-05T14:28:06.018,0.800,0.000049500,-0.000035375,-0.000079062
1572982086068,2019-11-05T14:28:06.068,0.850,0.000048750,-0.000035063,-0.000079438
1572982086118,2019-11-05T14:28:06.118,0.900,0.000048750,-0.000034687,-0.000078688
1572982086168,2019-11-05T14:28:06.168,0.950,0.000048750,-0.000035063,-0.000079062
1572982086218,2019-11-05T14:28:06.218,1.000,0.000048750,-0.000036125,-0.000079875
1572982086268,2019-11-05T14:28:06.268,1.050,0.000048438,-0.000034687,-0.000078688
1572982086318,2019-11-05T14:28:06.318,1.100,0.000049125,-0.000034687,-0.000080187
1572982086368,2019-11-05T14:28:06.368,1.150,0.000048750,-0.000035063,-0.000079438
1572982086418,2019-11-05T14:28:06.418,1.200,0.000048750,-0.000035063,-0.000079875
1572982086468,2019-11-05T14:28:06.468,1.250,0.000049500,-0.000036125,-0.000081000
1572982086518,2019-11-05T14:28:06.518,1.300,0.000049125,-0.000036125,-0.000082125
1572982086568,2019-11-05T14:28:06.568,1.350,0.000049500,-0.000036813,-0.000081688
1572982086618,2019-11-05T14:28:06.618,1.400,0.000049125,-0.000037187,-0.000080187
1572982086668,2019-11-05T14:28:06.668,1.450,0.000049125,-0.000036500,-0.000080937
1572982086718,2019-11-05T14:28:06.718,1.500,0.000049125,-0.000036125,-0.000081000
1572982086768,2019-11-05T14:28:06.768,1.550,0.000049500,-0.000035375,-0.000081375
1572982086818,2019-11-05T14:28:06.818,1.600,0.000048750,-0.000036813,-0.000081000
1572982086868,2019-11-05T14:28:06.868,1.650,0.000048750,-0.000035750,-0.000081688
1572982086918,2019-11-05T14:28:06.918,1.700,0.000049125,-0.000035750,-0.000080563
1572982086968,2019-11-05T14:28:06.968,1.750,0.000048438,-0.000036813,-0.000081750
1572982087018,2019-11-05T14:28:07.018,1.800,0.000048438,-0.000035375,-0.000082500
1572982087068,2019-11-05T14:28:07.068,1.850,0.000049125,-0.000036500,-0.000081375
1572982087118,2019-11-05T14:28:07.118,1.900,0.000048750,-0.000036813,-0.000080187
1572982087168,2019-11-05T14:28:07.168,1.950,0.000048438,-0.000036500,-0.000082125
1572982087218,2019-11-05T14:28:07.218,2.000,0.000048750,-0.000035375,-0.000081000
1572982087268,2019-11-05T14:28:07.268,2.050,0.000048062,-0.000036500,-0.000081000
1572982087318,2019-11-05T14:28:07.318,2.100,0.000048438,-0.000036125,-0.000080625
1572982087368,2019-11-05T14:28:07.368,2.150,0.000047313,-0.000037187,-0.000080563
1572982087418,2019-11-05T14:28:07.418,2.200,0.000047313,-0.000036500,-0.000081375
1572982087468,2019-11-05T14:28:07.468,2.250,0.000046250,-0.000036125,-0.000081000
1572982087518,2019-11-05T14:28:07.518,2.300,0.000046250,-0.000037562,-0.000079500
1572982087568,2019-11-05T14:28:07.568,2.350,0.000046250,-0.000036500,-0.000080250
1572982087618,2019-11-05T14:28:07.618,2.400,0.000046625,-0.000036500,-0.000080625
1572982087668,2019-11-05T14:28:07.668,2.450,0.000045187,-0.000037562,-0.000080250
1572982087718,2019-11-05T14:28:07.718,2.500,0.000045187,-0.000036875,-0.000078750
1572982087768,2019-11-05T14:28:07.768,2.550,0.000044438,-0.000037187,-0.000079875
1572982087818,2019-11-05T14:28:07.818,2.600,0.000043375,-0.000036875,-0.000078750
1572982087868,2019-11-05T14:28:07.868,2.650,0.000043000,-0.000036813,-0.000077563
1572982087918,2019-11-05T14:28:07.918,2.700,0.000043000,-0.000036875,-0.000078750
1572982087968,2019-11-05T14:28:07.968,2.750,0.000044063,-0.000037938,-0.000079438
1572982088018,2019-11-05T14:28:08.018,2.800,0.000043688,-0.000036500,-0.000078750
1572982088068,2019-11-05T14:28:08.068,2.850,0.000044438,-0.000036875,-0.000079125
1572982088118,2019-11-05T14:28:08.118,2.900,0.000043688,-0.000036875,-0.000078375
1572982088168,2019-11-05T14:28:08.168,2.950,0.000043375,-0.000037187,-0.000078750
1572982088218,2019-11-05T14:28:08.218,3.000,0.000043688,-0.000036813,-0.000079500
1572982088268,2019-11-05T14:28:08.268,3.050,0.000042250,-0.000036875,-0.000078000
1572982088318,2019-11-05T14:28:08.318,3.100,0.000041875,-0.000036813,-0.000078375
1572982088368,2019-11-05T14:28:08.368,3.150,0.000043000,-0.000036500,-0.000077563
1572982088418,2019-11-05T14:28:08.418,3.200,0.000043000,-0.000037938,-0.000078375
1572982088468,2019-11-05T14:28:08.468,3.250,0.000042625,-0.000037562,-0.000076875
1572982088518,2019-11-05T14:28:08.518,3.300,0.000041875,-0.000036500,-0.000079125
1572982088568,2019-11-05T14:28:08.568,3.350,0.000043000,-0.000037187,-0.000077563
1572982088618,2019-11-05T14:28:08.618,3.400,0.000043000,-0.000037187,-0.000078375
1572982088668,2019-11-05T14:28:08.668,3.450,0.000044438,-0.000038625,-0.000078750
1572982088718,2019-11-05T14:28:08.718,3.500,0.000043375,-0.000037562,-0.000079500
1572982088768,2019-11-05T14:28:08.768,3.550,0.000043375,-0.000036500,-0.000079500
1572982088818,2019-11-05T14:28:08.818,3.600,0.000043000,-0.000037562,-0.000079125
1572982088868,2019-11-05T14:28:08.868,3.650,0.000043688,-0.000036875,-0.000079125
