epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1574118002301,2019-11-18T18:00:02.301,0.000,-0.000004375,0.000043375,0.000019500
1574118002351,2019-11-18T18:00:02.351,0.050,-0.000005438,0.000042312,0.000019500
1574118002401,2019-11-18T18:00:02.401,0.100,-0.000005813,0.000041562,0.000018000
1574118002451,2019-11-18T18:00:02.451,0.150,-0.000005438,0.000041250,0.000018750
1574118002501,2019-11-18T18:00:02.501,0.200,-0.000006562,0.000041250,0.000018750
1574118002551,2019-11-18T18:00:02.551,0.250,-0.000005813,0.000041625,0.000018750
1574118002601,2019-11-18T18:00:02.601,0.300,-0.000006187,0.000041937,0.000018750
1574118002651,2019-11-18T18:00:02.651,0.350,-0.000006187,0.000041562,0.000018750
1574118002701,2019-11-18T18:00:02.701,0.400,-0.000006187,0.000042688,0.000018375
1574118002751,2019-11-18T18:00:02.751,0.450,-0.000005438,0.000043063,0.000018000
1574118002801,2019-11-18T18:00:02.801,0.500,-0.000004375,0.000045187,0.000018375
1574118002851,2019-11-18T18:00:02.851,0.550,-0.000003312,0.000047000,0.000017625
1574118002901,2019-11-18T18:00:02.901,0.600,-0.000003312,0.000046312,0.000017625
1574118002951,2019-11-18T18:00:02.951,0.650,-0.000004750,0.000047375,0.000016500
1574118003001,2019-11-18T18:00:03.001,0.700,-0.000004750,0.000045563,0.000016500
1574118003051,2019-11-18T18:00:03.051,0.750,-0.000004750,0.000044125,0.000017625
1574118003101,2019-11-18T18:00:03.101,0.800,-0.000005438,0.000043063,0.000015000
1574118003151,2019-11-18T18:00:03.151,0.850,-0.000007250,0.000042312,0.000016125
1574118003201,2019-11-18T18:00:03.201,0.900,-0.000007250,0.000042688,0.000016500
1574118003251,2019-11-18T18:00:03.251,0.950,-0.000005438,0.000044875,0.000014250
1574118003301,2019-11-18T18:00:03.301,1.000,-0.000005438,0.000044125,0.000014625
1574118003351,2019-11-18T18:00:03.351,1.050,-0.000006187,0.000045187,0.000015750
1574118003401,2019-11-18T18:00:03.401,1.100,-0.000006562,0.000045938,0.000015375
1574118003451,2019-11-18T18:00:03.451,1.150,-0.000005062,0.000047000,0.000014250
1574118003501,2019-11-18T18:00:03.501,1.200,-0.000004375,0.000047375,0.000015000
1574118003551,2019-11-18T18:00:03.551,1.250,-0.000003625,0.000048813,0.000014625
1574118003601,2019-11-18T18:00:03.601,1.300,-0.000003312,0.000047750,0.000015750
1574118003651,2019-11-18T18:00:03.651,1.350,-0.000002938,0.000048438,0.000015000
1574118003701,2019-11-18T18:00:03.701,1.400,-0.000004000,0.000048438,0.000013500
1574118003751,2019-11-18T18:00:03.751,1.450,-0.000005062,0.000047375,0.000012375
1574118003801,2019-11-18T18:00:03.801,1.500,-0.000006187,0.000044875,0.000014250
1574118003851,2019-11-18T18:00:03.851,1.550,-0.000006875,0.000044125,0.000013125
1574118003901,2019-11-18T18:00:03.901,1.600,-0.000005438,0.000044875,0.000013875
1574118003951,2019-11-18T18:00:03.951,1.650,-0.000004000,0.000046312,0.000016500
1574118004001,2019-11-18T18:00:04.001,1.700,-0.000001125,0.000049187,0.000016875
1574118004051,2019-11-18T18:00:04.051,1.750,0.000000312,0.000052437,0.000016500
1574118004101,2019-11-18T18:00:04.101,1.800,0.000000688,0.000053500,0.000015000
1574118004151,2019-11-18T18:00:04.151,1.850,0.000000688,0.000053500,0.000016500
1574118004201,2019-11-18T18:00:04.201,1.900,0.000000000,0.000053188,0.000016125
1574118004251,2019-11-18T18:00:04.251,1.950,-0.000001500,0.000052062,0.000015375
1574118004301,2019-11-18T18:00:04.301,2.000,0.000000000,0.000051750,0.000015750
1574118004351,2019-11-18T18:00:04.351,2.050,0.000000000,0.000052437,0.000015375
1574118004401,2019-11-18T18:00:04.401,2.100,0.000001063,0.000054625,0.000015750
1574118004451,2019-11-18T18:00:04.451,2.150,0.000001750,0.000056063,0.000016500
1574118004501,2019-11-18T18:00:04.501,2.200,0.000005375,0.000057125,0.000016875
1574118004551,2019-11-18T18:00:04.551,2.250,0.000005375,0.000058938,0.000016500
1574118004601,2019-11-18T18:00:04.601,2.300,0.000005000,0.000059313,0.000016125
1574118004651,2019-11-18T18:00:04.651,2.350,0.000006813,0.000060375,0.000015000
1574118004701,2019-11-18T18:00:04.701,2.400,0.000006500,0.000059687,0.000014625
1574118004751,2019-11-18T18:00:04.751,2.450,0.000006500,0.000061125,0.000015000
1574118004801,2019-11-18T18:00:04.801,2.500,0.000009000,0.000063313,0.000013875
1574118004851,2019-11-18T18:00:04.851,2.550,0.000010812,0.000064750,0.000013875
1574118004901,2019-11-18T18:00:04.901,2.600,0.000011562,0.000064000,0.000014625
1574118004951,2019-11-18T18:00:04.951,2.650,0.000014062,0.000065812,0.000014625
1574118005001,2019-11-18T18:00:05.001,2.700,0.000014062,0.000067250,0.000016125
1574118005051,2019-11-18T18:00:05.051,2.750,0.000015125,0.000066562,0.000018062
1574118005101,2019-11-18T18:00:05.101,2.800,0.000013313,0.000064000,0.000017625
1574118005151,2019-11-18T18:00:05.151,2.850,0.000011562,0.000062563,0.000018812
1574118005201,2019-11-18T18:00:05.201,2.900,0.000009000,0.000062188,0.000017625
1574118005251,2019-11-18T18:00:05.251,2.950,0.000011187,0.000062188,0.000016875
1574118005301,2019-11-18T18:00:05.301,3.000,0.000010812,0.000062563,0.000016125
1574118005351,2019-11-18T18:00:05.351,3.050,0.000010812,0.000060375,0.000017625
1574118005401,2019-11-18T18:00:05.401,3.100,0.000010063,0.000061500,0.000018000
1574118005451,2019-11-18T18:00:05.451,3.150,0.000012625,0.000060062,0.000018812
1574118005501,2019-11-18T18:00:05.501,3.200,0.000012250,0.000060062,0.000018812
1574118005551,2019-11-18T18:00:05.551,3.250,0.000012250,0.000060750,0.000020687
1574118005601,2019-11-18T18:00:05.601,3.300,0.000011875,0.000058562,0.000017625
1574118005651,2019-11-18T18:00:05.651,3.350,0.000011187,0.000059687,0.000017625
1574118005701,2019-11-18T18:00:05.701,3.400,0.000011875,0.000060000,0.000016875
1574118005751,2019-11-18T18:00:05.751,3.450,0.000012625,0.000060375,0.000018812
1574118005801,2019-11-18T18:00:05.801,3.500,0.000013687,0.000060750,0.000017625
1574118005851,2019-11-18T18:00:05.851,3.550,0.000014062,0.000061500,0.000018000
1574118005901,2019-11-18T18:00:05.901,3.600,0.000018062,0.000063313,0.000017625
1574118005951,2019-11-18T18:00:05.951,3.650,0.000021313,0.000064000,0.000019188
1574118006001,2019-11-18T18:00:06.001,3.700,0.000022750,0.000065063,0.000018000
1574118006051,2019-11-18T18:00:06.051,3.750,0.000022375,0.000063625,0.000018062
1574118006101,2019-11-18T18:00:06.101,3.800,0.000022000,0.000062937,0.000017625
1574118006151,2019-11-18T18:00:06.151,3.850,0.000022375,0.000064750,0.000016500
1574118006201,2019-11-18T18:00:06.201,3.900,0.000023812,0.000065812,0.000016500
1574118006251,2019-11-18T18:00:06.251,3.950,0.000026000,0.000067250,0.000015000
1574118006301,2019-11-18T18:00:06.301,4.000,0.000030312,0.000068000,0.000013875
1574118006351,2019-11-18T18:00:06.351,4.050,0.000033250,0.000068375,0.000013500
1574118006401,2019-11-18T18:00:06.401,4.100,0.000034687,0.000069437,0.000013875
1574118006451,2019-11-18T18:00:06.451,4.150,0.000034312,0.000069813,0.000012375
1574118006501,2019-11-18T18:00:06.501,4.200,0.000035000,0.000070125,0.000012375
1574118006551,2019-11-18T18:00:06.551,4.250,0.000036813,0.000069813,0.000012375
1574118006601,2019-11-18T18:00:06.601,4.300,0.000037562,0.000071625,0.000012000
1574118006651,2019-11-18T18:00:06.651,4.350,0.000039750,0.000071250,0.000007875
1574118006701,2019-11-18T18:00:06.701,4.400,0.000040813,0.000071938,0.000005625
1574118006751,2019-11-18T18:00:06.751,4.450,0.000044438,0.000073375,0.000003750
1574118006801,2019-11-18T18:00:06.801,4.500,0.000045500,0.000073063,0.000001125
1574118006851,2019-11-18T18:00:06.851,4.550,0.000044438,0.000072688,-0.000000375
1574118006901,2019-11-18T18:00:06.901,4.600,0.000041875,0.000072688,-0.000001125
1574118006951,2019-11-18T18:00:06.951,4.650,0.000041188,0.000071250,-0.000002250
1574118007001,2019-11-18T18:00:07.001,4.700,0.000041188,0.000072312,-0.000005625
1574118007051,2019-11-18T18:00:07.051,4.750,0.000040813,0.000071250,-0.000007125
1574118007101,2019-11-18T18:00:07.101,4.800,0.000041562,0.000071250,-0.000007875
1574118007151,2019-11-18T18:00:07.151,4.850,0.000041875,0.000070125,-0.000008250
1574118007201,2019-11-18T18:00:07.201,4.900,0.000043312,0.000070875,-0.000010125
1574118007251,2019-11-18T18:00:07.251,4.950,0.000044063,0.000069813,-0.000010500
1574118007301,2019-11-18T18:00:07.301,5.000,0.000042625,0.000070125,-0.000011250
1574118007351,2019-11-18T18:00:07.351,5.050,0.000040062,0.000069063,-0.000013500
1574118007401,2019-11-18T18:00:07.401,5.100,0.000039375,0.000068000,-0.000013875
1574118007451,2019-11-18T18:00:07.451,5.150,0.000040062,0.000068000,-0.000015375
