epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1574112082426,2019-11-18T16:21:22.426,0.000,97527.445
1574112082562,2019-11-18T16:21:22.562,0.136,97523.531
1574112082698,2019-11-18T16:21:22.698,0.272,97518.797
1574112082833,2019-11-18T16:21:22.833,0.407,97522.227
1574112082969,2019-11-18T16:21:22.969,0.543,97523.047
1574112083106,2019-11-18T16:21:23.106,0.680,97515.703
1574112083240,2019-11-18T16:21:23.240,0.814,97520.797
1574112083377,2019-11-18T16:21:23.377,0.951,97521.734
1574112083513,2019-11-18T16:21:23.513,1.087,97523.047
1574112083648,2019-11-18T16:21:23.648,1.222,97520.922
1574112083784,2019-11-18T16:21:23.784,1.358,97520.102
1574112083919,2019-11-18T16:21:23.919,1.493,97518.641
1574112084055,2019-11-18T16:21:24.055,1.629,97526.016
1574112084191,2019-11-18T16:21:24.191,1.765,97521.734
1574112084326,2019-11-18T16:21:24.326,1.900,97523.859
1574112084462,2019-11-18T16:21:24.462,2.036,97524.344
1574112084598,2019-11-18T16:21:24.598,2.172,97520.922
1574112084733,2019-11-18T16:21:24.733,2.307,97517.828
1574112084869,2019-11-18T16:21:24.869,2.443,97519.945
1574112085005,2019-11-18T16:21:25.005,2.579,97519.125
1574112085140,2019-11-18T16:21:25.140,2.714,97523.047
1574112085276,2019-11-18T16:21:25.276,2.850,97520.438
1574112085411,2019-11-18T16:21:25.411,2.985,97528.625
1574112085547,2019-11-18T16:21:25.547,3.121,97522.555
1574112085684,2019-11-18T16:21:25.684,3.258,97520.922
1574112085818,2019-11-18T16:21:25.818,3.392,97526.469
1574112085955,2019-11-18T16:21:25.955,3.529,97523.047
1574112086091,2019-11-18T16:21:26.091,3.665,97521.734
1574112086226,2019-11-18T16:21:26.226,3.800,97526.469
1574112086362,2019-11-18T16:21:26.362,3.936,97523.047
1574112086497,2019-11-18T16:21:26.497,4.071,97522.555
1574112086633,2019-11-18T16:21:26.633,4.207,97517.336
1574112086769,2019-11-18T16:21:26.769,4.343,97517.000
1574112086904,2019-11-18T16:21:26.904,4.478,97520.922
1574112087040,2019-11-18T16:21:27.040,4.614,97516.516
1574112087176,2019-11-18T16:21:27.176,4.750,97521.250
1574112087311,2019-11-18T16:21:27.311,4.885,97525.656
1574112087447,2019-11-18T16:21:27.447,5.021,97531.234
1574112087584,2019-11-18T16:21:27.584,5.158,97525.656
1574112087718,2019-11-18T16:21:27.718,5.292,97524.344
1574112087855,2019-11-18T16:21:27.855,5.429,97526.016
1574112087989,2019-11-18T16:21:27.989,5.563,97517.828
1574112088126,2019-11-18T16:21:28.126,5.700,97520.438
1574112088262,2019-11-18T16:21:28.262,5.836,97525.320
1574112088398,2019-11-18T16:21:28.398,5.972,97520.438
1574112088533,2019-11-18T16:21:28.533,6.107,97521.250
1574112088669,2019-11-18T16:21:28.669,6.243,97522.102
1574112088804,2019-11-18T16:21:28.804,6.378,97521.250
1574112088940,2019-11-18T16:21:28.940,6.514,97520.438
1574112089076,2019-11-18T16:21:29.076,6.650,97517.828
1574112089211,2019-11-18T16:21:29.211,6.785,97519.609
1574112089347,2019-11-18T16:21:29.347,6.921,97517.828
1574112089483,2019-11-18T16:21:29.483,7.057,97524.344
1574112089618,2019-11-18T16:21:29.618,7.192,97525.172
1574112089754,2019-11-18T16:21:29.754,7.328,97516.516
1574112089889,2019-11-18T16:21:29.889,7.463,97523.047
1574112090025,2019-11-18T16:21:30.025,7.599,97526.016
1574112090162,2019-11-18T16:21:30.162,7.736,97524.344
1574112090296,2019-11-18T16:21:30.296,7.870,97523.859
1574112090433,2019-11-18T16:21:30.433,8.007,97516.516
1574112090569,2019-11-18T16:21:30.569,8.143,97522.102
1574112090704,2019-11-18T16:21:30.704,8.278,97518.313
1574112090840,2019-11-18T16:21:30.840,8.414,97523.406
1574112090975,2019-11-18T16:21:30.975,8.549,97519.945
1574112091111,2019-11-18T16:21:31.111,8.685,97521.734
1574112091247,2019-11-18T16:21:31.247,8.821,97522.102
1574112091382,2019-11-18T16:21:31.382,8.956,97517.828
1574112091518,2019-11-18T16:21:31.518,9.092,97517.828
1574112091654,2019-11-18T16:21:31.654,9.228,97513.906
1574112091789,2019-11-18T16:21:31.789,9.363,97516.516
1574112091925,2019-11-18T16:21:31.925,9.499,97519.125
1574112092062,2019-11-18T16:21:32.062,9.636,97516.188
1574112092196,2019-11-18T16:21:32.196,9.770,97522.227
1574112092333,2019-11-18T16:21:32.333,9.907,97518.313
1574112092467,2019-11-18T16:21:32.467,10.041,97519.125
1574112092604,2019-11-18T16:21:32.604,10.178,97518.313
1574112092740,2019-11-18T16:21:32.740,10.314,97521.734
1574112092875,2019-11-18T16:21:32.875,10.449,97524.344
1574112093011,2019-11-18T16:21:33.011,10.585,97522.555
1574112093147,2019-11-18T16:21:33.147,10.721,97520.797
1574112093282,2019-11-18T16:21:33.282,10.856,97519.945
1574112093418,2019-11-18T16:21:33.418,10.992,97524.344
1574112093554,2019-11-18T16:21:33.554,11.128,97522.555
1574112093689,2019-11-18T16:21:33.689,11.263,97522.555
1574112093825,2019-11-18T16:21:33.825,11.399,97525.656
1574112093960,2019-11-18T16:21:33.960,11.534,97523.406
1574112094096,2019-11-18T16:21:34.096,11.670,97523.047
