epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574114026530,2019-11-18T16:53:46.530,0.000,0.718,-0.643,-0.164
1574114026540,2019-11-18T16:53:46.540,0.010,0.730,-0.656,-0.160
1574114026550,2019-11-18T16:53:46.550,0.020,0.732,-0.662,-0.157
1574114026560,2019-11-18T16:53:46.560,0.030,0.730,-0.660,-0.144
1574114026570,2019-11-18T16:53:46.570,0.040,0.729,-0.652,-0.141
1574114026580,2019-11-18T16:53:46.580,0.050,0.731,-0.648,-0.137
1574114026590,2019-11-18T16:53:46.590,0.060,0.736,-0.641,-0.133
1574114026600,2019-11-18T16:53:46.600,0.070,0.741,-0.629,-0.132
1574114026610,2019-11-18T16:53:46.610,0.080,0.747,-0.622,-0.130
1574114026620,2019-11-18T16:53:46.620,0.090,0.758,-0.624,-0.129
1574114026630,2019-11-18T16:53:46.630,0.100,0.762,-0.627,-0.132
1574114026640,2019-11-18T16:53:46.640,0.110,0.755,-0.635,-0.134
1574114026650,2019-11-18T16:53:46.650,0.120,0.752,-0.641,-0.135
1574114026660,2019-11-18T16:53:46.660,0.130,0.754,-0.643,-0.137
1574114026670,2019-11-18T16:53:46.670,0.140,0.750,-0.648,-0.139
1574114026680,2019-11-18T16:53:46.680,0.150,0.748,-0.650,-0.141
1574114026690,2019-11-18T16:53:46.690,0.160,0.752,-0.641,-0.137
1574114026700,2019-11-18T16:53:46.700,0.170,0.756,-0.633,-0.132
1574114026710,2019-11-18T16:53:46.710,0.180,0.764,-0.637,-0.127
1574114026720,2019-11-18T16:53:46.720,0.190,0.771,-0.638,-0.124
1574114026730,2019-11-18T16:53:46.730,0.200,0.775,-0.633,-0.123
1574114026740,2019-11-18T16:53:46.740,0.210,0.778,-0.631,-0.115
1574114026750,2019-11-18T16:53:46.750,0.220,0.781,-0.633,-0.110
1574114026760,2019-11-18T16:53:46.760,0.230,0.786,-0.638,-0.107
1574114026770,2019-11-18T16:53:46.770,0.240,0.794,-0.635,-0.105
1574114026780,2019-11-18T16:53:46.780,0.250,0.800,-0.625,-0.101
1574114026790,2019-11-18T16:53:46.790,0.260,0.808,-0.625,-0.095
1574114026800,2019-11-18T16:53:46.800,0.270,0.807,-0.630,-0.099
1574114026810,2019-11-18T16:53:46.810,0.280,0.801,-0.635,-0.098
1574114026820,2019-11-18T16:53:46.820,0.290,0.801,-0.628,-0.098
1574114026830,2019-11-18T16:53:46.830,0.300,0.800,-0.623,-0.104
1574114026840,2019-11-18T16:53:46.840,0.310,0.795,-0.624,-0.105
1574114026850,2019-11-18T16:53:46.850,0.320,0.787,-0.627,-0.106
1574114026860,2019-11-18T16:53:46.860,0.330,0.781,-0.622,-0.109
1574114026870,2019-11-18T16:53:46.870,0.340,0.773,-0.618,-0.112
1574114026880,2019-11-18T16:53:46.880,0.350,0.771,-0.619,-0.114
1574114026890,2019-11-18T16:53:46.890,0.360,0.771,-0.619,-0.116
1574114026900,2019-11-18T16:53:46.900,0.370,0.774,-0.621,-0.119
1574114026910,2019-11-18T16:53:46.910,0.380,0.772,-0.627,-0.120
1574114026920,2019-11-18T16:53:46.920,0.390,0.771,-0.631,-0.120
1574114026930,2019-11-18T16:53:46.930,0.400,0.776,-0.632,-0.119
1574114026940,2019-11-18T16:53:46.940,0.410,0.771,-0.638,-0.117
1574114026950,2019-11-18T16:53:46.950,0.420,0.768,-0.643,-0.114
1574114026960,2019-11-18T16:53:46.960,0.430,0.772,-0.638,-0.112
1574114026970,2019-11-18T16:53:46.970,0.440,0.774,-0.641,-0.110
1574114026980,2019-11-18T16:53:46.980,0.450,0.775,-0.652,-0.110
1574114026990,2019-11-18T16:53:46.990,0.460,0.775,-0.645,-0.106
1574114027000,2019-11-18T16:53:47.000,0.470,0.772,-0.644,-0.103
1574114027010,2019-11-18T16:53:47.010,0.480,0.778,-0.652,-0.102
1574114027020,2019-11-18T16:53:47.020,0.490,0.776,-0.664,-0.105
1574114027030,2019-11-18T16:53:47.030,0.500,0.773,-0.669,-0.102
1574114027040,2019-11-18T16:53:47.040,0.510,0.770,-0.667,-0.096
1574114027050,2019-11-18T16:53:47.050,0.520,0.761,-0.662,-0.097
1574114027060,2019-11-18T16:53:47.060,0.530,0.756,-0.656,-0.097
1574114027070,2019-11-18T16:53:47.070,0.540,0.752,-0.651,-0.097
1574114027080,2019-11-18T16:53:47.080,0.550,0.753,-0.650,-0.097
1574114027090,2019-11-18T16:53:47.090,0.560,0.757,-0.651,-0.098
1574114027100,2019-11-18T16:53:47.100,0.570,0.754,-0.646,-0.095
1574114027110,2019-11-18T16:53:47.110,0.580,0.751,-0.640,-0.094
1574114027120,2019-11-18T16:53:47.120,0.590,0.756,-0.635,-0.088
1574114027130,2019-11-18T16:53:47.130,0.600,0.757,-0.636,-0.084
1574114027140,2019-11-18T16:53:47.140,0.610,0.752,-0.637,-0.082
1574114027150,2019-11-18T16:53:47.150,0.620,0.755,-0.635,-0.077
1574114027160,2019-11-18T16:53:47.160,0.630,0.771,-0.628,-0.073
1574114027170,2019-11-18T16:53:47.170,0.640,0.767,-0.626,-0.063
1574114027180,2019-11-18T16:53:47.180,0.650,0.767,-0.615,-0.054
1574114027190,2019-11-18T16:53:47.190,0.660,0.788,-0.607,-0.047
1574114027200,2019-11-18T16:53:47.200,0.670,0.791,-0.616,-0.041
1574114027210,2019-11-18T16:53:47.210,0.680,0.782,-0.633,-0.035
1574114027220,2019-11-18T16:53:47.220,0.690,0.787,-0.632,-0.035
1574114027230,2019-11-18T16:53:47.230,0.700,0.801,-0.619,-0.024
1574114027240,2019-11-18T16:53:47.240,0.710,0.817,-0.610,-0.017
1574114027250,2019-11-18T16:53:47.250,0.720,0.823,-0.618,-0.012
1574114027260,2019-11-18T16:53:47.260,0.730,0.822,-0.628,-0.012
1574114027270,2019-11-18T16:53:47.270,0.740,0.821,-0.635,-0.015
1574114027280,2019-11-18T16:53:47.280,0.750,0.819,-0.638,-0.019
1574114027290,2019-11-18T16:53:47.290,0.760,0.806,-0.640,-0.022
1574114027300,2019-11-18T16:53:47.300,0.770,0.787,-0.637,-0.030
1574114027310,2019-11-18T16:53:47.310,0.780,0.781,-0.630,-0.036
1574114027320,2019-11-18T16:53:47.320,0.790,0.776,-0.631,-0.041
1574114027330,2019-11-18T16:53:47.330,0.800,0.771,-0.628,-0.053
1574114027340,2019-11-18T16:53:47.340,0.810,0.767,-0.625,-0.053
1574114027350,2019-11-18T16:53:47.350,0.820,0.765,-0.627,-0.054
1574114027360,2019-11-18T16:53:47.360,0.830,0.757,-0.630,-0.059
1574114027370,2019-11-18T16:53:47.370,0.840,0.747,-0.636,-0.063
1574114027380,2019-11-18T16:53:47.380,0.850,0.745,-0.632,-0.068
1574114027390,2019-11-18T16:53:47.390,0.860,0.746,-0.633,-0.069
1574114027400,2019-11-18T16:53:47.400,0.870,0.747,-0.636,-0.070
1574114027410,2019-11-18T16:53:47.410,0.880,0.736,-0.637,-0.074
1574114027420,2019-11-18T16:53:47.420,0.890,0.730,-0.639,-0.079
1574114027430,2019-11-18T16:53:47.430,0.900,0.737,-0.638,-0.078
1574114027440,2019-11-18T16:53:47.440,0.910,0.741,-0.638,-0.076
1574114027450,2019-11-18T16:53:47.450,0.920,0.734,-0.640,-0.071
1574114027460,2019-11-18T16:53:47.460,0.930,0.743,-0.631,-0.067
1574114027470,2019-11-18T16:53:47.470,0.940,0.752,-0.625,-0.062
1574114027480,2019-11-18T16:53:47.480,0.950,0.752,-0.631,-0.057
1574114027490,2019-11-18T16:53:47.490,0.960,0.749,-0.633,-0.056
1574114027500,2019-11-18T16:53:47.500,0.970,0.752,-0.623,-0.053
1574114027510,2019-11-18T16:53:47.510,0.980,0.760,-0.620,-0.048
1574114027520,2019-11-18T16:53:47.520,0.990,0.767,-0.641,-0.051
1574114027530,2019-11-18T16:53:47.530,1.000,0.769,-0.648,-0.054
1574114027540,2019-11-18T16:53:47.540,1.010,0.767,-0.646,-0.056
1574114027550,2019-11-18T16:53:47.550,1.020,0.764,-0.669,-0.061
1574114027560,2019-11-18T16:53:47.560,1.030,0.772,-0.689,-0.064
1574114027570,2019-11-18T16:53:47.570,1.040,0.776,-0.689,-0.068
1574114027580,2019-11-18T16:53:47.580,1.050,0.775,-0.676,-0.068
1574114027590,2019-11-18T16:53:47.590,1.060,0.774,-0.672,-0.071
1574114027600,2019-11-18T16:53:47.600,1.070,0.768,-0.663,-0.071
1574114027610,2019-11-18T16:53:47.610,1.080,0.772,-0.638,-0.072
1574114027620,2019-11-18T16:53:47.620,1.090,0.772,-0.634,-0.076
1574114027630,2019-11-18T16:53:47.630,1.100,0.781,-0.661,-0.072
1574114027640,2019-11-18T16:53:47.640,1.110,0.791,-0.673,-0.076
1574114027650,2019-11-18T16:53:47.650,1.120,0.793,-0.654,-0.073
1574114027660,2019-11-18T16:53:47.660,1.130,0.792,-0.629,-0.073
1574114027670,2019-11-18T16:53:47.670,1.140,0.789,-0.618,-0.070
1574114027680,2019-11-18T16:53:47.680,1.150,0.783,-0.618,-0.068
1574114027690,2019-11-18T16:53:47.690,1.160,0.780,-0.609,-0.069
1574114027700,2019-11-18T16:53:47.700,1.170,0.779,-0.604,-0.066
1574114027710,2019-11-18T16:53:47.710,1.180,0.783,-0.613,-0.063
1574114027720,2019-11-18T16:53:47.720,1.190,0.791,-0.620,-0.065
1574114027730,2019-11-18T16:53:47.730,1.200,0.801,-0.610,-0.065
1574114027740,2019-11-18T16:53:47.740,1.210,0.812,-0.593,-0.061
1574114027750,2019-11-18T16:53:47.750,1.220,0.813,-0.586,-0.058
1574114027760,2019-11-18T16:53:47.760,1.230,0.822,-0.583,-0.052
1574114027770,2019-11-18T16:53:47.770,1.240,0.827,-0.586,-0.047
1574114027780,2019-11-18T16:53:47.780,1.250,0.828,-0.600,-0.049
1574114027790,2019-11-18T16:53:47.790,1.260,0.834,-0.593,-0.049
1574114027800,2019-11-18T16:53:47.800,1.270,0.836,-0.580,-0.048
1574114027810,2019-11-18T16:53:47.810,1.280,0.834,-0.576,-0.047
1574114027820,2019-11-18T16:53:47.820,1.290,0.841,-0.574,-0.048
1574114027830,2019-11-18T16:53:47.830,1.300,0.845,-0.572,-0.049
1574114027840,2019-11-18T16:53:47.840,1.310,0.846,-0.579,-0.051
1574114027850,2019-11-18T16:53:47.850,1.320,0.851,-0.579,-0.055
1574114027860,2019-11-18T16:53:47.860,1.330,0.852,-0.577,-0.054
1574114027870,2019-11-18T16:53:47.870,1.340,0.851,-0.591,-0.057
1574114027880,2019-11-18T16:53:47.880,1.350,0.851,-0.587,-0.055
1574114027890,2019-11-18T16:53:47.890,1.360,0.854,-0.575,-0.049
1574114027900,2019-11-18T16:53:47.900,1.370,0.852,-0.571,-0.044
1574114027910,2019-11-18T16:53:47.910,1.380,0.855,-0.566,-0.042
1574114027920,2019-11-18T16:53:47.920,1.390,0.861,-0.564,-0.037
1574114027930,2019-11-18T16:53:47.930,1.400,0.863,-0.578,-0.037
1574114027940,2019-11-18T16:53:47.940,1.410,0.865,-0.588,-0.034
1574114027950,2019-11-18T16:53:47.950,1.420,0.861,-0.584,-0.033
1574114027960,2019-11-18T16:53:47.960,1.430,0.854,-0.585,-0.031
1574114027970,2019-11-18T16:53:47.970,1.440,0.850,-0.596,-0.030
1574114027980,2019-11-18T16:53:47.980,1.450,0.844,-0.590,-0.029
1574114027990,2019-11-18T16:53:47.990,1.460,0.832,-0.578,-0.029
1574114028000,2019-11-18T16:53:48.000,1.470,0.822,-0.579,-0.026
1574114028010,2019-11-18T16:53:48.010,1.480,0.816,-0.580,-0.028
1574114028020,2019-11-18T16:53:48.020,1.490,0.811,-0.577,-0.028
1574114028030,2019-11-18T16:53:48.030,1.500,0.808,-0.571,-0.028
1574114028040,2019-11-18T16:53:48.040,1.510,0.806,-0.561,-0.027
1574114028050,2019-11-18T16:53:48.050,1.520,0.810,-0.556,-0.024
1574114028060,2019-11-18T16:53:48.060,1.530,0.818,-0.563,-0.023
1574114028070,2019-11-18T16:53:48.070,1.540,0.827,-0.563,-0.021
1574114028080,2019-11-18T16:53:48.080,1.550,0.831,-0.561,-0.016
1574114028090,2019-11-18T16:53:48.090,1.560,0.834,-0.582,-0.011
1574114028100,2019-11-18T16:53:48.100,1.570,0.839,-0.601,-0.013
1574114028110,2019-11-18T16:53:48.110,1.580,0.842,-0.599,-0.010
1574114028120,2019-11-18T16:53:48.120,1.590,0.843,-0.593,-0.007
1574114028130,2019-11-18T16:53:48.130,1.600,0.840,-0.596,-0.008
1574114028140,2019-11-18T16:53:48.140,1.610,0.842,-0.592,-0.010
1574114028150,2019-11-18T16:53:48.150,1.620,0.844,-0.582,-0.011
1574114028160,2019-11-18T16:53:48.160,1.630,0.843,-0.584,-0.010
1574114028170,2019-11-18T16:53:48.170,1.640,0.844,-0.601,-0.014
1574114028180,2019-11-18T16:53:48.180,1.650,0.838,-0.609,-0.017
1574114028190,2019-11-18T16:53:48.190,1.660,0.830,-0.604,-0.020
