epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574114580548,2019-11-18T17:03:00.548,0.000,0.930,-0.307,0.013
1574114580558,2019-11-18T17:03:00.558,0.010,0.938,-0.351,0.008
1574114580568,2019-11-18T17:03:00.568,0.020,0.929,-0.385,0.004
1574114580578,2019-11-18T17:03:00.578,0.030,0.918,-0.396,0.004
1574114580588,2019-11-18T17:03:00.588,0.040,0.897,-0.378,-0.005
1574114580598,2019-11-18T17:03:00.598,0.050,0.867,-0.340,-0.017
1574114580608,2019-11-18T17:03:00.608,0.060,0.839,-0.314,-0.015
1574114580618,2019-11-18T17:03:00.618,0.070,0.835,-0.308,-0.016
1574114580628,2019-11-18T17:03:00.628,0.080,0.856,-0.283,-0.013
1574114580638,2019-11-18T17:03:00.638,0.090,0.872,-0.257,-0.008
1574114580648,2019-11-18T17:03:00.648,0.100,0.877,-0.245,-0.006
1574114580658,2019-11-18T17:03:00.658,0.110,0.882,-0.245,-0.004
1574114580668,2019-11-18T17:03:00.668,0.120,0.888,-0.244,-0.008
1574114580678,2019-11-18T17:03:00.678,0.130,0.895,-0.236,-0.008
1574114580688,2019-11-18T17:03:00.688,0.140,0.910,-0.243,-0.011
1574114580698,2019-11-18T17:03:00.698,0.150,0.938,-0.288,-0.007
1574114580708,2019-11-18T17:03:00.708,0.160,0.973,-0.341,-0.007
1574114580718,2019-11-18T17:03:00.718,0.170,0.993,-0.344,-0.011
1574114580728,2019-11-18T17:03:00.728,0.180,0.989,-0.300,-0.010
1574114580738,2019-11-18T17:03:00.738,0.190,0.986,-0.271,-0.005
1574114580748,2019-11-18T17:03:00.748,0.200,1.000,-0.294,-0.002
1574114580758,2019-11-18T17:03:00.758,0.210,1.019,-0.326,-0.010
1574114580768,2019-11-18T17:03:00.768,0.220,1.021,-0.329,-0.017
1574114580778,2019-11-18T17:03:00.778,0.230,1.013,-0.326,-0.019
1574114580788,2019-11-18T17:03:00.788,0.240,1.011,-0.336,-0.025
1574114580798,2019-11-18T17:03:00.798,0.250,1.010,-0.364,-0.033
1574114580808,2019-11-18T17:03:00.808,0.260,1.004,-0.379,-0.043
1574114580818,2019-11-18T17:03:00.818,0.270,0.992,-0.373,-0.048
1574114580828,2019-11-18T17:03:00.828,0.280,0.979,-0.367,-0.057
1574114580838,2019-11-18T17:03:00.838,0.290,0.973,-0.385,-0.062
1574114580848,2019-11-18T17:03:00.848,0.300,0.963,-0.403,-0.061
1574114580858,2019-11-18T17:03:00.858,0.310,0.937,-0.395,-0.066
1574114580868,2019-11-18T17:03:00.868,0.320,0.905,-0.385,-0.064
1574114580878,2019-11-18T17:03:00.878,0.330,0.881,-0.401,-0.062
1574114580888,2019-11-18T17:03:00.888,0.340,0.867,-0.427,-0.068
1574114580898,2019-11-18T17:03:00.898,0.350,0.861,-0.448,-0.066
1574114580908,2019-11-18T17:03:00.908,0.360,0.857,-0.449,-0.069
1574114580918,2019-11-18T17:03:00.918,0.370,0.850,-0.425,-0.075
1574114580928,2019-11-18T17:03:00.928,0.380,0.849,-0.405,-0.079
1574114580938,2019-11-18T17:03:00.938,0.390,0.854,-0.412,-0.084
1574114580948,2019-11-18T17:03:00.948,0.400,0.863,-0.424,-0.088
1574114580958,2019-11-18T17:03:00.958,0.410,0.872,-0.417,-0.086
1574114580968,2019-11-18T17:03:00.968,0.420,0.877,-0.425,-0.077
1574114580978,2019-11-18T17:03:00.978,0.430,0.889,-0.452,-0.076
1574114580988,2019-11-18T17:03:00.988,0.440,0.896,-0.470,-0.081
1574114580998,2019-11-18T17:03:00.998,0.450,0.898,-0.461,-0.083
1574114581008,2019-11-18T17:03:01.008,0.460,0.894,-0.428,-0.086
1574114581018,2019-11-18T17:03:01.018,0.470,0.890,-0.409,-0.088
1574114581028,2019-11-18T17:03:01.028,0.480,0.902,-0.406,-0.091
1574114581038,2019-11-18T17:03:01.038,0.490,0.917,-0.408,-0.087
1574114581048,2019-11-18T17:03:01.048,0.500,0.917,-0.416,-0.090
1574114581058,2019-11-18T17:03:01.058,0.510,0.911,-0.424,-0.092
1574114581068,2019-11-18T17:03:01.068,0.520,0.908,-0.449,-0.083
1574114581078,2019-11-18T17:03:01.078,0.530,0.904,-0.476,-0.082
1574114581088,2019-11-18T17:03:01.088,0.540,0.896,-0.479,-0.084
1574114581098,2019-11-18T17:03:01.098,0.550,0.881,-0.480,-0.082
1574114581108,2019-11-18T17:03:01.108,0.560,0.868,-0.493,-0.078
1574114581118,2019-11-18T17:03:01.118,0.570,0.854,-0.486,-0.072
1574114581128,2019-11-18T17:03:01.128,0.580,0.836,-0.467,-0.073
1574114581138,2019-11-18T17:03:01.138,0.590,0.824,-0.458,-0.070
1574114581148,2019-11-18T17:03:01.148,0.600,0.820,-0.460,-0.066
1574114581158,2019-11-18T17:03:01.158,0.610,0.820,-0.459,-0.070
1574114581168,2019-11-18T17:03:01.168,0.620,0.822,-0.461,-0.066
1574114581178,2019-11-18T17:03:01.178,0.630,0.821,-0.471,-0.062
1574114581188,2019-11-18T17:03:01.188,0.640,0.830,-0.485,-0.061
1574114581198,2019-11-18T17:03:01.198,0.650,0.846,-0.503,-0.060
1574114581208,2019-11-18T17:03:01.208,0.660,0.860,-0.513,-0.057
1574114581218,2019-11-18T17:03:01.218,0.670,0.863,-0.514,-0.061
1574114581228,2019-11-18T17:03:01.228,0.680,0.865,-0.516,-0.058
1574114581238,2019-11-18T17:03:01.238,0.690,0.875,-0.533,-0.060
1574114581248,2019-11-18T17:03:01.248,0.700,0.889,-0.537,-0.065
1574114581258,2019-11-18T17:03:01.258,0.710,0.891,-0.516,-0.061
1574114581268,2019-11-18T17:03:01.268,0.720,0.891,-0.506,-0.053
1574114581278,2019-11-18T17:03:01.278,0.730,0.887,-0.512,-0.050
1574114581288,2019-11-18T17:03:01.288,0.740,0.880,-0.514,-0.049
1574114581298,2019-11-18T17:03:01.298,0.750,0.864,-0.502,-0.045
1574114581308,2019-11-18T17:03:01.308,0.760,0.849,-0.498,-0.043
1574114581318,2019-11-18T17:03:01.318,0.770,0.833,-0.503,-0.038
1574114581328,2019-11-18T17:03:01.328,0.780,0.822,-0.504,-0.031
1574114581338,2019-11-18T17:03:01.338,0.790,0.803,-0.488,-0.022
1574114581348,2019-11-18T17:03:01.348,0.800,0.772,-0.460,-0.014
1574114581358,2019-11-18T17:03:01.358,0.810,0.743,-0.454,-0.008
1574114581368,2019-11-18T17:03:01.368,0.820,0.719,-0.465,0.004
1574114581378,2019-11-18T17:03:01.378,0.830,0.691,-0.476,0.005
1574114581388,2019-11-18T17:03:01.388,0.840,0.657,-0.461,0.005
1574114581398,2019-11-18T17:03:01.398,0.850,0.625,-0.412,0.005
1574114581408,2019-11-18T17:03:01.408,0.860,0.596,-0.360,0.012
1574114581418,2019-11-18T17:03:01.418,0.870,0.580,-0.338,0.021
1574114581428,2019-11-18T17:03:01.428,0.880,0.572,-0.344,0.022
1574114581438,2019-11-18T17:03:01.438,0.890,0.566,-0.337,0.030
1574114581448,2019-11-18T17:03:01.448,0.900,0.553,-0.330,0.044
1574114581458,2019-11-18T17:03:01.458,0.910,0.538,-0.349,0.049
1574114581468,2019-11-18T17:03:01.468,0.920,0.542,-0.364,0.048
1574114581478,2019-11-18T17:03:01.478,0.930,0.556,-0.368,0.051
1574114581488,2019-11-18T17:03:01.488,0.940,0.566,-0.369,0.058
1574114581498,2019-11-18T17:03:01.498,0.950,0.568,-0.356,0.061
1574114581508,2019-11-18T17:03:01.508,0.960,0.571,-0.332,0.067
1574114581518,2019-11-18T17:03:01.518,0.970,0.563,-0.300,0.069
1574114581528,2019-11-18T17:03:01.528,0.980,0.547,-0.284,0.067
1574114581538,2019-11-18T17:03:01.538,0.990,0.544,-0.311,0.062
1574114581548,2019-11-18T17:03:01.548,1.000,0.555,-0.347,0.054
1574114581558,2019-11-18T17:03:01.558,1.010,0.563,-0.354,0.036
1574114581568,2019-11-18T17:03:01.568,1.020,0.573,-0.361,0.019
1574114581578,2019-11-18T17:03:01.578,1.030,0.614,-0.409,0.005
1574114581588,2019-11-18T17:03:01.588,1.040,0.711,-0.518,-0.007
1574114581598,2019-11-18T17:03:01.598,1.050,0.854,-0.698,-0.013
1574114581608,2019-11-18T17:03:01.608,1.060,0.950,-0.816,-0.033
1574114581618,2019-11-18T17:03:01.618,1.070,0.978,-0.757,-0.065
1574114581628,2019-11-18T17:03:01.628,1.080,0.956,-0.667,-0.110
1574114581638,2019-11-18T17:03:01.638,1.090,0.968,-0.719,-0.159
1574114581648,2019-11-18T17:03:01.648,1.100,1.068,-0.809,-0.221
1574114581658,2019-11-18T17:03:01.658,1.110,1.164,-0.887,-0.248
1574114581668,2019-11-18T17:03:01.668,1.120,1.224,-0.948,-0.250
1574114581678,2019-11-18T17:03:01.678,1.130,1.250,-0.865,-0.258
1574114581688,2019-11-18T17:03:01.688,1.140,1.205,-0.622,-0.274
1574114581698,2019-11-18T17:03:01.698,1.150,1.146,-0.444,-0.256
1574114581708,2019-11-18T17:03:01.708,1.160,1.159,-0.492,-0.266
1574114581718,2019-11-18T17:03:01.718,1.170,1.228,-0.682,-0.295
1574114581728,2019-11-18T17:03:01.728,1.180,1.285,-0.821,-0.310
1574114581738,2019-11-18T17:03:01.738,1.190,1.289,-0.818,-0.337
1574114581748,2019-11-18T17:03:01.748,1.200,1.248,-0.748,-0.350
1574114581758,2019-11-18T17:03:01.758,1.210,1.211,-0.725,-0.362
1574114581768,2019-11-18T17:03:01.768,1.220,1.180,-0.740,-0.374
1574114581778,2019-11-18T17:03:01.778,1.230,1.141,-0.728,-0.375
1574114581788,2019-11-18T17:03:01.788,1.240,1.099,-0.707,-0.357
1574114581798,2019-11-18T17:03:01.798,1.250,1.058,-0.670,-0.344
1574114581808,2019-11-18T17:03:01.808,1.260,0.991,-0.612,-0.326
1574114581818,2019-11-18T17:03:01.818,1.270,0.932,-0.576,-0.285
1574114581828,2019-11-18T17:03:01.828,1.280,0.902,-0.562,-0.276
1574114581838,2019-11-18T17:03:01.838,1.290,0.881,-0.520,-0.261
1574114581848,2019-11-18T17:03:01.848,1.300,0.846,-0.453,-0.241
1574114581858,2019-11-18T17:03:01.858,1.310,0.803,-0.389,-0.226
1574114581868,2019-11-18T17:03:01.868,1.320,0.764,-0.341,-0.212
1574114581878,2019-11-18T17:03:01.878,1.330,0.728,-0.309,-0.196
1574114581888,2019-11-18T17:03:01.888,1.340,0.690,-0.282,-0.195
1574114581898,2019-11-18T17:03:01.898,1.350,0.647,-0.255,-0.201
1574114581908,2019-11-18T17:03:01.908,1.360,0.599,-0.235,-0.206
1574114581918,2019-11-18T17:03:01.918,1.370,0.547,-0.244,-0.206
1574114581928,2019-11-18T17:03:01.928,1.380,0.535,-0.309,-0.204
1574114581938,2019-11-18T17:03:01.938,1.390,0.572,-0.429,-0.209
1574114581948,2019-11-18T17:03:01.948,1.400,0.595,-0.472,-0.212
1574114581958,2019-11-18T17:03:01.958,1.410,0.561,-0.408,-0.212
1574114581968,2019-11-18T17:03:01.968,1.420,0.514,-0.323,-0.205
1574114581978,2019-11-18T17:03:01.978,1.430,0.497,-0.303,-0.200
1574114581988,2019-11-18T17:03:01.988,1.440,0.506,-0.313,-0.190
1574114581998,2019-11-18T17:03:01.998,1.450,0.510,-0.299,-0.191
1574114582008,2019-11-18T17:03:02.008,1.460,0.502,-0.297,-0.187
1574114582018,2019-11-18T17:03:02.018,1.470,0.526,-0.374,-0.180
1574114582028,2019-11-18T17:03:02.028,1.480,0.593,-0.499,-0.175
1574114582038,2019-11-18T17:03:02.038,1.490,0.645,-0.587,-0.182
1574114582048,2019-11-18T17:03:02.048,1.500,0.637,-0.572,-0.175
1574114582058,2019-11-18T17:03:02.058,1.510,0.608,-0.506,-0.179
1574114582068,2019-11-18T17:03:02.068,1.520,0.601,-0.473,-0.190
1574114582078,2019-11-18T17:03:02.078,1.530,0.623,-0.486,-0.185
1574114582088,2019-11-18T17:03:02.088,1.540,0.660,-0.557,-0.195
1574114582098,2019-11-18T17:03:02.098,1.550,0.742,-0.745,-0.179
1574114582108,2019-11-18T17:03:02.108,1.560,0.860,-0.938,-0.196
1574114582118,2019-11-18T17:03:02.118,1.570,0.882,-0.945,-0.207
1574114582128,2019-11-18T17:03:02.128,1.580,0.835,-0.854,-0.187
1574114582138,2019-11-18T17:03:02.138,1.590,0.912,-0.923,-0.164
1574114582148,2019-11-18T17:03:02.148,1.600,1.107,-1.121,-0.155
1574114582158,2019-11-18T17:03:02.158,1.610,1.221,-1.173,-0.150
1574114582168,2019-11-18T17:03:02.168,1.620,1.153,-0.955,-0.135
1574114582178,2019-11-18T17:03:02.178,1.630,1.057,-0.717,-0.109
1574114582188,2019-11-18T17:03:02.188,1.640,1.084,-0.701,-0.059
1574114582198,2019-11-18T17:03:02.198,1.650,1.171,-0.746,-0.081
1574114582208,2019-11-18T17:03:02.208,1.660,1.184,-0.743,-0.071
1574114582218,2019-11-18T17:03:02.218,1.670,1.195,-0.733,-0.061
1574114582228,2019-11-18T17:03:02.228,1.680,1.189,-0.720,-0.066
1574114582238,2019-11-18T17:03:02.238,1.690,1.129,-0.675,-0.076
1574114582248,2019-11-18T17:03:02.248,1.700,1.092,-0.687,-0.051
1574114582258,2019-11-18T17:03:02.258,1.710,1.089,-0.747,-0.058
1574114582268,2019-11-18T17:03:02.268,1.720,1.065,-0.773,-0.052
1574114582278,2019-11-18T17:03:02.278,1.730,1.020,-0.737,-0.050
1574114582288,2019-11-18T17:03:02.288,1.740,0.962,-0.686,-0.049
1574114582298,2019-11-18T17:03:02.298,1.750,0.911,-0.652,-0.035
1574114582308,2019-11-18T17:03:02.308,1.760,0.863,-0.611,-0.030
1574114582318,2019-11-18T17:03:02.318,1.770,0.801,-0.543,-0.031
1574114582328,2019-11-18T17:03:02.328,1.780,0.741,-0.482,-0.006
1574114582338,2019-11-18T17:03:02.338,1.790,0.707,-0.458,0.000
1574114582348,2019-11-18T17:03:02.348,1.800,0.699,-0.423,0.005
1574114582358,2019-11-18T17:03:02.358,1.810,0.666,-0.346,0.025
1574114582368,2019-11-18T17:03:02.368,1.820,0.638,-0.268,0.042
1574114582378,2019-11-18T17:03:02.378,1.830,0.605,-0.231,0.053
1574114582388,2019-11-18T17:03:02.388,1.840,0.559,-0.185,0.072
