epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574112082524,2019-11-18T16:21:22.524,0.000,0.892,-0.470,0.069
1574112082534,2019-11-18T16:21:22.534,0.010,0.904,-0.471,0.073
1574112082544,2019-11-18T16:21:22.544,0.020,0.908,-0.472,0.074
1574112082554,2019-11-18T16:21:22.554,0.030,0.906,-0.473,0.075
1574112082564,2019-11-18T16:21:22.564,0.040,0.909,-0.467,0.075
1574112082574,2019-11-18T16:21:22.574,0.050,0.913,-0.461,0.075
1574112082584,2019-11-18T16:21:22.584,0.060,0.911,-0.460,0.074
1574112082594,2019-11-18T16:21:22.594,0.070,0.911,-0.463,0.076
1574112082604,2019-11-18T16:21:22.604,0.080,0.913,-0.462,0.077
1574112082614,2019-11-18T16:21:22.614,0.090,0.913,-0.464,0.076
1574112082624,2019-11-18T16:21:22.624,0.100,0.912,-0.473,0.077
1574112082634,2019-11-18T16:21:22.634,0.110,0.910,-0.480,0.075
1574112082644,2019-11-18T16:21:22.644,0.120,0.904,-0.475,0.074
1574112082654,2019-11-18T16:21:22.654,0.130,0.907,-0.466,0.073
1574112082664,2019-11-18T16:21:22.664,0.140,0.902,-0.459,0.072
1574112082674,2019-11-18T16:21:22.674,0.150,0.898,-0.458,0.068
1574112082684,2019-11-18T16:21:22.684,0.160,0.903,-0.466,0.069
1574112082694,2019-11-18T16:21:22.694,0.170,0.910,-0.475,0.067
1574112082704,2019-11-18T16:21:22.704,0.180,0.910,-0.476,0.067
1574112082714,2019-11-18T16:21:22.714,0.190,0.909,-0.474,0.069
1574112082724,2019-11-18T16:21:22.724,0.200,0.913,-0.479,0.071
1574112082734,2019-11-18T16:21:22.734,0.210,0.910,-0.487,0.072
1574112082744,2019-11-18T16:21:22.744,0.220,0.906,-0.491,0.067
1574112082754,2019-11-18T16:21:22.754,0.230,0.900,-0.480,0.067
1574112082764,2019-11-18T16:21:22.764,0.240,0.903,-0.469,0.067
1574112082774,2019-11-18T16:21:22.774,0.250,0.905,-0.467,0.068
1574112082784,2019-11-18T16:21:22.784,0.260,0.902,-0.474,0.069
1574112082794,2019-11-18T16:21:22.794,0.270,0.900,-0.473,0.067
1574112082804,2019-11-18T16:21:22.804,0.280,0.897,-0.466,0.068
1574112082814,2019-11-18T16:21:22.814,0.290,0.896,-0.469,0.072
1574112082824,2019-11-18T16:21:22.824,0.300,0.898,-0.468,0.069
1574112082834,2019-11-18T16:21:22.834,0.310,0.897,-0.471,0.071
1574112082844,2019-11-18T16:21:22.844,0.320,0.893,-0.472,0.072
1574112082854,2019-11-18T16:21:22.854,0.330,0.894,-0.472,0.071
1574112082864,2019-11-18T16:21:22.864,0.340,0.893,-0.475,0.071
1574112082874,2019-11-18T16:21:22.874,0.350,0.890,-0.476,0.071
1574112082884,2019-11-18T16:21:22.884,0.360,0.889,-0.471,0.070
1574112082894,2019-11-18T16:21:22.894,0.370,0.892,-0.467,0.072
1574112082904,2019-11-18T16:21:22.904,0.380,0.890,-0.474,0.071
1574112082914,2019-11-18T16:21:22.914,0.390,0.893,-0.482,0.072
1574112082924,2019-11-18T16:21:22.924,0.400,0.892,-0.483,0.070
1574112082934,2019-11-18T16:21:22.934,0.410,0.890,-0.482,0.068
1574112082944,2019-11-18T16:21:22.944,0.420,0.891,-0.481,0.065
1574112082954,2019-11-18T16:21:22.954,0.430,0.893,-0.480,0.065
1574112082964,2019-11-18T16:21:22.964,0.440,0.891,-0.481,0.066
1574112082974,2019-11-18T16:21:22.974,0.450,0.893,-0.482,0.065
1574112082984,2019-11-18T16:21:22.984,0.460,0.895,-0.482,0.066
1574112082994,2019-11-18T16:21:22.994,0.470,0.896,-0.480,0.066
1574112083004,2019-11-18T16:21:23.004,0.480,0.896,-0.479,0.066
1574112083014,2019-11-18T16:21:23.014,0.490,0.897,-0.483,0.068
1574112083024,2019-11-18T16:21:23.024,0.500,0.895,-0.483,0.067
1574112083034,2019-11-18T16:21:23.034,0.510,0.895,-0.481,0.067
1574112083044,2019-11-18T16:21:23.044,0.520,0.896,-0.480,0.066
1574112083054,2019-11-18T16:21:23.054,0.530,0.895,-0.481,0.064
1574112083064,2019-11-18T16:21:23.064,0.540,0.894,-0.488,0.064
1574112083074,2019-11-18T16:21:23.074,0.550,0.893,-0.497,0.063
1574112083084,2019-11-18T16:21:23.084,0.560,0.889,-0.502,0.061
1574112083094,2019-11-18T16:21:23.094,0.570,0.887,-0.499,0.062
1574112083104,2019-11-18T16:21:23.104,0.580,0.888,-0.501,0.062
1574112083114,2019-11-18T16:21:23.114,0.590,0.887,-0.502,0.060
1574112083124,2019-11-18T16:21:23.124,0.600,0.887,-0.501,0.062
1574112083134,2019-11-18T16:21:23.134,0.610,0.888,-0.499,0.063
1574112083144,2019-11-18T16:21:23.144,0.620,0.887,-0.495,0.064
1574112083154,2019-11-18T16:21:23.154,0.630,0.883,-0.496,0.064
1574112083164,2019-11-18T16:21:23.164,0.640,0.877,-0.506,0.064
1574112083174,2019-11-18T16:21:23.174,0.650,0.876,-0.508,0.062
1574112083184,2019-11-18T16:21:23.184,0.660,0.877,-0.501,0.063
1574112083194,2019-11-18T16:21:23.194,0.670,0.874,-0.491,0.062
1574112083204,2019-11-18T16:21:23.204,0.680,0.872,-0.487,0.062
1574112083214,2019-11-18T16:21:23.214,0.690,0.874,-0.489,0.060
1574112083224,2019-11-18T16:21:23.224,0.700,0.878,-0.496,0.058
1574112083234,2019-11-18T16:21:23.234,0.710,0.886,-0.501,0.060
1574112083244,2019-11-18T16:21:23.244,0.720,0.888,-0.500,0.060
1574112083254,2019-11-18T16:21:23.254,0.730,0.888,-0.494,0.062
1574112083264,2019-11-18T16:21:23.264,0.740,0.886,-0.485,0.063
1574112083274,2019-11-18T16:21:23.274,0.750,0.884,-0.483,0.063
1574112083284,2019-11-18T16:21:23.284,0.760,0.881,-0.485,0.061
1574112083294,2019-11-18T16:21:23.294,0.770,0.884,-0.487,0.059
1574112083304,2019-11-18T16:21:23.304,0.780,0.884,-0.493,0.058
1574112083314,2019-11-18T16:21:23.314,0.790,0.889,-0.500,0.061
1574112083324,2019-11-18T16:21:23.324,0.800,0.893,-0.504,0.062
1574112083334,2019-11-18T16:21:23.334,0.810,0.896,-0.503,0.063
1574112083344,2019-11-18T16:21:23.344,0.820,0.895,-0.501,0.063
