epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574105969875,2019-11-18T14:39:29.875,0.000,3.110,-0.061,-3.598
1574105969885,2019-11-18T14:39:29.885,0.010,3.049,0.305,-3.537
1574105969895,2019-11-18T14:39:29.895,0.020,3.110,0.366,-3.415
1574105969905,2019-11-18T14:39:29.905,0.030,2.439,0.305,-3.659
1574105969915,2019-11-18T14:39:29.915,0.040,2.134,0.488,-3.598
1574105969925,2019-11-18T14:39:29.925,0.050,2.073,0.488,-3.171
1574105969935,2019-11-18T14:39:29.935,0.060,2.134,0.549,-2.805
1574105969945,2019-11-18T14:39:29.945,0.070,2.256,0.488,-2.805
1574105969955,2019-11-18T14:39:29.955,0.080,2.012,0.183,-2.805
1574105969965,2019-11-18T14:39:29.965,0.090,1.768,0.061,-2.134
1574105969975,2019-11-18T14:39:29.975,0.100,1.220,0.122,-1.280
1574105969985,2019-11-18T14:39:29.985,0.110,-0.183,0.366,-0.671
1574105969995,2019-11-18T14:39:29.995,0.120,-0.976,0.854,-0.061
1574105970005,2019-11-18T14:39:30.005,0.130,-1.159,1.280,0.244
1574105970015,2019-11-18T14:39:30.015,0.140,-1.098,1.463,0.061
1574105970025,2019-11-18T14:39:30.025,0.150,-0.854,1.341,-0.671
1574105970035,2019-11-18T14:39:30.035,0.160,-0.366,1.098,-1.463
1574105970045,2019-11-18T14:39:30.045,0.170,0.183,0.427,-2.256
1574105970055,2019-11-18T14:39:30.055,0.180,0.488,-0.244,-2.988
1574105970065,2019-11-18T14:39:30.065,0.190,1.037,-0.976,-3.171
1574105970075,2019-11-18T14:39:30.075,0.200,1.585,-1.890,-3.171
1574105970085,2019-11-18T14:39:30.085,0.210,1.707,-2.744,-2.988
1574105970095,2019-11-18T14:39:30.095,0.220,1.707,-3.354,-2.866
1574105970105,2019-11-18T14:39:30.105,0.230,1.951,-3.963,-2.866
1574105970115,2019-11-18T14:39:30.115,0.240,2.439,-4.573,-2.988
1574105970125,2019-11-18T14:39:30.125,0.250,3.110,-5.061,-3.110
1574105970135,2019-11-18T14:39:30.135,0.260,3.293,-5.305,-3.171
1574105970145,2019-11-18T14:39:30.145,0.270,3.354,-5.366,-3.110
1574105970155,2019-11-18T14:39:30.155,0.280,3.232,-5.244,-2.866
1574105970165,2019-11-18T14:39:30.165,0.290,3.049,-5.000,-2.317
1574105970175,2019-11-18T14:39:30.175,0.300,2.866,-4.756,-1.524
1574105970185,2019-11-18T14:39:30.185,0.310,2.195,-4.451,-1.220
1574105970195,2019-11-18T14:39:30.195,0.320,1.280,-4.146,-1.220
1574105970205,2019-11-18T14:39:30.205,0.330,0.854,-4.024,-1.098
1574105970215,2019-11-18T14:39:30.215,0.340,0.671,-3.963,-1.220
1574105970225,2019-11-18T14:39:30.225,0.350,0.000,-4.024,-1.402
1574105970235,2019-11-18T14:39:30.235,0.360,-0.488,-4.268,-1.524
1574105970245,2019-11-18T14:39:30.245,0.370,-0.549,-4.390,-1.646
1574105970255,2019-11-18T14:39:30.255,0.380,-0.366,-4.573,-1.646
1574105970265,2019-11-18T14:39:30.265,0.390,-0.122,-4.634,-1.402
1574105970275,2019-11-18T14:39:30.275,0.400,-0.061,-4.573,-1.098
1574105970285,2019-11-18T14:39:30.285,0.410,-0.122,-4.573,-0.976
1574105970295,2019-11-18T14:39:30.295,0.420,-0.244,-4.634,-0.732
1574105970305,2019-11-18T14:39:30.305,0.430,-0.244,-4.817,-0.427
1574105970315,2019-11-18T14:39:30.315,0.440,-0.244,-4.817,0.000
1574105970325,2019-11-18T14:39:30.325,0.450,-0.488,-4.756,0.122
1574105970335,2019-11-18T14:39:30.335,0.460,-0.793,-4.756,0.366
1574105970345,2019-11-18T14:39:30.345,0.470,-1.402,-4.329,0.549
1574105970355,2019-11-18T14:39:30.355,0.480,-2.012,-3.659,0.671
1574105970365,2019-11-18T14:39:30.365,0.490,-2.378,-3.110,0.976
1574105970375,2019-11-18T14:39:30.375,0.500,-2.683,-2.561,1.037
1574105970385,2019-11-18T14:39:30.385,0.510,-3.232,-2.073,0.976
1574105970395,2019-11-18T14:39:30.395,0.520,-3.354,-1.646,1.280
1574105970405,2019-11-18T14:39:30.405,0.530,-3.476,-1.402,1.463
1574105970415,2019-11-18T14:39:30.415,0.540,-3.476,-1.159,1.768
1574105970425,2019-11-18T14:39:30.425,0.550,-3.232,-0.976,2.134
1574105970435,2019-11-18T14:39:30.435,0.560,-3.110,-0.854,2.439
1574105970445,2019-11-18T14:39:30.445,0.570,-3.171,-0.732,2.439
1574105970455,2019-11-18T14:39:30.455,0.580,-3.293,-0.854,2.317
1574105970465,2019-11-18T14:39:30.465,0.590,-3.354,-1.037,2.073
1574105970475,2019-11-18T14:39:30.475,0.600,-3.354,-1.159,1.829
1574105970485,2019-11-18T14:39:30.485,0.610,-3.293,-1.341,1.463
1574105970495,2019-11-18T14:39:30.495,0.620,-3.537,-1.585,1.159
1574105970505,2019-11-18T14:39:30.505,0.630,-3.963,-1.707,0.976
1574105970515,2019-11-18T14:39:30.515,0.640,-4.268,-1.829,0.732
1574105970525,2019-11-18T14:39:30.525,0.650,-4.329,-1.951,0.488
1574105970535,2019-11-18T14:39:30.535,0.660,-4.512,-1.890,0.488
1574105970545,2019-11-18T14:39:30.545,0.670,-4.451,-1.768,0.854
1574105970555,2019-11-18T14:39:30.555,0.680,-4.756,-1.646,1.280
1574105970565,2019-11-18T14:39:30.565,0.690,-5.183,-1.402,1.768
1574105970575,2019-11-18T14:39:30.575,0.700,-5.671,-1.037,2.317
1574105970585,2019-11-18T14:39:30.585,0.710,-6.280,-0.488,2.805
1574105970595,2019-11-18T14:39:30.595,0.720,-6.585,0.061,3.232
1574105970605,2019-11-18T14:39:30.605,0.730,-7.317,0.610,3.171
1574105970615,2019-11-18T14:39:30.615,0.740,-8.049,1.037,2.988
1574105970625,2019-11-18T14:39:30.625,0.750,-8.476,1.280,3.354
1574105970635,2019-11-18T14:39:30.635,0.760,-9.451,1.707,3.415
1574105970645,2019-11-18T14:39:30.645,0.770,-10.671,2.134,3.171
1574105970655,2019-11-18T14:39:30.655,0.780,-11.220,2.500,3.049
1574105970665,2019-11-18T14:39:30.665,0.790,-11.280,2.744,2.927
1574105970675,2019-11-18T14:39:30.675,0.800,-11.220,2.988,2.744
1574105970685,2019-11-18T14:39:30.685,0.810,-11.098,3.232,2.622
1574105970695,2019-11-18T14:39:30.695,0.820,-11.098,3.659,2.500
1574105970705,2019-11-18T14:39:30.705,0.830,-11.098,4.329,2.439
1574105970715,2019-11-18T14:39:30.715,0.840,-11.280,4.756,2.317
1574105970725,2019-11-18T14:39:30.725,0.850,-11.524,5.122,2.256
1574105970735,2019-11-18T14:39:30.735,0.860,-11.402,5.244,2.439
1574105970745,2019-11-18T14:39:30.745,0.870,-11.159,5.000,2.500
1574105970755,2019-11-18T14:39:30.755,0.880,-11.159,4.451,2.561
1574105970765,2019-11-18T14:39:30.765,0.890,-10.793,3.841,2.500
