epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574106184807,2019-11-18T14:43:04.807,0.000,2.683,-5.427,2.195
1574106184817,2019-11-18T14:43:04.817,0.010,2.622,-5.793,1.951
1574106184827,2019-11-18T14:43:04.827,0.020,2.500,-5.366,2.378
1574106184837,2019-11-18T14:43:04.837,0.030,2.134,-4.817,2.561
1574106184847,2019-11-18T14:43:04.847,0.040,1.402,-4.329,2.683
1574106184857,2019-11-18T14:43:04.857,0.050,0.915,-3.963,2.927
1574106184867,2019-11-18T14:43:04.867,0.060,0.610,-3.720,3.171
1574106184877,2019-11-18T14:43:04.877,0.070,0.305,-3.537,3.171
1574106184887,2019-11-18T14:43:04.887,0.080,-0.183,-3.476,2.866
1574106184897,2019-11-18T14:43:04.897,0.090,-0.915,-3.232,2.744
1574106184907,2019-11-18T14:43:04.907,0.100,-1.829,-3.110,2.500
1574106184917,2019-11-18T14:43:04.917,0.110,-2.500,-2.927,2.256
1574106184927,2019-11-18T14:43:04.927,0.120,-2.988,-2.683,2.134
1574106184937,2019-11-18T14:43:04.937,0.130,-3.659,-2.622,2.073
1574106184947,2019-11-18T14:43:04.947,0.140,-4.146,-2.317,2.073
1574106184957,2019-11-18T14:43:04.957,0.150,-4.329,-2.012,2.317
1574106184967,2019-11-18T14:43:04.967,0.160,-4.817,-1.646,2.317
1574106184977,2019-11-18T14:43:04.977,0.170,-5.671,-1.341,2.317
1574106184987,2019-11-18T14:43:04.987,0.180,-6.159,-1.037,2.256
1574106184997,2019-11-18T14:43:04.997,0.190,-6.524,-0.671,2.073
1574106185007,2019-11-18T14:43:05.007,0.200,-7.256,-0.427,1.585
1574106185017,2019-11-18T14:43:05.017,0.210,-7.866,-0.122,1.159
1574106185027,2019-11-18T14:43:05.027,0.220,-8.293,0.244,0.671
1574106185037,2019-11-18T14:43:05.037,0.230,-8.841,0.427,0.244
1574106185047,2019-11-18T14:43:05.047,0.240,-9.085,0.610,-0.061
1574106185057,2019-11-18T14:43:05.057,0.250,-9.207,0.732,-0.305
1574106185067,2019-11-18T14:43:05.067,0.260,-9.268,0.671,-0.488
1574106185077,2019-11-18T14:43:05.077,0.270,-9.634,0.427,-0.793
1574106185087,2019-11-18T14:43:05.087,0.280,-10.000,0.183,-1.159
1574106185097,2019-11-18T14:43:05.097,0.290,-10.061,0.061,-1.646
1574106185107,2019-11-18T14:43:05.107,0.300,-10.122,-0.244,-2.439
1574106185117,2019-11-18T14:43:05.117,0.310,-10.305,-0.549,-3.171
1574106185127,2019-11-18T14:43:05.127,0.320,-10.488,-0.854,-3.780
1574106185137,2019-11-18T14:43:05.137,0.330,-10.793,-1.159,-4.329
1574106185147,2019-11-18T14:43:05.147,0.340,-11.159,-1.341,-4.756
1574106185157,2019-11-18T14:43:05.157,0.350,-11.159,-1.280,-4.939
1574106185167,2019-11-18T14:43:05.167,0.360,-11.220,-1.159,-5.061
1574106185177,2019-11-18T14:43:05.177,0.370,-11.402,-1.037,-4.939
1574106185187,2019-11-18T14:43:05.187,0.380,-10.671,-0.793,-4.390
1574106185197,2019-11-18T14:43:05.197,0.390,-9.817,-0.488,-4.085
1574106185207,2019-11-18T14:43:05.207,0.400,-9.512,-0.427,-3.841
1574106185217,2019-11-18T14:43:05.217,0.410,-8.963,-0.183,-3.476
1574106185227,2019-11-18T14:43:05.227,0.420,-8.476,0.061,-3.354
1574106185237,2019-11-18T14:43:05.237,0.430,-8.598,0.366,-3.780
