epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574105969964,2019-11-18T14:39:29.964,0.000,0.832,-0.547,-0.125
1574105969974,2019-11-18T14:39:29.974,0.010,0.844,-0.540,-0.128
1574105969984,2019-11-18T14:39:29.984,0.020,0.843,-0.542,-0.126
1574105969994,2019-11-18T14:39:29.994,0.030,0.838,-0.547,-0.131
1574105970004,2019-11-18T14:39:30.004,0.040,0.833,-0.541,-0.133
1574105970014,2019-11-18T14:39:30.014,0.050,0.830,-0.538,-0.135
1574105970024,2019-11-18T14:39:30.024,0.060,0.829,-0.536,-0.141
1574105970034,2019-11-18T14:39:30.034,0.070,0.822,-0.532,-0.143
1574105970044,2019-11-18T14:39:30.044,0.080,0.823,-0.535,-0.144
1574105970054,2019-11-18T14:39:30.054,0.090,0.823,-0.542,-0.149
1574105970064,2019-11-18T14:39:30.064,0.100,0.823,-0.542,-0.153
1574105970074,2019-11-18T14:39:30.074,0.110,0.826,-0.537,-0.149
1574105970084,2019-11-18T14:39:30.084,0.120,0.832,-0.535,-0.147
1574105970094,2019-11-18T14:39:30.094,0.130,0.832,-0.539,-0.147
1574105970104,2019-11-18T14:39:30.104,0.140,0.834,-0.543,-0.144
1574105970114,2019-11-18T14:39:30.114,0.150,0.839,-0.549,-0.143
1574105970124,2019-11-18T14:39:30.124,0.160,0.844,-0.548,-0.140
1574105970134,2019-11-18T14:39:30.134,0.170,0.846,-0.544,-0.135
1574105970144,2019-11-18T14:39:30.144,0.180,0.849,-0.543,-0.133
1574105970154,2019-11-18T14:39:30.154,0.190,0.850,-0.547,-0.129
1574105970164,2019-11-18T14:39:30.164,0.200,0.852,-0.545,-0.126
1574105970174,2019-11-18T14:39:30.174,0.210,0.850,-0.532,-0.125
1574105970184,2019-11-18T14:39:30.184,0.220,0.848,-0.522,-0.124
1574105970194,2019-11-18T14:39:30.194,0.230,0.848,-0.529,-0.126
1574105970204,2019-11-18T14:39:30.204,0.240,0.843,-0.529,-0.128
1574105970214,2019-11-18T14:39:30.214,0.250,0.842,-0.521,-0.134
1574105970224,2019-11-18T14:39:30.224,0.260,0.839,-0.521,-0.136
1574105970234,2019-11-18T14:39:30.234,0.270,0.841,-0.533,-0.139
1574105970244,2019-11-18T14:39:30.244,0.280,0.846,-0.540,-0.137
1574105970254,2019-11-18T14:39:30.254,0.290,0.846,-0.542,-0.138
1574105970264,2019-11-18T14:39:30.264,0.300,0.849,-0.534,-0.139
1574105970274,2019-11-18T14:39:30.274,0.310,0.850,-0.533,-0.139
1574105970284,2019-11-18T14:39:30.284,0.320,0.848,-0.537,-0.143
1574105970294,2019-11-18T14:39:30.294,0.330,0.845,-0.537,-0.142
1574105970304,2019-11-18T14:39:30.304,0.340,0.844,-0.533,-0.139
1574105970314,2019-11-18T14:39:30.314,0.350,0.845,-0.532,-0.140
1574105970324,2019-11-18T14:39:30.324,0.360,0.845,-0.532,-0.143
1574105970334,2019-11-18T14:39:30.334,0.370,0.848,-0.525,-0.139
1574105970344,2019-11-18T14:39:30.344,0.380,0.852,-0.522,-0.136
1574105970354,2019-11-18T14:39:30.354,0.390,0.854,-0.529,-0.137
1574105970364,2019-11-18T14:39:30.364,0.400,0.854,-0.531,-0.138
1574105970374,2019-11-18T14:39:30.374,0.410,0.852,-0.528,-0.138
1574105970384,2019-11-18T14:39:30.384,0.420,0.849,-0.534,-0.143
1574105970394,2019-11-18T14:39:30.394,0.430,0.845,-0.540,-0.146
1574105970404,2019-11-18T14:39:30.404,0.440,0.845,-0.542,-0.146
1574105970414,2019-11-18T14:39:30.414,0.450,0.841,-0.546,-0.146
1574105970424,2019-11-18T14:39:30.424,0.460,0.837,-0.545,-0.149
1574105970434,2019-11-18T14:39:30.434,0.470,0.836,-0.540,-0.148
1574105970444,2019-11-18T14:39:30.444,0.480,0.835,-0.537,-0.151
1574105970454,2019-11-18T14:39:30.454,0.490,0.832,-0.536,-0.150
1574105970464,2019-11-18T14:39:30.464,0.500,0.830,-0.537,-0.151
1574105970474,2019-11-18T14:39:30.474,0.510,0.830,-0.533,-0.151
1574105970484,2019-11-18T14:39:30.484,0.520,0.830,-0.526,-0.149
1574105970494,2019-11-18T14:39:30.494,0.530,0.835,-0.520,-0.148
1574105970504,2019-11-18T14:39:30.504,0.540,0.834,-0.521,-0.149
1574105970514,2019-11-18T14:39:30.514,0.550,0.833,-0.527,-0.151
1574105970524,2019-11-18T14:39:30.524,0.560,0.837,-0.531,-0.147
1574105970534,2019-11-18T14:39:30.534,0.570,0.841,-0.539,-0.148
1574105970544,2019-11-18T14:39:30.544,0.580,0.842,-0.541,-0.148
1574105970554,2019-11-18T14:39:30.554,0.590,0.843,-0.539,-0.147
1574105970564,2019-11-18T14:39:30.564,0.600,0.844,-0.536,-0.148
1574105970574,2019-11-18T14:39:30.574,0.610,0.846,-0.534,-0.144
1574105970584,2019-11-18T14:39:30.584,0.620,0.847,-0.533,-0.143
1574105970594,2019-11-18T14:39:30.594,0.630,0.843,-0.528,-0.149
1574105970604,2019-11-18T14:39:30.604,0.640,0.839,-0.531,-0.148
1574105970614,2019-11-18T14:39:30.614,0.650,0.835,-0.538,-0.151
1574105970624,2019-11-18T14:39:30.624,0.660,0.834,-0.527,-0.154
1574105970634,2019-11-18T14:39:30.634,0.670,0.835,-0.519,-0.154
1574105970644,2019-11-18T14:39:30.644,0.680,0.834,-0.524,-0.159
1574105970654,2019-11-18T14:39:30.654,0.690,0.832,-0.530,-0.161
